STATION,NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-01,0,0,,48,40
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-02,0.21,0,,41,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-03,0.58,0,,43,39
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-04,0,0,,52,34
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-05,0,0,,34,27
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-06,0.05,1.2,,33,25
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-07,0.32,5.1,,26,20
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-08,0,0,,25,16
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-09,0,0,,23,14
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-10,0,0,,46,21
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-11,0.52,0,,52,42
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-12,0.05,0,,66,47
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-13,0,0,,62,32
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-14,0.12,0.6,,34,28
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-15,0,0,,38,30
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-16,0,0,,43,30
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-17,0.35,0,,42,38
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-18,0.06,0,,41,38
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-19,0,0,,49,39
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-20,0.1,0,,45,40
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-21,0,0,,49,41
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-22,0.05,0,,48,43
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-23,1.16,0,,44,36
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-24,1.18,0,,38,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-25,0,0,,51,36
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-26,0.02,0,,56,43
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-27,0,0,,43,36
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-28,0,0,,39,34
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-29,0,0,,43,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-30,0,0,,37,30
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01-31,0.06,1,,34,26
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-01,0,0,,47,33
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-02,0,0,,45,32
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-03,0,0,,33,26
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-04,0,0,,34,22
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-05,0,0,,43,31
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-06,0,0,,49,36
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-07,0.27,0,,42,36
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-08,0.03,0,,62,38
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-09,1.16,9.4,,44,19
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-10,0,0,,32,19
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-11,0,0,,48,30
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-12,0.46,0,,40,30
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-13,0.02,0,,39,31
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-14,0,0,,41,28
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-15,0,0,,47,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-16,0,0,,35,28
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-17,0,0,,41,26
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-18,0,0,,63,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-19,0,0,,65,53
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-20,0,0,,55,39
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-21,0,0,,47,34
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-22,0,0,,57,42
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-23,0,0,,65,44
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-24,0,0,,70,58
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-25,0.54,0,,63,44
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-26,0,0,,44,36
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-27,0,0,,54,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02-28,0,0,,59,47
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-01,0.12,0,,70,54
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-02,0,0,,64,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-03,0,0,,39,24
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-04,0,0,,30,17
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-05,0,0,,37,14
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-06,0,0,,45,26
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-07,0.1,0,,56,42
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-08,0.02,0,,59,47
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-09,0,0,,61,47
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-10,0.31,2.1,,47,23
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-11,0,0,,29,17
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-12,0,0,,29,19
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-13,0,0,,36,20
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-14,1.97,7.6,,32,21
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-15,0,0,,26,20
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-16,0,0,,39,24
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-17,0,0,,47,29
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-18,0.08,0,,39,34
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-19,0,0,,47,34
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-20,0,0,,52,33
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-21,0,0,,59,42
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-22,0,0,,50,24
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-23,0,0,,42,23
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-24,0,0,,57,36
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-25,0.01,0,,62,42
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-26,0.14,0,,42,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-27,0.26,0,,53,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-28,0.72,0,,46,41
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-29,0,0,,60,42
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-30,0.01,0,,52,38
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03-31,1.51,0,,43,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-01,0,0,,48,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-02,0,0,,63,40
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-03,0.03,0,,63,48
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-04,1.18,0,,51,45
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-05,0,0,,65,45
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-06,0.73,0,,53,40
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-07,0,0,,51,40
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-08,0,0,,57,40
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-09,0,0,,67,45
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-10,0,0,,74,53
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-11,0,0,,80,61
