Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-09-01, 72, 46, 59.0, 0.00, 0.0, 0
2009-09-02, 77, 48, 62.5, 0.00, 0.0, 0
2009-09-03, 79, 51, 65.0, 0.00, 0.0, 0
2009-09-04, 80, 52, 66.0, 0.00, 0.0, 0
2009-09-05, 79, 56, 67.5, T, 0.0, 0
2009-09-06, 73, 52, 62.5, 0.00, 0.0, 0
2009-09-07, 67, 56, 61.5, 0.00, 0.0, 0
2009-09-08, 76, 54, 65.0, 0.00, 0.0, 0
2009-09-09, 75, 58, 66.5, 0.00, 0.0, 0
2009-09-10, 71, 48, 59.5, 0.00, 0.0, 0
2009-09-11, 60, 46, 53.0, 0.32, 0.0, 0
2009-09-12, 70, 58, 64.0, 0.02, 0.0, 0
2009-09-13, 75, 56, 65.5, 0.00, 0.0, 0
2009-09-14, 75, 52, 63.5, 0.00, 0.0, 0
2009-09-15, 76, 53, 64.5, 0.00, 0.0, 0
2009-09-16, 64, 50, 57.0, T, 0.0, 0
2009-09-17, 62, 47, 54.5, 0.00, 0.0, 0
2009-09-18, 72, 49, 60.5, 0.00, 0.0, 0
2009-09-19, 66, 42, 54.0, 0.00, 0.0, 0
2009-09-20, 70, 38, 54.0, 0.00, 0.0, 0
2009-09-21, 74, 41, 57.5, 0.00, 0.0, 0
2009-09-22, 73, 58, 65.5, 0.00, 0.0, 0
2009-09-23, 80, 66, 73.0, 0.04, 0.0, 0
2009-09-24, 74, 53, 63.5, 0.00, 0.0, 0
2009-09-25, 61, 43, 52.0, 0.00, 0.0, 0
2009-09-26, 63, 37, 50.0, 0.09, 0.0, 0
2009-09-27, 66, 51, 58.5, 1.10, 0.0, 0
2009-09-28, 71, 52, 61.5, 0.01, 0.0, 0
2009-09-29, 62, 50, 56.0, 0.15, 0.0, 0
2009-09-30, 54, 43, 48.5, 0.00, 0.0, 0
2009-10-01, 50, 41, 45.5, 0.03, 0.0, 0
2009-10-02, 54, 45, 49.5, 0.09, 0.0, 0
2009-10-03, 69, 52, 60.5, 0.07, 0.0, 0
2009-10-04, 69, 53, 61.0, T, 0.0, 0
2009-10-05, 62, 46, 54.0, 0.03, 0.0, 0
