Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 72, 51, 61.5, 0.00, 0.0, 0
2009-06-02, 82, 63, 72.5, 0.28, 0.0, 0
2009-06-03, 72, 53, 62.5, 0.53, 0.0, 0
2009-06-04, 68, 54, 61.0, 0.60, 0.0, 0
2009-06-05, 61, 55, 58.0, 0.91, 0.0, 0
2009-06-06, 80, 57, 68.5, 0.00, 0.0, 0
2009-06-07, 84, 63, 73.5, T, 0.0, 0
2009-06-08, 76, 63, 69.5, 0.01, 0.0, 0
2009-06-09, 72, 59, 65.5, 1.27, 0.0, 0
2009-06-10, 65, 59, 62.0, T, 0.0, 0
2009-06-11, 63, 59, 61.0, 0.11, 0.0, 0
2009-06-12, 82, 60, 71.0, 0.55, 0.0, 0
2009-06-13, 73, 63, 68.0, 0.25, 0.0, 0
2009-06-14, 74, 60, 67.0, 0.01, 0.0, 0
2009-06-15, 73, 57, 65.0, 0.55, 0.0, 0
2009-06-16, 71, 56, 63.5, 0.00, 0.0, 0
2009-06-17, 71, 56, 63.5, T, 0.0, 0
2009-06-18, 64, 60, 62.0, 2.34, 0.0, 0
2009-06-19, 79, 63, 71.0, 0.00, 0.0, 0
2009-06-20, 72, 63, 67.5, 0.25, 0.0, 0
2009-06-21, 78, 63, 70.5, 0.62, 0.0, 0
2009-06-22, 75, 67, 71.0, 0.02, 0.0, 0
2009-06-23, 82, 67, 74.5, 0.02, 0.0, 0
2009-06-24, 75, 66, 70.5, 0.42, 0.0, 0
2009-06-25, 82, 65, 73.5, 0.00, 0.0, 0
2009-06-26, 86, 65, 75.5, 0.51, T, 0
2009-06-27, 81, 64, 72.5, T, 0.0, 0
2009-06-28, 83, 67, 75.0, 0.00, 0.0, 0
2009-06-29, 86, 66, 76.0, 0.00, 0.0, 0
2009-06-30, 86, 66, 76.0, 0.41, 0.0, 0
2009-07-01, 80, 67, 73.5, 0.36, 0.0, 0
2009-07-02, 77, 66, 71.5, 0.13, 0.0, 0
2009-07-03, 82, 67, 74.5, T, 0.0, 0
2009-07-04, 81, 67, 74.0, 0.00, 0.0, 0
2009-07-05, 81, 63, 72.0, 0.00, 0.0, 0
2009-07-06, 85, 66, 75.5, 0.00, 0.0, 0
2009-07-07, 84, 62, 73.0, 0.47, 0.0, 0
2009-07-08, 79, 59, 69.0, 0.00, 0.0, 0
2009-07-09, 73, 61, 67.0, 0.00, 0.0, 0
2009-07-10, 78, 61, 69.5, 0.00, 0.0, 0
2009-07-11, 79, 65, 72.0, 0.27, 0.0, 0
2009-07-12, 84, 65, 74.5, 0.06, 0.0, 0
2009-07-13, 83, 63, 73.0, 0.00, 0.0, 0
2009-07-14, 82, 63, 72.5, 0.00, 0.0, 0
2009-07-15, 85, 65, 75.0, 0.00, 0.0, 0
2009-07-16, 86, 73, 79.5, 0.00, 0.0, 0
2009-07-17, 89, 68, 78.5, 0.09, 0.0, 0
2009-07-18, 85, 70, 77.5, 0.01, 0.0, 0
2009-07-19, 84, 67, 75.5, 0.00, 0.0, 0
2009-07-20, 83, 67, 75.0, 0.00, 0.0, 0
2009-07-21, 71, 64, 67.5, 0.87, 0.0, 0
2009-07-22, 84, 65, 74.5, 0.00, 0.0, 0
2009-07-23, 77, 64, 70.5, 0.42, 0.0, 0
2009-07-24, 81, 64, 72.5, 0.01, 0.0, 0
2009-07-25, 86, 65, 75.5, T, 0.0, 0
2009-07-26, 90, 69, 79.5, 1.13, T, 0
