Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
6/30/2009,71,54,0.36,0,0
7/1/2009,68,55,0.35,0,0
7/2/2009,68,58,0.84,0,0
7/3/2009,65,58,1.12,0,0
7/4/2009,65,55,0,0,0
7/5/2009,66,44,0,0,0
7/6/2009,73,49,0.01,0,0
7/7/2009,74,50,0,0,0
7/8/2009,68,52,0,0,0
7/9/2009, M, M,0,0,0
7/10/2009,77,48,0,0,0
7/11/2009,78,52,0,0,0
7/12/2009,74,46,0.96,0,0
7/13/2009,71,46,0,0,0
7/14/2009,69,44,0,0,0
7/15/2009,69,42,0,0,0
7/16/2009,77,43,0,0,0
7/17/2009,76,54,0,0,0
7/18/2009, M, M,0,0,0
7/19/2009,68,52,0,0,0
7/20/2009,70,45,0,0,0
7/21/2009,67,47,0,0,0
7/22/2009,68,52,0.02,0,0
7/23/2009,77,54,0.47,0,0
7/24/2009,76,61,0.68,0,0
7/25/2009,74,52,0.61,0,0
7/26/2009,78, M,0,0,0
7/27/2009,78,58,0.7,0,0
7/28/2009,76,55,0,0,0
7/29/2009,77, M,0,0,0
7/30/2009, M, M,0,0,0
7/31/2009, M, M,0,0,0
8/1/2009,81,52,0,0,0
8/2/2009,78,60,0.57,0,0
8/3/2009,80,59,0.27,0,0
8/4/2009,78,60,0,0,0
8/5/2009,77,60,0.9,0,0
8/6/2009,70,46,0,0,0
8/7/2009,69, M,0,0,0
8/8/2009,73,50,0,0,0
8/9/2009,71,53,0.77,0,0
8/10/2009,83,67,1.2,0,0
8/11/2009,82,67,0.2,0,0
8/12/2009,78,64,0.74,0,0
8/13/2009,79,61,0.16,0,0
8/14/2009,81,60,0,0,0
8/15/2009,82,57,0,0,0
8/16/2009,83,59,0,0,0
8/17/2009,87,61,0,0,0
8/18/2009,87, M,0,0,0
8/19/2009,77,65,1.36,0,0
8/20/2009,80,67,0,0,0
8/21/2009,81,66,0.7,0,0
8/22/2009,76,58,0.15,0,0
8/23/2009,77, M, T,0,0
8/24/2009,74,61,0.18,0,0
8/25/2009,71,50,0,0,0
8/26/2009,77, M,0,0,0
8/27/2009,73,56,0.67,0,0
8/28/2009,75,57,0,0,0
8/29/2009,71, M,0.5,0,0
8/30/2009,72,56,0.68,0,0
8/31/2009,68,51,0.3,0,0
9/1/2009,72,44,0,0,0
9/2/2009,69,46,0,0,0
9/3/2009,75,49,0,0,0
9/4/2009,78,50,0,0,0
9/5/2009,77,52,0,0,0
9/6/2009,77,51,0,0,0
9/7/2009,78, M,0,0,0
9/8/2009,76,57,0,0,0
9/9/2009,75,60,0,0,0
9/10/2009,69,53,0,0,0
9/11/2009,74,53,0,0,0
9/12/2009,65, M, T,0,0
9/13/2009,64,50,0,0,0
9/14/2009,72, M,0,0,0
9/15/2009,72,60,0,0,0
9/16/2009,70,50,0,0,0
9/17/2009,65,48,0,0,0
9/18/2009,67,51,0,0,0
9/19/2009,68,48,0,0,0
9/20/2009,69,38,0,0,0
9/21/2009,74, M,0,0,0
9/22/2009,75, M,0.01,0,0
9/23/2009,72, M,0.21,0,0
9/24/2009,75,62,0.01,0,0
9/25/2009,68,48,0,0,0
9/26/2009,68,46,0,0,0
9/27/2009,67,50,0.93,0,0
9/28/2009,66,53,0.38,0,0
9/29/2009,65,50,0.4,0,0
9/30/2009,60,44,0.82,0,0
10/1/2009,48,41,0.02,0,0
10/2/2009,49,38,0.01,0,0
10/3/2009,50, M,1.12,0,0
10/4/2009,62,46, T,0,0
10/5/2009,57,39,0,0,0
10/6/2009,55,33,0,0,0
10/7/2009,62, M,0.75,0,0
10/8/2009,52,37,0.44,0,0
10/9/2009,56, M,0.2,0,0
10/10/2009,54,42,0.45,0,0
10/11/2009,54,38,0.01,0,0
10/12/2009,48,30,0,0,0
10/13/2009,50, M, T,0,0
10/14/2009,46,28,0.02,0,0
10/15/2009,43,33,0,0,0
10/16/2009,36,29,0.22,2.5,3
10/17/2009, M, M, M, M, M
10/18/2009, M, M, M, M, M
10/19/2009,48,25,0,0,0
10/20/2009,55, M,0,0,0
10/21/2009,62, M,0,0,0
10/22/2009,63,50, T,0,0
10/23/2009,65,40, T,0,0
10/24/2009,58, M,2,0,0
10/25/2009,55,40,0.02,0,0
10/26/2009,58,31,0,0,0
10/27/2009,61, M,0,0,0
10/28/2009,62, M,0.67,0,0
10/29/2009,54,46,0.22,0,0
10/30/2009,58,48,0,0,0
10/31/2009,65, M,0.02,0,0
11/1/2009, M,41,0.4,0,0
11/2/2009,50,26,0,0,0
11/3/2009,54, M,0.01,0,0
11/4/2009,50,26,0.01,0,0
11/5/2009,44,29,0,0,0
11/6/2009,39,29,0.02, M,0
11/7/2009,42,30,0,0,0
11/8/2009,68, M,0,0,0
11/9/2009,66,40,0,0,0
11/10/2009,68, M,0,0,0
11/11/2009,54,32,0,0,0
11/12/2009,51,26,0,0,0
11/13/2009,52,27,0,0,0
11/14/2009,65, M,0,0,0
11/15/2009,66,41,0,0,0
11/16/2009,51, M,0,0,0
11/17/2009,52,33,0,0,0
11/18/2009,57, M,0,0,0
11/19/2009,56, M,0.38,0,0
11/20/2009,50,41,1.14,0,0
11/21/2009,50,41,0.02,0,0
11/22/2009,49,43,0,0,0
11/23/2009,50,36,0,0,0
11/24/2009,53,41, T,0,0
11/25/2009,50,44, T,0,0
11/26/2009,51,42,0.17,0,0
11/27/2009,47,33,0.01,0,0
11/28/2009,42,34,0.15,0,0
11/29/2009,45,38,0,0,0
11/30/2009,54,36,0.6,0,0
12/1/2009,37,29,0.25,1,1
12/2/2009,42,24,0,0, M
12/3/2009,47, M,0.6,0, M
12/4/2009,47,28,0.42,0,0
12/5/2009,38,24,0,0,0
12/6/2009,37,26,0.11,1.5,2
12/7/2009,35,22,0,0,1
12/8/2009,32, M,0.17,2,3
12/9/2009,34,30,0.06,0,3
12/10/2009,38,22,0.61,1,2
12/11/2009,27,13,0.5,5,7
12/12/2009,22, M,0.48,5,10
12/13/2009,32, M,0,0,9
12/14/2009,34,30,0.22,0,2
12/15/2009,37,34,0.01,0, M
12/16/2009,37,23,0.24,3,3
12/17/2009,24,22,0.26,3,6
12/18/2009,27,23,0,0,5
12/19/2009,28,22,0,0,4
12/20/2009,27,20,0,0,3
12/21/2009,28, M,0.09,1,3
12/22/2009,27,23,0.51,5,8
12/23/2009,26,2,0.04,0.5,9
12/24/2009,20,15,0,0,8
12/25/2009,34,18,0,0,7
12/26/2009,40, M,0.53,0, M
12/27/2009, M,29,0.43,0, M
12/28/2009,35,20,0.51,6,6
12/29/2009,22,8,0.16,2,8
12/30/2009,22,8,0.08,1,9
12/31/2009,31, M,0,0,8
1/1/2010,35,23,0.18,2,9
1/2/2010, M,8,0.36,4,12
1/3/2010,14,8,0.39,4,15
1/4/2010,14,13,0.3,3,18
1/5/2010,16,13,0.12,1.5,19
1/6/2010,17,15,0,0,19
1/7/2010,19,16,0.03,0.5,19
1/8/2010,24, M,0.37,4,21
1/9/2010, M,12,0.26,3,22
1/10/2010,18,-13,0,0,21
1/11/2010,20, M,0,0,21
1/12/2010,21,13,0.18,2,20
1/13/2010,20,15,0,0,19
1/14/2010,27,13,0,0,18
1/15/2010,43,13,0,0,14
1/16/2010,38,30,0,0,10
1/17/2010,42,20,0,0,10
1/18/2010,38, M,0.22,0,5
1/19/2010,36,28,0,0,4
1/20/2010,29,24,0.11,1,4
1/21/2010, M, M,0.32,1,1
1/22/2010,36,6,0.12,1.5,3
1/23/2010,34,6,0,0,2
1/24/2010,40, M,0,0,2
1/25/2010,50, M,0.65,0,0
1/26/2010, M,41,0.08,1,1
1/27/2010, M,20,0.08,1,2
1/28/2010,27,18,0.29,3,4
1/29/2010,26,7,0.37,4,8
1/30/2010,13,-3,0,0,7
1/31/2010,20,-8,0,0,7
2/1/2010,24, M,0.21,3,9
2/2/2010,22,2,0,0,7
2/3/2010,30,6,0.08,1,6
2/4/2010,28,7,0,0,6
2/5/2010,30,5,0,0,5
2/6/2010,29,13,0,0,5
2/7/2010,21,-3,0,0,4
2/8/2010,22,5,0,0,4
2/9/2010,27,4,0,0,3
2/10/2010,25,12,0.48,5,7
2/11/2010,28, M,0.19,2,9
2/12/2010,26,17,0,0,8
2/13/2010,23,12,0,0,8
2/14/2010,24,19,0,0,7
2/15/2010,26,17,0.22,3,10
2/16/2010,37,19,0.11,2,11
2/17/2010,26,19,0,0,10
2/18/2010,29,21,0.29,4,13
2/19/2010,29,21,0.15,1.5,13
2/20/2010,31,10,0,0,13
2/21/2010,34,10,0,0,12
2/22/2010,37,10,0,0,12
2/23/2010,39,20,0.11,0,12
2/24/2010,32,26,0,0,11
2/25/2010,32,17,0,0,11
2/26/2010,30,15,0.31,4,13
2/27/2010,30,11,0.32,4,17
2/28/2010,30,20,0.57,6,22
3/1/2010, M, M, M, M, M
3/2/2010, M, M, M, M, M
3/3/2010, M, M, M, M, M
3/4/2010, M, M, M, M, M
3/5/2010, M, M, M, M, M
3/6/2010, M, M, M, M, M
3/7/2010, M, M, M, M, M
3/8/2010, M, M, M, M, M
3/9/2010, M, M, M, M, M
3/10/2010, M, M, M, M, M
3/11/2010, M, M, M, M, M
3/12/2010, M, M, M, M, M
3/13/2010, M, M, M, M, M
3/14/2010, M, M, M, M, M
3/15/2010, M, M, M, M, M
3/16/2010, M, M, M, M, M
3/17/2010, M, M, M, M, M
3/18/2010, M, M, M, M, M
3/19/2010, M, M, M, M, M
3/20/2010, M, M, M, M, M
3/21/2010, M, M, M, M, M
3/22/2010, M, M, M, M, M
3/23/2010, M, M, M, M, M
3/24/2010, M, M, M, M, M
3/25/2010, M, M, M, M, M
3/26/2010, M, M, M, M, M
3/27/2010, M, M, M, M, M
3/28/2010, M, M, M, M, M
3/29/2010, M, M, M, M, M
3/30/2010, M, M, M, M, M
3/31/2010, M, M, M, M, M
4/1/2010,61,24,0,0, M
4/2/2010,79,31,0,0,0
4/3/2010,82,41,0,0,0
4/4/2010,83,38,0,0,0
4/5/2010,73,39,0,0,0
4/6/2010,71,41,0.23,0,0
4/7/2010,74,46,0.12,0,0
4/8/2010,77,48,0.12,0,0
4/9/2010,73,33,0.27,0,0
4/10/2010,47,29, T,0,0
4/11/2010,56, M,0,0,0
4/12/2010,59,26,0,0,0
4/13/2010,54,27,0,0,0
4/14/2010,57,27,0,0,0
4/15/2010,64,28,0,0,0
4/16/2010,75,33,0,0,0
4/17/2010,69,33,0.38,0,0
4/18/2010,48,32,0.15,0,0
4/19/2010,47,28,0.1,0,0
4/20/2010,53,28,0,0,0
4/21/2010,61,28,0,0,0
4/22/2010,62,33,0,0,0
4/23/2010,52,25,0,0,0
4/24/2010,62,26,0,0,0
4/25/2010,66, M,0.63,0,0
4/26/2010,52,46,0.18,0,0
4/27/2010,49,33,0.48,0,0
4/28/2010,44,31,0,0,0
4/29/2010,51,25,0,0,0
4/30/2010,61,27,0,0,0
5/1/2010,72,43,0,0,0
5/2/2010,78,55,0,0,0
5/3/2010,75, M,0,0,0
5/4/2010,70,45,0.27,0,0
5/5/2010,68,41,0,0,0
5/6/2010,78,44,0.6,0,0
5/7/2010,58,34,0,0,0
5/8/2010,67,35,0.4,0,0
5/9/2010,51,32,0.37,0,0
5/10/2010,42,24,0,0,0
5/11/2010,50,26,0,0,0
5/12/2010,47,33,0.42,0,0
5/13/2010, M,31,0.02,0,0
5/14/2010,60,37,0.33,0,0
5/15/2010,73,47,0,0,0
5/16/2010,60,39,0,0,0
5/17/2010,64,38,0,0,0
5/18/2010,66,41,0.02,0,0
5/19/2010,52,46,0.32,0,0
5/20/2010,74,40,0,0,0
5/21/2010,78,45,0,0,0
5/22/2010,79, M,0,0,0
5/23/2010,71,57,0.01,0,0
5/24/2010,76,52,0,0,0
5/25/2010,82,52,0,0,0
5/26/2010,84,54,0,0,0
5/27/2010,82,54,0,0,0
5/28/2010,82,54,0,0,0
5/29/2010,80,58,0,0,0
5/30/2010,84,48,0,0,0
5/31/2010,86, M,0,0,0
6/1/2010,84, M,0.67,0,0
6/2/2010,75,44,0.12,0,0
6/3/2010,79,46,0.34,0,0
6/4/2010,77,60,0,0,0
6/5/2010,77,62,0.61,0,0
6/6/2010,78,51,1.1,0,0
6/7/2010, M,49,0.11,0,0
6/8/2010,64,38,0,0,0
6/9/2010,64,43,0.01,0,0
