Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 22, 2, 12.0, 0.31, 2.6, 5
2009-01-02, 17, 3, 10.0, 0.00, 0.0, 4
2009-01-03, 30, 14, 22.0, M, 1.6, 3
2009-01-04, 30, 2, 16.0, T, T, 3
2009-01-05, 30, 1, 15.5, 0.01, 0.4, 2
2009-01-06, 37, 2, 19.5, 0.00, 0.0, 2
2009-01-07, 30, 1, 15.5, 0.36, 0.5, 2
2009-01-08, 35, 27, 31.0, 0.78, 2.1, 4
2009-01-09, 28, 14, 21.0, 0.80, 0.6, 6
2009-01-10, 28, -3, 12.5, 0.00, 0.0, 6
2009-01-11, 19, -3, 8.0, 0.47, 4.8, 9
2009-01-12, 22, 8, 15.0, 0.00, 0.0, 7
2009-01-13, 28, 9, 18.5, 0.00, 0.0, 7
2009-01-14, 31, 7, 19.0, 0.07, 1.1, 8
2009-01-15, 14, 1, 7.5, 0.04, 1.0, 6
2009-01-16, 14, -14, 0.0, 0.00, 0.0, 6
2009-01-17, 11, -10, 0.5, 0.00, 0.0, 6
2009-01-18, 13, -10, 1.5, 0.13, 3.2, 9
2009-01-19, 23, 13, 18.0, 0.04, 0.6, 9
2009-01-20, 22, -10, 6.0, 0.01, T, 8
2009-01-21, 21, -10, 5.5, T, T, 8
2009-01-22, 19, -2, 8.5, 0.00, 0.0, 8
2009-01-23, 32, 9, 20.5, 0.00, 0.0, 8
2009-01-24, 41, 20, 30.5, T, T, 7
2009-01-25, 20, -12, 4.0, 0.00, 0.0, 7
2009-01-26, 20, -13, 3.5, 0.00, 0.0, 7
2009-01-27, 22, -8, 7.0, 0.00, 0.0, 7
2009-01-28, 24, 3, 13.5, 0.20, 3.3, 9
2009-01-29, 34, 17, 25.5, 0.50, 3.1, 12
2009-01-30, 24, 17, 20.5, 0.00, 0.0, 12
2009-01-31, 31, 9, 20.0, 0.04, 0.5, 11
2009-02-01, 24, 8, 16.0, 0.03, 0.5, 9
2009-02-02, M, M, M, M, M, M
2009-02-03, M, 15, M, 0.02A, T, 10
2009-02-04, 30, -0, 15.0, 0.01, T, 9
2009-02-05, 19, -5, 7.0, 0.00, 0.0, 9
2009-02-06, 16, -6, 5.0, 0.00, 0.0, 9
2009-02-07, 24, 1, 12.5, 0.00, 0.0, 8
2009-02-08, 48, 2, 25.0, 0.00, 0.0, 4
2009-02-09, 46, 25, 35.5, 0.00, 0.0, 3
2009-02-10, 40, 22, 31.0, 0.00, 0.0, 3
2009-02-11, 45, 24, 34.5, 0.00, 0.0, 3
2009-02-12, 51, 33, 42.0, 0.21, 0.0, 0
2009-02-13, 39, 23, 31.0, 0.38, T, T
2009-02-14, 30, 14, 22.0, 0.00, 0.0, 0
2009-02-15, 36, 15, 25.5, 0.00, 0.0, 0
2009-02-16, 34, 12, 23.0, 0.00, 0.0, 0
2009-02-17, 33, 7, 20.0, 0.00, 0.0, 0
2009-02-18, 34, 7, 20.5, 0.00, 0.0, 0
2009-02-19, 36, 14, 25.0, 0.29, 2.6, 3
2009-02-20, 36, 13, 24.5, 0.07, 1.0, 3
2009-02-21, 24, 13, 18.5, 0.08, 1.3, 4
2009-02-22, M, M, M, M, M, M
2009-02-23, 32, 17, 24.5, 0.06A, 0.8A, 3
2009-02-24, 21, 11, 16.0, 0.01, T, 3
2009-02-25, 26, 5, 15.5, 0.00, 0.0, 3
2009-02-26, 39, 6, 22.5, 0.05, 0.7, 3
2009-02-27, 50, 31, 40.5, 0.00, 0.0, 0
2009-02-28, 48, 16, 32.0, 0.51, T, T
2009-03-01, 39, 14, 26.5, 0.00, 0.0, 0
2009-03-02, 35, 11, 23.0, 0.00, 0.0, 0
2009-03-03, 14, 5, 9.5, 0.03, T, T
2009-03-04, 19, 5, 12.0, 0.00, 0.0, 0
2009-03-05, 31, 6, 18.5, 0.00, 0.0, 0
2009-03-06, 43, 6, 24.5, 0.02, 0.0, 0
2009-03-07, 58, 6, 32.0, 0.00, 0.0, 0
2009-03-08, 55, 28, 41.5, 0.32, 0.0, 0
2009-03-09, 44, 36, 40.0, 0.69, 0.0, 0
2009-03-10, 41, 27, 34.0, 0.37, 0.0, 0
2009-03-11, 38, 29, 33.5, 0.12, 0.0, 0
2009-03-12, 56, 22, 39.0, T, T, 0
2009-03-13, 28, 16, 22.0, 0.01, 0.0, 0
2009-03-14, 36, 16, 26.0, 0.00, 0.0, 0
2009-03-15, 51, 17, 34.0, 0.00, 0.0, 0
2009-03-16, 58, 20, 39.0, 0.00, 0.0, 0
2009-03-17, 58, 23, 40.5, 0.00, 0.0, 0
2009-03-18, 58, 25, 41.5, 0.00, 0.0, 0
2009-03-19, 59, 33, 46.0, 0.66, 0.0, 0
2009-03-20, 51, 26, 38.5, 0.00, 0.0, 0
2009-03-21, 41, 15, 28.0, 0.00, 0.0, 0
2009-03-22, 45, 14, 29.5, 0.00, 0.0, 0
2009-03-23, 39, 14, 26.5, 0.00, 0.0, 0
2009-03-24, M, M, M, M, M, M
2009-03-25, 44, 11, 27.5, 0.00, 0.0, 0
2009-03-26, 53, 17, 35.0, 0.00, 0.0, 0
2009-03-27, 47, 39, 43.0, 0.06, 0.0, 0
2009-03-28, 60, 38, 49.0, 0.00, 0.0, 0
2009-03-29, 69, 40, 54.5, 0.03, 0.0, 0
2009-03-30, 56, 35, 45.5, 0.59, 0.0, 0
2009-03-31, 36, 32, 34.0, 0.02, 0.0, 0
2009-04-01, 50, 32, 41.0, 0.00, 0.0, 0
2009-04-02, 45, 40, 42.5, 0.07, 0.0, 0
2009-04-03, 65, 43, 54.0, 0.00, 0.0, 0
2009-04-04, 61, 36, 48.5, 0.75, T, 0
2009-04-05, 39, 34, 36.5, 0.16, 0.0, 0
2009-04-06, 52, 33, 42.5, 0.01, 0.0, 0
2009-04-07, 48, 31, 39.5, 0.31, T, 0
2009-04-08, 33, 27, 30.0, 0.11, 0.0, 0
2009-04-09, 38, 24, 31.0, 0.00, 0.0, 0
2009-04-10, 57, 24, 40.5, 0.00, 0.0, 0
2009-04-11, 59, 30, 44.5, 0.18, 0.0, 0
2009-04-12, 58, 26, 42.0, 0.00, 0.0, 0
2009-04-13, 39, 20, 29.5, 0.00, 0.0, 0
2009-04-14, 52, 21, 36.5, 0.00, 0.0, 0
2009-04-15, 61, 30, 45.5, 0.00, 0.0, 0
2009-04-16, 62, 26, 44.0, 0.00, 0.0, 0
2009-04-17, 64, 27, 45.5, 0.00, 0.0, 0
2009-04-18, 68, 30, 49.0, 0.00, 0.0, 0
2009-04-19, 73, 43, 58.0, 0.00, 0.0, 0
2009-04-20, 62, 41, 51.5, 0.00, 0.0, 0
2009-04-21, 48, 38, 43.0, 0.81, 0.0, 0
2009-04-22, 69, 40, 54.5, 0.09, 0.0, 0
2009-04-23, 53, 37, 45.0, 0.10, 0.0, 0
2009-04-24, 46, 28, 37.0, 0.06, 0.0, 0
2009-04-25, 74, 28, 51.0, 0.00, 0.0, 0
2009-04-26, 88, 49, 68.5, 0.00, 0.0, 0
2009-04-27, 87, 48, 67.5, 0.00, 0.0, 0
2009-04-28, 92, 49, 70.5, 0.00, 0.0, 0
2009-04-29, 87, 35, 61.0, 0.00, 0.0, 0
2009-04-30, 56, 34, 45.0, 0.00, 0.0, 0
2009-05-01, 61, 35, 48.0, 0.07, 0.0, 0
2009-05-02, 71, 35, 53.0, 0.94, 0.0, 0
2009-05-03, 63, 37, 50.0, 0.00, 0.0, 0
2009-05-04, 63, 37, 50.0, 0.00, 0.0, 0
