Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 13, -1, 6.0, 0.00, M, M
2009-01-02, 21, -2, 9.5, T, M, M
2009-01-03, 24, 15, 19.5, T, M, M
2009-01-04, 20, 7, 13.5, T, M, M
2009-01-05, 34, 20, 27.0, 0.07, M, M
2009-01-06, 33, 20, 26.5, T, M, M
2009-01-07, 34, 21, 27.5, 0.04, M, M
2009-01-08, 35, 13, 24.0, 0.04, M, M
2009-01-09, 19, 5, 12.0, 0.00, M, M
2009-01-10, 12, -9, 1.5, 0.00, M, M
2009-01-11, 15, -4, 5.5, T, M, M
2009-01-12, 23, 1, 12.0, T, M, M
2009-01-13, 33, 13, 23.0, T, M, M
2009-01-14, 27, -6, 10.5, T, M, M
2009-01-15, 1, -21, -10.0, T, M, M
2009-01-16, 5, -25, -10.0, T, M, M
2009-01-17, 13, -19, -3.0, T, M, M
2009-01-18, 26, 12, 19.0, T, M, M
2009-01-19, 16, 11, 13.5, T, M, M
2009-01-20, 17, -1, 8.0, T, M, M
2009-01-21, M, M, M, T, M, M
2009-01-22, M, M, M, 0.04, M, M
2009-01-23, M, M, M, T, M, M
2009-01-24, M, M, M, T, M, M
2009-01-25, M, M, M, T, M, M
2009-01-26, M, M, M, T, M, M
2009-01-27, 22, -1, 10.5, T, M, M
2009-01-28, 27, 3, 15.0, 0.45, M, M
2009-01-29, 29, 16, 22.5, T, M, M
2009-01-30, 35, 18, 26.5, T, M, M
2009-01-31, 23, -5, 9.0, 0.00, M, M
2009-02-01, 33, 2, 17.5, T, M, M
2009-02-02, 38, 14, 26.0, T, M, M
2009-02-03, 22, 9, 15.5, 0.00, M, M
2009-02-04, 13, -5, 4.0, 0.00, M, M
2009-02-05, 11, -5, 3.0, T, M, M
2009-02-06, 21, -6, 7.5, T, M, M
2009-02-07, 42, -3, 19.5, T, M, M
2009-02-08, 49, 21, 35.0, T, M, M
2009-02-09, 22, 9, 15.5, T, M, M
2009-02-10, 35, 10, 22.5, T, M, M
2009-02-11, 46, 27, 36.5, 0.19, M, M
2009-02-12, 48, 29, 38.5, 0.39, M, M
2009-02-13, 29, 16, 22.5, 0.00, M, M
2009-02-14, 34, 14, 24.0, 0.00, M, M
2009-02-15, 26, 12, 19.0, 0.00, M, M
2009-02-16, 26, 13, 19.5, T, M, M
2009-02-17, 32, 18, 25.0, 0.00, M, M
2009-02-18, 37, 10, 23.5, 0.02, M, M
2009-02-19, 42, 24, 33.0, 0.01, M, M
2009-02-20, 24, 13, 18.5, 0.00, M, M
2009-02-21, 34, 19, 26.5, 0.00, M, M
2009-02-22, 33, 23, 28.0, 0.09, M, M
2009-02-23, 28, 17, 22.5, T, M, M
2009-02-24, 22, 8, 15.0, 0.00, M, M
2009-02-25, 31, 11, 21.0, T, M, M
2009-02-26, 40, 26, 33.0, T, M, M
2009-02-27, 50, 25, 37.5, 0.04, M, M
2009-02-28, 25, 5, 15.0, T, M, M
2009-03-01, 22, 1, 11.5, 0.00, M, M
2009-03-02, 20, 11, 15.5, 0.01, M, M
2009-03-03, 20, 5, 12.5, T, M, M
2009-03-04, 31, 6, 18.5, 0.00, M, M
2009-03-05, 36, 4, 20.0, T, M, M
2009-03-06, 55, 35, 45.0, T, M, M
2009-03-07, 50, 36, 43.0, 0.17, M, M
2009-03-08, 49, 29, 39.0, 0.09, M, M
2009-03-09, 32, 26, 29.0, 0.10, M, M
2009-03-10, 38, 26, 32.0, 0.02, M, M
2009-03-11, 55, 26, 40.5, 0.18, M, M
2009-03-12, 26, 12, 19.0, 0.00, M, M
2009-03-13, 32, 7, 19.5, T, M, M
2009-03-14, 49, 19, 34.0, T, M, M
2009-03-15, 50, 23, 36.5, 0.00, M, M
2009-03-16, 42, 25, 33.5, 0.00, M, M
2009-03-17, 55, 22, 38.5, 0.00, M, M
2009-03-18, 58, 26, 42.0, 0.04, M, M
2009-03-19, 52, 25, 38.5, 0.00, M, M
2009-03-20, 32, 17, 24.5, 0.00, M, M
2009-03-21, 43, 12, 27.5, 0.00, M, M
2009-03-22, 38, 23, 30.5, T, M, M
2009-03-23, 29, 16, 22.5, 0.00, M, M
2009-03-24, 40, 20, 30.0, 0.00, M, M
2009-03-25, 52, 18, 35.0, 0.00, M, M
2009-03-26, 51, 26, 38.5, 0.29, M, M
2009-03-27, 56, 30, 43.0, T, M, M
2009-03-28, 65, 28, 46.5, 0.00, M, M
2009-03-29, 48, 35, 41.5, 0.37, M, M
2009-03-30, 47, 39, 43.0, 0.09, M, M
2009-03-31, 42, 27, 34.5, 0.00, M, M
2009-04-01, 49, 25, 37.0, T, M, M
2009-04-02, 60, 29, 44.5, 0.00, M, M
2009-04-03, 60, 31, 45.5, 0.14, M, M
2009-04-04, 49, 37, 43.0, 0.37, M, M
2009-04-05, 46, 37, 41.5, 0.00, M, M
2009-04-06, 42, 36, 39.0, 0.26, M, M
2009-04-07, 42, 31, 36.5, 0.19, M, M
2009-04-08, 42, 32, 37.0, T, M, M
2009-04-09, 53, 26, 39.5, T, M, M
2009-04-10, 47, 27, 37.0, 0.00, M, M
2009-04-11, 48, 30, 39.0, 0.00, M, M
2009-04-12, 37, 29, 33.0, T, M, M
2009-04-13, 51, 29, 40.0, 0.00, M, M
2009-04-14, 51, 26, 38.5, 0.00, M, M
2009-04-15, 58, 27, 42.5, 0.00, M, M
2009-04-16, 57, 26, 41.5, 0.00, M, M
2009-04-17, 69, 27, 48.0, 0.00, M, M
2009-04-18, 56, 38, 47.0, 0.02, M, M
2009-04-19, 52, 31, 41.5, 0.00, M, M
2009-04-20, 57, 24, 40.5, 0.09, M, M
2009-04-21, 51, 39, 45.0, 0.18, M, M
2009-04-22, 59, 40, 49.5, 0.12, M, M
2009-04-23, 55, 42, 48.5, T, M, M
2009-04-24, 67, 34, 50.5, 0.00, M, M
2009-04-25, 88, 50, 69.0, 0.12, M, M
2009-04-26, 72, 45, 58.5, 0.12, M, M
2009-04-27, 93, 43, 68.0, 0.00, M, M
2009-04-28, 86, 45, 65.5, 0.02, M, M
2009-04-29, 54, 33, 43.5, 0.00, M, M
2009-04-30, 68, 28, 48.0, 0.02, M, M
2009-05-01, 74, 48, 61.0, 0.10, M, M
2009-05-02, 61, 44, 52.5, T, M, M
2009-05-03, 68, 41, 54.5, 0.00, M, M
2009-05-04, 69, 37, 53.0, 0.00, M, M
2009-05-05, 64, 37, 50.5, T, M, M
2009-05-06, 60, 47, 53.5, 0.31, M, M
2009-05-07, 60, 50, 55.0, 0.45, M, M
2009-05-08, 73, 49, 61.0, T, M, M
2009-05-09, 63, 46, 54.5, 0.59, M, M
2009-05-10, 55, 44, 49.5, 0.15, M, M
2009-05-11, 60, 35, 47.5, 0.00, M, M
2009-05-12, 64, 32, 48.0, 0.00, M, M
2009-05-13, 69, 32, 50.5, 0.00, M, M
2009-05-14, 63, 50, 56.5, 0.03, M, M
2009-05-15, 68, 44, 56.0, 0.00, M, M
2009-05-16, 65, 42, 53.5, 1.01, M, M
2009-05-17, 63, 45, 54.0, T, M, M
2009-05-18, 54, 37, 45.5, 0.00, M, M
2009-05-19, 71, 32, 51.5, T, M, M
2009-05-20, 69, 48, 58.5, 0.02, M, M
2009-05-21, 91, 46, 68.5, T, M, M
2009-05-22, 72, 46, 59.0, 0.00, M, M
2009-05-23, 68, 41, 54.5, 0.00, M, M
2009-05-24, 78, 53, 65.5, 0.01, M, M
2009-05-25, 64, 41, 52.5, 0.00, M, M
2009-05-26, 61, 36, 48.5, 0.00, M, M
2009-05-27, 54, 43, 48.5, 0.24, M, M
2009-05-28, 56, 51, 53.5, 0.35, M, M
2009-05-29, 68, 52, 60.0, 0.17, M, M
2009-05-30, 71, 48, 59.5, 0.02, M, M
2009-05-31, 68, 38, 53.0, 0.01, M, M
2009-06-01, 64, 33, 48.5, 0.02, M, M
2009-06-02, 67, 46, 56.5, 0.00, M, M
2009-06-03, 67, 42, 54.5, 0.00, M, M
2009-06-04, 67, 41, 54.0, 0.00, M, M
2009-06-05, 73, 37, 55.0, 0.00, M, M
2009-06-06, 78, 45, 61.5, 0.00, M, M
2009-06-07, 66, 45, 55.5, 0.11, M, M
2009-06-08, 65, 38, 51.5, 0.00, M, M
2009-06-09, 66, 51, 58.5, 0.50, M, M
2009-06-10, 71, 51, 61.0, 0.00, M, M
2009-06-11, 71, 55, 63.0, 0.26, M, M
2009-06-12, 72, 53, 62.5, 0.34, M, M
2009-06-13, 74, 48, 61.0, 0.05, M, M
2009-06-14, 78, 55, 66.5, 0.10, M, M
2009-06-15, 70, 51, 60.5, 0.00, M, M
2009-06-16, 74, 47, 60.5, 0.01, M, M
2009-06-17, 74, 50, 62.0, 0.00, M, M
2009-06-18, 61, 55, 58.0, 0.27, M, M
2009-06-19, 69, 59, 64.0, 0.02, M, M
2009-06-20, 73, 60, 66.5, 0.00, M, M
2009-06-21, 79, 65, 72.0, T, M, M
2009-06-22, 70, 61, 65.5, 0.00, M, M
2009-06-23, 80, 61, 70.5, 0.00, M, M
2009-06-24, 83, 63, 73.0, 0.00, M, M
2009-06-25, 83, 60, 71.5, 0.17, M, M
2009-06-26, 84, 61, 72.5, 0.04, M, M
2009-06-27, 74, 60, 67.0, 0.06, M, M
2009-06-28, 78, 56, 67.0, T, M, M
2009-06-29, 69, 57, 63.0, 0.45, M, M
2009-06-30, 78, 55, 66.5, 0.43, M, M
2009-07-01, 78, 58, 68.0, 0.01, M, M
2009-07-02, 72, 62, 67.0, 0.02, M, M
2009-07-03, 75, 62, 68.5, 0.24, M, M
2009-07-04, 74, 56, 65.0, 0.22, M, M
2009-07-05, 79, 54, 66.5, 0.00, M, M
2009-07-06, 74, 50, 62.0, 0.10, M, M
2009-07-07, 66, 52, 59.0, 0.36, M, M
2009-07-08, 65, 55, 60.0, 0.65, M, M
2009-07-09, 74, 53, 63.5, 0.00, M, M
2009-07-10, 79, 49, 64.0, 0.01, M, M
2009-07-11, 76, 53, 64.5, 0.55, M, M
2009-07-12, 75, 56, 65.5, 0.00, M, M
2009-07-13, 74, 50, 62.0, 0.06, M, M
