Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, M, M, M, 0.05, 0.5, 4
2009-01-02, M, M, M, 0.00, 0.0, 4
2009-01-03, M, M, M, 0.04, 1.0, 5
2009-01-04, M, M, M, 0.00, 0.0, 5
2009-01-05, M, M, M, 0.00, 0.0, 3
2009-01-06, M, M, M, 0.00, 0.0, 3
2009-01-07, M, M, M, 0.30, 0.0, 3
2009-01-08, M, M, M, 0.14, 1.0, 3
2009-01-09, M, M, M, 0.00, T, 3
2009-01-10, M, M, M, 0.00, T, 3
2009-01-11, M, M, M, 0.30, 5.0, 8
2009-01-12, M, M, M, 0.00, 0.0, 8
2009-01-13, M, M, M, 0.00, 0.0, 8
2009-01-14, M, M, M, 0.01, T, 8
2009-01-15, M, M, M, 0.03, 0.5, 8
2009-01-16, M, M, M, T, T, 7
2009-01-17, M, M, M, 0.00, 0.0, 7
2009-01-18, M, M, M, 0.08, 1.5, 9
2009-01-19, M, M, M, 0.02, 0.5, 9
2009-01-20, M, M, M, T, T, 9
2009-01-21, M, M, M, 0.02, 1.0, 10
2009-01-22, M, M, M, 0.00, 0.0, 10
2009-01-23, M, M, M, 0.00, 0.0, 7
2009-01-24, M, M, M, 0.00, T, 6
2009-01-25, M, M, M, 0.00, 0.0, 6
2009-01-26, M, M, M, 0.00, 0.0, 6
2009-01-27, M, M, M, 0.00, 0.0, 6
2009-01-28, M, M, M, 0.18, 3.0, 9
2009-01-29, M, M, M, 0.23, 5.0, 14
2009-01-30, M, M, M, 0.00, 0.0, 12
2009-01-31, M, M, M, T, T, 12
2009-02-01, M, M, M, T, 0.5, 12
2009-02-02, M, M, M, 0.00, 0.0, 10
2009-02-03, M, M, M, 0.00, 0.0, 9
2009-02-04, M, M, M, 0.00, 0.0, 9
2009-02-05, M, M, M, 0.02, T, 9
2009-02-06, M, M, M, 0.00, 0.0, 9
2009-02-07, M, M, M, 0.00, 0.0, 9
2009-02-08, M, M, M, 0.00, 0.0, 2
2009-02-09, M, M, M, 0.00, 0.0, 1
2009-02-10, M, M, M, 0.00, 0.0, 1
2009-02-11, M, M, M, 0.00, 0.0, 1
2009-02-12, M, M, M, 0.12, 0.0, 0
2009-02-13, M, M, M, 0.70, 1.0, 1
2009-02-14, M, M, M, 0.00, 0.0, 1
2009-02-15, M, M, M, 0.00, 0.0, 1
2009-02-16, M, M, M, 0.00, 0.0, 1
2009-02-17, M, M, M, 0.00, 0.0, 1
2009-02-18, M, M, M, 0.00, 0.0, T
2009-02-19, M, M, M, 0.18, 0.5, 1
2009-02-20, M, M, M, 0.00, 0.0, 1
2009-02-21, M, M, M, 0.00, T, 1
2009-02-22, M, M, M, 0.00, 0.0, T
2009-02-23, M, M, M, 0.02, T, T
2009-02-24, M, M, M, 0.01, 1.0, 1
2009-02-25, M, M, M, 0.00, 0.0, 1
2009-02-26, M, M, M, 0.01, T, 1
2009-02-27, M, M, M, 0.00, 0.0, 0
2009-02-28, M, M, M, 0.21, 1.0, 1
2009-03-01, M, M, M, 0.00, 0.0, 0
2009-03-02, M, M, M, 0.00, 0.0, 0
2009-03-03, M, M, M, 0.00, 0.0, 0
2009-03-04, M, M, M, 0.03, 1.0, 1
2009-03-05, M, M, M, 0.00, 0.0, 1
2009-03-06, M, M, M, 0.00, 0.0, 0
2009-03-07, M, M, M, 0.00, 0.0, 0
2009-03-08, M, M, M, 0.32, 0.0, 0
2009-03-09, M, M, M, 0.65, 0.0, 0
2009-03-10, M, M, M, 0.18, 0.0, 0
2009-03-11, M, M, M, 0.34, 0.0, 0
2009-03-12, M, M, M, 0.00, 0.0, 0
2009-03-13, M, M, M, 0.00, 0.0, 0
2009-03-14, M, M, M, 0.00, 0.0, 0
2009-03-15, M, M, M, 0.00, 0.0, 0
2009-03-16, M, M, M, 0.00, 0.0, 0
2009-03-17, M, M, M, 0.00, 0.0, 0
2009-03-18, M, M, M, 0.00, 0.0, 0
2009-03-19, M, M, M, 0.50, 0.0, 0
2009-03-20, M, M, M, 0.00, 0.0, 0
2009-03-21, M, M, M, 0.00, 0.0, 0
2009-03-22, M, M, M, 0.00, 0.0, 0
2009-03-23, M, M, M, 0.00, 0.0, 0
2009-03-24, M, M, M, 0.00, 0.0, 0
2009-03-25, M, M, M, 0.00, 0.0, 0
2009-03-26, M, M, M, 0.00, 0.0, 0
2009-03-27, M, M, M, 0.50, 0.0, 0
