Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 23, -1, 11.0, 0.22, 4.0, 4
2009-01-02, 18, -0, 9.0, 0.00, 0.0, 4
2009-01-03, 28, 14, 21.0, 0.03, 1.2, 4
2009-01-04, 28, 4, 16.0, 0.04, 2.0, 5
2009-01-05, 34, 3, 18.5, 0.01, 0.0, 3
2009-01-06, 36, 5, 20.5, 0.00, 0.0, 3
2009-01-07, 30, 5, 17.5, 0.23, 1.0, 4
2009-01-08, 30, 27, 28.5, 0.47, 0.5, 4
2009-01-09, 29, 17, 23.0, 0.03, 1.0, 4
2009-01-10, 24, 1, 12.5, T, T, 4
2009-01-11, 22, 4, 13.0, 0.63, 6.5, 11
2009-01-12, 20, 11, 15.5, T, T, 11
2009-01-13, 25, 7, 16.0, 0.00, 0.0, 10
2009-01-14, 31, 5, 18.0, 0.04, 1.0, 8
2009-01-15, 12, 3, 7.5, 0.04, 1.2, 8
2009-01-16, 12, -12, 0.0, T, T, 7
2009-01-17, 9, -16, -3.5, T, T, 7
2009-01-18, 12, -19, -3.5, 0.26, 6.2, 14
2009-01-19, 22, 12, 17.0, 0.17, 3.0, 16
2009-01-20, 25, -5, 10.0, T, T, 17
2009-01-21, 19, -6, 6.5, T, 0.1, 16
2009-01-22, 17, 1, 9.0, T, T, 16
2009-01-23, 27, 9, 18.0, T, T, 14
2009-01-24, 41, 13, 27.0, T, 0.0, 14
2009-01-25, 22, -13, 4.5, T, T, 14
2009-01-26, 19, -13, 3.0, 0.00, 0.0, 12
2009-01-27, 22, -10, 6.0, 0.00, 0.0, 12
2009-01-28, 26, 1, 13.5, 0.25, 3.5, 14
2009-01-29, 35, 17, 26.0, 3.00, 3.0, 15
2009-01-30, 26, 13, 19.5, 0.00, 0.0, 15
2009-01-31, 29, 6, 17.5, 0.18, 3.0, 17
2009-02-01, 24, 5, 14.5, T, T, 16
2009-02-02, 46, 21, 33.5, 0.00, 0.0, 12
2009-02-03, 36, 22, 29.0, 0.02, 0.5, 11
2009-02-04, 28, 2, 15.0, T, 0.0, 10
2009-02-05, 19, -5, 7.0, 0.00, M, 11
2009-02-06, 13, -7, 3.0, 0.00, 0.0, 10
2009-02-07, 23, -0, 11.5, T, T, 10
2009-02-08, 48, -0, 24.0, 0.00, 0.0, 7
2009-02-09, 45, 23, 34.0, T, T, 5
2009-02-10, 38, 23, 30.5, 0.00, 0.0, 4
2009-02-11, 45, 27, 36.0, 0.00, 0.0, 3
2009-02-12, 55, 38, 46.5, 0.12, 0.0, 1
2009-02-13, 42, 29, 35.5, 0.46, 0.5, 1
2009-02-14, 30, 15, 22.5, 0.00, 0.0, 1
2009-02-15, 34, 15, 24.5, T, T, 1
2009-02-16, 34, 15, 24.5, T, T, 1
2009-02-17, 32, 9, 20.5, T, 0.1, 1
2009-02-18, 35, 7, 21.0, 0.00, 0.0, 1
2009-02-19, 35, 14, 24.5, 0.34, 4.0, 4
2009-02-20, 37, 12, 24.5, 0.45, 5.0, 8
2009-02-21, 22, 11, 16.5, 0.01, 0.5, 6
2009-02-22, 34, 17, 25.5, T, T, 7
2009-02-23, 34, 18, 26.0, 0.14, 2.5, 7
2009-02-24, 20, 10, 15.0, 0.01, 0.5, 7
2009-02-25, 26, 2, 14.0, 0.00, 0.0, 6
2009-02-26, 42, 3, 22.5, 0.07, 1.3, 4
2009-02-27, 50, 29, 39.5, 0.00, 0.0, 2
2009-02-28, 48, 19, 33.5, 0.60, T, 0
2009-03-01, 29, 14, 21.5, 0.00, 0.0, 0
2009-03-02, 37, 14, 25.5, T, T, 0
2009-03-03, 14, 1, 7.5, 0.12, 2.5, 3
2009-03-04, 19, 2, 10.5, 0.00, 0.0, 1
2009-03-05, 28, 1, 14.5, 0.00, 0.0, 0
2009-03-06, 43, 2, 22.5, T, 0.0, 0
2009-03-07, 58, 33, 45.5, 0.00, 0.0, 0
2009-03-08, 58, 33, 45.5, 0.18, 0.0, 0
2009-03-09, 48, 38, 43.0, 0.94, 0.0, 0
2009-03-10, 41, 28, 34.5, 0.30, 0.0, 0
2009-03-11, 36, 28, 32.0, 0.30, 0.0, 0
2009-03-12, 55, 21, 38.0, T, 0.0, 0
2009-03-13, 29, 14, 21.5, T, 0.0, 0
2009-03-14, 37, 12, 24.5, 0.00, 0.0, 0
2009-03-15, M, M, M, M, M, M
2009-03-16, 58, 19, 38.5, 0.00, 0.0, 0
