Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 75, 41, 58.0, 0.00, M, M
2009-06-02, 69, 42, 55.5, 0.00, M, M
2009-06-03, 74, 55, 64.5, 0.00, M, M
2009-06-04, 65, 55, 60.0, 0.07, M, M
2009-06-05, 71, 55, 63.0, 0.00, M, M
2009-06-06, 64, 55, 59.5, 0.07, M, M
2009-06-07, M, M, M, M, M, M
2009-06-08, 81, 56, 68.5, T, M, M
2009-06-09, 75, 57, 66.0, 0.34, M, M
2009-06-10, 66, 57, 61.5, 0.45, M, M
2009-06-11, 71, 58, 64.5, 0.12, M, M
2009-06-12, 67, 59, 63.0, 1.25, M, M
2009-06-13, 77, 60, 68.5, T, M, M
2009-06-14, M, M, M, 1.10, M, M
2009-06-15, 73, 55, 64.0, 0.66, M, M
2009-06-16, 70, 56, 63.0, 0.14, M, M
2009-06-17, 71, 55, 63.0, 0.00, M, M
2009-06-18, 71, 55, 63.0, 0.95, M, M
2009-06-19, 64, 57, 60.5, 1.23, M, M
2009-06-20, M, M, M, M, M, M
2009-06-21, M, M, M, 1.29, M, M
2009-06-22, 75, 62, 68.5, 0.36, M, M
2009-06-23, 73, 63, 68.0, 0.00, M, M
2009-06-24, 81, 63, 72.0, 0.00, M, M
2009-06-25, 78, 64, 71.0, 0.23, M, M
2009-06-26, 82, 65, 73.5, T, M, M
2009-06-27, 82, 60, 71.0, 0.33, M, M
2009-06-28, M, M, M, M, M, M
2009-06-29, 79, 60, 69.5, 0.00, M, M
2009-06-30, 79, 62, 70.5, T, M, M
2009-07-01, 83, 60, 71.5, 1.30, M, M
2009-07-02, 76, 60, 68.0, 0.90, M, M
2009-07-03, 73, 61, 67.0, 0.06, M, M
2009-07-04, 74, 62, 68.0, 0.03, M, M
2009-07-05, M, M, M, M, M, M
2009-07-06, 77, 55, 66.0, 0.00, M, M
2009-07-07, 80, 57, 68.5, 0.02, M, M
2009-07-08, 71, 56, 63.5, 0.25, M, M
2009-07-09, 72, 56, 64.0, 0.00, M, M
2009-07-10, 72, 55, 63.5, 0.00, M, M
2009-07-11, 78, 56, 67.0, 0.00, M, M
2009-07-12, M, M, M, 0.11, M, M
2009-07-13, 78, 54, 66.0, 0.00, M, M
2009-07-14, 77, 53, 65.0, 0.00, M, M
2009-07-15, 76, 52, 64.0, 0.00, M, M
2009-07-16, 81, 53, 67.0, 0.00, M, M
2009-07-17, 81, 63, 72.0, 0.07, M, M
2009-07-18, 82, 63, 72.5, 0.90, M, M
2009-07-19, M, M, M, M, M, M
2009-07-20, 78, 60, 69.0, 0.00, M, M
2009-07-21, 80, 62, 71.0, 0.00, M, M
2009-07-22, 67, 63, 65.0, 1.50, M, M
2009-07-23, 77, 63, 70.0, 0.00, M, M
2009-07-24, 78, 62, 70.0, 0.06, M, M
2009-07-25, 76, 60, 68.0, 0.37, M, M
2009-07-26, 82, 60, 71.0, 0.47, M, M
2009-07-27, 78, 68, 73.0, 0.02, M, M
2009-07-28, 84, 65, 74.5, 0.40, M, M
2009-07-29, 86, 65, 75.5, 0.00, M, M
2009-07-30, 80, 69, 74.5, 0.23, M, M
2009-07-31, 82, 67, 74.5, 0.03, M, M
2009-08-01, 75, 62, 68.5, 0.68, M, M
2009-08-02, M, M, M, M, M, M
2009-08-03, 74, 67, 70.5, 0.38, M, M
2009-08-04, 80, 60, 70.0, 0.00, M, M
2009-08-05, 84, 61, 72.5, 0.00, M, M
2009-08-06, 84, 58, 71.0, 0.01, M, M
2009-08-07, 78, 57, 67.5, 0.00, M, M
2009-08-08, 77, 55, 66.0, 0.00, M, M
2009-08-09, M, M, M, M, M, M
2009-08-10, 72, 66, 69.0, 0.19, M, M
2009-08-11, 88, 68, 78.0, 0.16, M, M
2009-08-12, 85, 69, 77.0, 0.00, M, M
2009-08-13, 81, 68, 74.5, 1.30, M, M
2009-08-14, 72, 65, 68.5, 0.12, M, M
2009-08-15, 82, 65, 73.5, 0.00, M, M
2009-08-16, M, M, M, M, M, M
2009-08-17, 89, 69, 79.0, 0.00, M, M
2009-08-18, 90, 70, 80.0, 0.00, M, M
2009-08-19, 90, 67, 78.5, 0.01, M, M
2009-08-20, 87, 69, 78.0, 0.00, M, M
2009-08-21, 99, 71, 85.0, 0.00, M, M
2009-08-22, 91, 69, 80.0, 0.70, M, M
2009-08-23, M, M, M, 0.26, M, M
2009-08-24, 81, 66, 73.5, 0.05, M, M
2009-08-25, 80, 65, 72.5, 0.00, M, M
2009-08-26, 82, 65, 73.5, 0.00, M, M
2009-08-27, 83, 60, 71.5, T, M, M
2009-08-28, 73, 59, 66.0, 0.00, M, M
2009-08-29, 63, 58, 60.5, 0.73, M, M
2009-08-30, M, M, M, 0.08, M, M
2009-08-31, 76, 57, 66.5, 0.00, M, M
2009-09-01, 69, 51, 60.0, 0.00, M, M
2009-09-02, M, M, M, M, M, M
2009-09-03, 74, 51, 62.5, 0.00, M, M
2009-09-04, 78, 54, 66.0, 0.00, M, M
2009-09-05, 79, 59, 69.0, T, M, M
2009-09-06, M, M, M, M, M, M
2009-09-07, 73, 57, 65.0, 0.00, M, M
2009-09-08, 70, 58, 64.0, 0.00, M, M
2009-09-09, 75, 58, 66.5, 0.00, M, M
2009-09-10, 75, 53, 64.0, 0.00, M, M
2009-09-11, 69, 52, 60.5, 0.04, M, M
2009-09-12, 59, 52, 55.5, 0.46, M, M
2009-09-13, M, M, M, M, M, M
2009-09-14, 77, 56, 66.5, 0.00, M, M
2009-09-15, 75, 56, 65.5, 0.00, M, M
2009-09-16, 76, 56, 66.0, 0.00, M, M
2009-09-17, 69, 55, 62.0, T, M, M
2009-09-18, 60, 50, 55.0, 0.03, M, M
2009-09-19, M, M, M, M, M, M
2009-09-20, M, M, M, M, M, M
2009-09-21, 71, 44, 57.5, 0.00, M, M
2009-09-22, 74, 50, 62.0, 0.00, M, M
2009-09-23, 72, 58, 65.0, 0.00, M, M
2009-09-24, 80, 62, 71.0, T, M, M
2009-09-25, 78, 53, 65.5, 0.00, M, M
2009-09-26, 65, 44, 54.5, 0.00, M, M
2009-09-27, M, M, M, M, M, M
2009-09-28, 66, 55, 60.5, 0.76, M, M
2009-09-29, 71, 51, 61.0, 0.02, M, M
2009-09-30, 64, 51, 57.5, 0.00, M, M
2009-10-01, 55, 46, 50.5, 0.00, M, M
2009-10-02, 55, 42, 48.5, T, M, M
2009-10-03, M, M, M, M, M, M
2009-10-04, M, M, M, M, M, M
2009-10-05, M, M, M, M, M, M
2009-10-06, M, M, M, M, M, M
2009-10-07, M, M, M, M, M, M
2009-10-08, M, M, M, M, M, M
2009-10-09, M, M, M, M, M, M
2009-10-10, M, M, M, M, M, M
2009-10-11, M, M, M, M, M, M
2009-10-12, 61, 35, 48.0, 0.00, M, M
2009-10-13, 52, 34, 43.0, 0.01, M, M
2009-10-14, 61, 34, 47.5, 0.00, M, M
2009-10-15, 54, 34, 44.0, 0.00, M, M
2009-10-16, 41, 33, 37.0, 0.08, T, M
2009-10-17, 46, 34, 40.0, T, M, M
2009-10-18, M, M, M, M, M, M
2009-10-19, 42, 29, 35.5, 0.02, M, M
2009-10-20, 55, 29, 42.0, 0.00, M, M
2009-10-21, 60, 34, 47.0, 0.00, M, M
2009-10-22, 60, 40, 50.0, 0.00, M, M
2009-10-23, M, M, M, M, M, M
2009-10-24, M, M, M, M, M, M
2009-10-25, M, M, M, M, M, M
2009-10-26, 61, 38, 49.5, 2.22, M, M
2009-10-27, 60, 37, 48.5, 0.00, M, M
2009-10-28, 51, 39, 45.0, 0.49, M, M
2009-10-29, 52, 45, 48.5, 0.88, M, M
2009-10-30, 60, 45, 52.5, 0.00, M, M
2009-10-31, 57, 50, 53.5, T, M, M
2009-11-01, M, M, M, 0.03, M, M
2009-11-02, 57, 35, 46.0, 0.00, M, M
2009-11-03, 57, 35, 46.0, 0.00, M, M
2009-11-04, 58, 35, 46.5, 0.00, M, M
2009-11-05, 50, 34, 42.0, 0.00, M, M
2009-11-06, 51, 34, 42.5, T, M, M
2009-11-07, 46, 25, 35.5, 0.00, M, M
2009-11-08, M, M, M, M, M, M
2009-11-09, 66, 36, 51.0, 0.00, M, M
2009-11-10, 70, 36, 53.0, 0.00, M, M
2009-11-11, 62, 44, 53.0, 0.00, M, M
2009-11-12, 50, 38, 44.0, 0.00, M, M
2009-11-13, 51, 37, 44.0, 0.00, M, M
2009-11-14, 55, 38, 46.5, 0.36, M, M
2009-11-15, 53, 45, 49.0, 0.26, M, M
2009-11-16, M, M, M, M, M, M
2009-11-17, M, M, M, M, M, M
2009-11-18, 54, 30, 42.0, 0.00, M, M
2009-11-19, 53, 30, 41.5, 0.00, M, M
2009-11-20, 58, 37, 47.5, 0.49, M, M
2009-11-21, 59, 36, 47.5, 0.00, M, M
2009-11-22, M, M, M, M, M, M
2009-11-23, 51, 35, 43.0, 0.00, M, M
2009-11-24, 50, 38, 44.0, 0.00, M, M
2009-11-25, 56, 42, 49.0, 0.00, M, M
2009-11-26, 48, 43, 45.5, 0.05, M, M
2009-11-27, 54, 39, 46.5, 0.00, M, M
2009-11-28, 45, 41, 43.0, 0.00, M, M
2009-11-29, 53, 33, 43.0, 0.00, M, M
2009-11-30, 56, 34, 45.0, T, M, M
2009-12-01, 51, 27, 39.0, 0.16, M, M
2009-12-02, 44, 27, 35.5, 0.00, M, M
2009-12-03, 60, 30, 45.0, 1.53, M, M
2009-12-04, 60, 38, 49.0, 0.00, M, M
2009-12-05, 53, 35, 44.0, 0.00, M, M
2009-12-06, M, M, M, 0.36, 3.5, 1
2009-12-07, 39, 22, 30.5, 0.00, 0.0, 1
2009-12-08, 34, 22, 28.0, 0.00, M, 1
2009-12-09, 42, 26, 34.0, 0.49, 6.0, 6
2009-12-10, 36, 31, 33.5, 0.34, M, 3
2009-12-11, 35, 16, 25.5, 0.00, M, 2
2009-12-12, M, M, M, M, M, M
2009-12-13, M, M, M, M, M, M
2009-12-14, 33, 18, 25.5, 0.72, T, 2
2009-12-15, 40, 29, 34.5, 0.00, M, M
2009-12-16, 43, 25, 34.0, T, T, M
2009-12-17, 33, 20, 26.5, 0.00, M, M
2009-12-18, 24, 5, 14.5, 0.00, M, M
2009-12-19, 21, 5, 13.0, 0.00, M, M
2009-12-20, M, M, M, M, M, M
2009-12-21, 30, 19, 24.5, 0.00, M, M
2009-12-22, 36, 15, 25.5, 0.00, M, M
2009-12-23, 35, 11, 23.0, 0.00, M, M
2009-12-24, 33, 11, 22.0, 0.00, M, M
2009-12-25, M, M, M, M, M, M
2009-12-26, 33, 25, 29.0, 0.36, 0.7, M
2009-12-27, M, M, M, 1.11, M, M
2009-12-28, 45, 29, 37.0, 0.00, M, M
2009-12-29, 35, 17, 26.0, T, T, M
2009-12-30, 21, 10, 15.5, 0.00, M, M
2009-12-31, 30, 10, 20.0, 0.00, M, M
2010-01-01, M, M, M, 0.25, 2.5, M
2010-01-02, 36, 26, 31.0, 0.07, 1.0, 3
2010-01-03, M, M, M, M, M, M
2010-01-04, 19, 14, 16.5, 0.04, 0.5, M
2010-01-05, 32, 14, 23.0, 0.00, M, M
2010-01-06, 31, 14, 22.5, 0.00, M, 1
2010-01-07, 33, 17, 25.0, 0.00, M, M
2010-01-08, 40, 18, 29.0, 0.04, 0.5, M
2010-01-09, 30, 14, 22.0, 0.06, 1.0, 1
2010-01-10, 27, 4, 15.5, 0.00, 0.0, 1
2010-01-11, 24, 3, 13.5, 0.00, M, M
2010-01-12, 30, 4, 17.0, 0.02, 0.3, M
2010-01-13, 36, 13, 24.5, 0.00, M, M
2010-01-14, 31, 12, 21.5, 0.00, M, M
2010-01-15, 41, 20, 30.5, 0.00, M, M
2010-01-16, 50, 27, 38.5, 0.00, M, M
2010-01-17, 48, 24, 36.0, 0.00, M, M
2010-01-18, 34, 24, 29.0, 0.46, T, 0
2010-01-19, 45, 33, 39.0, 0.00, M, M
2010-01-20, 37, 28, 32.5, 0.10, M, M
2010-01-21, 40, 23, 31.5, 0.00, M, M
2010-01-22, 42, 20, 31.0, 0.00, M, M
2010-01-23, 39, 19, 29.0, 0.00, M, M
2010-01-24, M, M, M, M, M, M
2010-01-25, M, M, M, 0.19, M, M
2010-01-26, 56, 35, 45.5, 1.25, M, M
2010-01-27, 41, 26, 33.5, 0.00, M, M
2010-01-28, 37, 26, 31.5, T, T, M
2010-01-29, 39, 10, 24.5, 0.12, 2.0, 2
2010-01-30, 25, 1, 13.0, 0.00, M, M
2010-01-31, M, M, M, M, M, M
2010-02-01, M, M, M, M, M, M
2010-02-02, 39, 17, 28.0, 0.00, M, M
2010-02-03, 31, 17, 24.0, 0.09, 1.0, M
2010-02-04, 37, 21, 29.0, 0.00, M, M
2010-02-05, 38, 16, 27.0, 0.00, M, M
2010-02-06, 36, 16, 26.0, 0.00, M, M
2010-02-07, M, M, M, M, M, M
2010-02-08, 36, 10, 23.0, 0.00, M, M
2010-02-09, 40, 16, 28.0, 0.00, M, M
2010-02-10, 38, 17, 27.5, 0.14, 1.6, 1
2010-02-11, 31, 23, 27.0, 0.29, 4.0, 5
2010-02-12, 40, 16, 28.0, 0.00, M, 1
2010-02-13, 41, 16, 28.5, 0.00, M, M
2010-02-14, M, M, M, M, M, M
2010-02-15, 39, 25, 32.0, T, T, M
2010-02-16, 44, 27, 35.5, 0.06, 1.0, 1
2010-02-17, 31, 26, 28.5, 0.25, 4.0, 4
2010-02-18, 36, 26, 31.0, T, T, 2
2010-02-19, 44, 30, 37.0, 0.00, M, M
2010-02-20, 41, 30, 35.5, 0.00, M, M
2010-02-21, 49, 28, 38.5, 0.00, M, M
2010-02-22, 48, 21, 34.5, 0.00, M, M
2010-02-23, 42, 21, 31.5, 0.10, 0.2, M
2010-02-24, 33, 31, 32.0, 1.50, 9.0, 9
2010-02-25, 35, 31, 33.0, 0.24, T, 6
