Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 10, -8, 1.0, 0.01, T, 4
2009-01-02, 23, -10, 6.5, T, T, 4
2009-01-03, 24, 9, 16.5, 0.10, 2.0, 6
2009-01-04, 28, -1, 13.5, 0.00, 0.0, 6
2009-01-05, 29, 14, 21.5, 0.08, 1.0, 7
2009-01-06, 30, 9, 19.5, 0.00, 0.0, 6
2009-01-07, 35, 11, 23.0, 0.32, 3.0, 4
2009-01-08, 35, 11, 23.0, 0.10, 1.0, 4
2009-01-09, 16, 1, 8.5, 0.01, T, 4
2009-01-10, 22, -15, 3.5, 0.00, 0.0, 4
2009-01-11, 25, 8, 16.5, 0.25, 3.0, 7
2009-01-12, 25, -3, 11.0, T, T, 7
2009-01-13, 28, 10, 19.0, 0.05, 1.0, 8
2009-01-14, 28, -12, 8.0, 0.04, 1.0, 9
2009-01-15, 11, -18, -3.5, 0.00, 0.0, 9
2009-01-16, 5, -15, -5.0, 0.00, 0.0, 9
2009-01-17, 9, -8, 0.5, 0.01, T, 9
2009-01-18, 22, 4, 13.0, 0.07, 1.0, 10
2009-01-19, 26, 10, 18.0, 0.04, 0.5, 10
2009-01-20, 21, 7, 14.0, 0.01, T, 10
2009-01-21, 17, -12, 2.5, 0.01, T, 10
2009-01-22, 24, 12, 18.0, 0.04, T, 10
2009-01-23, 34, 21, 27.5, 0.00, 0.0, 10
2009-01-24, 37, -0, 18.5, 0.05, 1.0, 11
2009-01-25, 15, -14, 0.5, T, T, 11
2009-01-26, 15, -13, 1.0, 0.05, 1.0, 12
2009-01-27, 24, 8, 16.0, 0.00, 0.0, 12
2009-01-28, 24, -0, 12.0, 0.27, 3.0, 15
2009-01-29, 28, 10, 19.0, 0.15, 2.0, 17
2009-01-30, 26, 16, 21.0, 0.04, 0.5, 17
2009-01-31, 22, 4, 13.0, 0.03, T, 17
2009-02-01, 33, -3, 15.0, 0.01, T, 15
2009-02-02, 33, 23, 28.0, 0.00, 0.0, 15
2009-02-03, 29, 2, 15.5, 0.00, 0.0, 15
2009-02-04, 18, -9, 4.5, 0.00, 0.0, 15
2009-02-05, 13, -8, 2.5, T, 0.0, 15
2009-02-06, 25, -10, 7.5, 0.01, T, 15
2009-02-07, 46, -1, 22.5, 0.00, 0.0, 10
2009-02-08, 44, 25, 34.5, 0.08, 1.0, 6
2009-02-09, 32, 15, 23.5, T, T, 6
2009-02-10, 40, 6, 23.0, 0.00, 0.0, 5
2009-02-11, 51, 37, 44.0, 0.15, 0.0, 4
2009-02-12, 47, 32, 39.5, 0.47, 0.0, 2
2009-02-13, 33, 9, 21.0, 0.10, 1.0, 3
2009-02-14, 30, 6, 18.0, 0.00, 0.0, 3
2009-02-15, 32, 4, 18.0, 0.00, 0.0, 3
2009-02-16, 30, 4, 17.0, 0.00, 0.0, 3
2009-02-17, 35, 3, 19.0, 0.00, 0.0, 3
2009-02-18, 35, 8, 21.5, 0.02, T, 3
2009-02-19, 34, 24, 29.0, 0.03, 0.5, 3
2009-02-20, 25, 6, 15.5, 0.04, 0.5, 3
2009-02-21, 31, 10, 20.5, 0.10, 2.0, 5
2009-02-22, 32, 11, 21.5, 0.15, 2.0, 6
2009-02-23, 26, 9, 17.5, 0.12, 2.0, 8
2009-02-24, 25, 3, 14.0, T, T, 8
2009-02-25, 41, 16, 28.5, 0.00, 0.0, 4
2009-02-26, 44, 25, 34.5, 0.00, 0.0, 3
2009-02-27, 40, 20, 30.0, 0.50, 0.0, 2
2009-02-28, 46, 3, 24.5, T, T, 2
2009-03-01, 35, -0, 17.5, 0.00, 0.0, 2
2009-03-02, 29, 6, 17.5, 0.11, 1.5, 4
2009-03-03, 21, 5, 13.0, 0.05, 0.5, 5
2009-03-04, 28, -1, 13.5, 0.00, 0.0, 4
2009-03-05, 38, -1, 18.5, 0.00, 0.0, 3
2009-03-06, 48, 30, 39.0, 0.00, 0.0, T
2009-03-07, 50, 34, 42.0, 0.00, 0.0, 0
2009-03-08, 44, 33, 38.5, 0.00, 0.0, 0
2009-03-09, 42, 27, 34.5, 0.82, 4.0, 4
2009-03-10, 39, 17, 28.0, 0.00, 0.0, 3
2009-03-11, 48, 33, 40.5, 0.10, 0.0, 0
2009-03-12, 36, 11, 23.5, T, 0.0, 0
2009-03-13, 31, 3, 17.0, 0.00, 0.0, 0
2009-03-14, 44, 15, 29.5, 0.00, 0.0, 0
2009-03-15, 54, 19, 36.5, 0.00, 0.0, 0
2009-03-16, 55, 22, 38.5, 0.00, 0.0, 0
2009-03-17, 60, 24, 42.0, 0.00, 0.0, 0
