Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 6, -5, 0.5, T, T, 2
2009-01-02, 13, -5, 4.0, 0.00, 0.0, 2
2009-01-03, 20, 10, 15.0, 0.05, 1.5, 3
2009-01-04, 16, 1, 8.5, T, T, 3
2009-01-05, 23, 1, 12.0, 0.03, T, 3
2009-01-06, 27, 17, 22.0, 0.01, 0.5, 3
2009-01-07, 26, 13, 19.5, 0.10, 1.5, 4
2009-01-08, 31, 16, 23.5, 0.45, 4.0, 6
2009-01-09, 17, 1, 9.0, 0.02, 1.5, 8
2009-01-10, 9, -12, -1.5, 0.00, 0.0, 8
2009-01-11, 11, -13, -1.0, 0.05, 1.5, 10
2009-01-12, 13, -0, 6.5, 0.02, 0.5, 10
2009-01-13, 24, 7, 15.5, 0.00, 0.0, 10
2009-01-14, 31, -13, 9.0, 0.05, 2.0, 10
2009-01-15, -6, -22, -14.0, 0.00, 0.0, 10
2009-01-16, -4, -24, -14.0, 0.00, 0.0, 10
2009-01-17, 4, -15, -5.5, T, T, 10
2009-01-18, 14, 4, 9.0, 0.04, 0.5, 10
2009-01-19, 22, 8, 15.0, 0.05, 1.0, 11
2009-01-20, 16, -0, 8.0, 0.01, 0.5, 11
2009-01-21, 11, -4, 3.5, 0.01, 0.5, 11
2009-01-22, 24, -2, 11.0, 0.03, 1.5, 12
2009-01-23, 27, 15, 21.0, 0.03, 1.5, 12
2009-01-24, 39, -0, 19.5, 0.09, 1.5, 11
2009-01-25, 12, -6, 3.0, 0.00, 0.0, 11
2009-01-26, 14, -14, 0.0, 0.02, 1.0, 11
2009-01-27, 17, -11, 3.0, T, T, 11
2009-01-28, 17, -0, 8.5, T, 0.5, 11
2009-01-29, 23, 11, 17.0, 0.28, 5.5, 15
2009-01-30, 23, 10, 16.5, 0.01, 0.5, 15
2009-01-31, 29, 3, 16.0, 0.01, 0.5, 15
2009-02-01, 19, -1, 9.0, T, T, 15
2009-02-02, 35, 19, 27.0, T, T, 15
2009-02-03, 30, 5, 17.5, 0.00, 0.0, 15
2009-02-04, 15, -5, 5.0, 0.00, 0.0, 15
2009-02-05, 4, -8, -2.0, 0.00, 0.0, 15
2009-02-06, 9, -8, 0.5, T, T, 15
2009-02-07, 23, 9, 16.0, T, T, 15
2009-02-08, 45, 21, 33.0, T, 0.0, 8
2009-02-09, 34, 12, 23.0, 0.03, 1.5, 9
2009-02-10, 21, 11, 16.0, T, T, 9
2009-02-11, 48, 21, 34.5, 0.00, 0.0, 4
2009-02-12, 51, 42, 46.5, 0.56, 0.0, T
2009-02-13, 44, 9, 26.5, 0.43, 2.5, 2
2009-02-14, 15, 7, 11.0, 0.00, 0.0, 2
2009-02-15, 21, 8, 14.5, 0.00, 0.0, 2
2009-02-16, 23, 11, 17.0, 0.00, 0.0, 2
2009-02-17, 21, 8, 14.5, 0.00, 0.0, 2
2009-02-18, 28, 9, 18.5, 0.00, 0.0, 2
2009-02-19, 38, 23, 30.5, 0.06, 2.0, 3
2009-02-20, 37, 7, 22.0, T, T, 2
2009-02-21, 17, 7, 12.0, 0.03, 2.0, 4
2009-02-22, 29, 12, 20.5, 0.02, 0.5, 3
2009-02-23, 31, 19, 25.0, 0.03, 1.0, 4
2009-02-24, 19, 5, 12.0, 0.10, 5.0, 9
2009-02-25, 16, 5, 10.5, T, T, 8
2009-02-26, 37, 9, 23.0, 0.04, T, 7
2009-02-27, 45, 33, 39.0, 0.00, 0.0, 4
2009-02-28, 50, -2, 24.0, 0.45, 1.0, 1
2009-03-01, 11, -2, 4.5, 0.00, 0.0, 1
2009-03-02, 19, 3, 11.0, 0.00, 0.0, T
2009-03-03, 12, -1, 5.5, T, T, T
2009-03-04, 14, -1, 6.5, 0.00, 0.0, T
2009-03-05, 26, 7, 16.5, 0.00, 0.0, T
2009-03-06, 42, 8, 25.0, 0.03, 0.0, T
2009-03-07, 52, 36, 44.0, T, 0.0, T
2009-03-08, 46, 32, 39.0, 0.15, 0.0, T
2009-03-09, 43, 24, 33.5, 0.02, T, T
2009-03-10, 27, 20, 23.5, 0.08, 1.0, 1
2009-03-11, 40, 23, 31.5, 0.06, 0.0, T
2009-03-12, 51, 13, 32.0, T, 0.0, T
2009-03-13, 21, 6, 13.5, 0.00, 0.0, T
2009-03-14, 29, 6, 17.5, 0.00, 0.0, T
2009-03-15, 42, 23, 32.5, 0.00, 0.0, T
2009-03-16, 49, 23, 36.0, 0.00, 0.0, T
2009-03-17, 44, 22, 33.0, 0.00, 0.0, T
2009-03-18, 56, 29, 42.5, 0.00, 0.0, T
2009-03-19, 54, 30, 42.0, T, 0.0, T
2009-03-20, 40, 14, 27.0, 0.00, 0.0, T
2009-03-21, 30, 15, 22.5, 0.00, 0.0, T
2009-03-22, 44, 15, 29.5, 0.03, 1.0, 1
2009-03-23, 29, 10, 19.5, T, T, T
2009-03-24, 25, 9, 17.0, 0.00, 0.0, T
2009-03-25, 38, 12, 25.0, 0.00, 0.0, T
2009-03-26, 56, 27, 41.5, 0.00, 0.0, T
2009-03-27, 51, 37, 44.0, 0.35, 0.0, 0
2009-03-28, 50, 33, 41.5, 0.00, 0.0, 0
2009-03-29, 60, 40, 50.0, T, 0.0, 0
2009-03-30, 53, 37, 45.0, 0.36, 0.0, 0
2009-03-31, 39, 30, 34.5, 0.24, 1.0, 1
2009-04-01, 40, 29, 34.5, T, T, M
2009-04-02, 47, 34, 40.5, 0.06, 0.0, M
2009-04-03, 62, 41, 51.5, 0.00, 0.0, 0
2009-04-04, 60, 37, 48.5, 0.46, 0.0, 0
2009-04-05, 40, 29, 34.5, 0.55, 3.0, M
2009-04-06, 39, 29, 34.0, T, 0.0, 1
2009-04-07, 42, 32, 37.0, 0.53, T, T
2009-04-08, 35, 25, 30.0, 0.09, 0.5, 1
2009-04-09, 36, 27, 31.5, T, T, T
2009-04-10, 47, 25, 36.0, 0.00, 0.0, T
2009-04-11, 46, 26, 36.0, 0.00, 0.0, T
2009-04-12, 44, 22, 33.0, 0.00, 0.0, 0
2009-04-13, 33, 23, 28.0, T, T, 0
2009-04-14, 45, 24, 34.5, 0.00, 0.0, 0
2009-04-15, 53, 27, 40.0, 0.00, 0.0, 0
2009-04-16, 53, 29, 41.0, 0.00, 0.0, 0
2009-04-17, 55, 30, 42.5, 0.00, 0.0, 0
2009-04-18, 63, 39, 51.0, 0.03, 0.0, 0
2009-04-19, 47, 30, 38.5, 0.03, 0.0, 0
2009-04-20, 52, 31, 41.5, 0.00, 0.0, 0
2009-04-21, 56, 38, 47.0, 0.24, 0.0, 0
2009-04-22, 52, 40, 46.0, 0.21, 0.0, 0
2009-04-23, 53, 38, 45.5, 0.02, 0.0, 0
2009-04-24, 50, 36, 43.0, 0.02, 0.0, 0
2009-04-25, 74, 38, 56.0, 0.00, 0.0, 0
2009-04-26, 82, 45, 63.5, 0.08, 0.0, 0
2009-04-27, 52, 44, 48.0, 0.07, 0.0, 0
2009-04-28, 86, 49, 67.5, 0.00, 0.0, 0
2009-04-29, 73, 32, 52.5, 0.52, 0.0, 0
2009-04-30, 57, 34, 45.5, 0.00, 0.0, 0
2009-05-01, 71, 39, 55.0, 0.20, 0.0, 0
2009-05-02, 66, 37, 51.5, 0.14, 0.0, 0
2009-05-03, 57, 38, 47.5, 0.00, 0.0, 0
2009-05-04, 63, 45, 54.0, 0.00, 0.0, 0
2009-05-05, 63, 39, 51.0, 0.00, 0.0, 0
2009-05-06, 69, 42, 55.5, T, 0.0, 0
2009-05-07, 62, 48, 55.0, 0.25, 0.0, 0
2009-05-08, 54, 49, 51.5, 0.29, 0.0, 0
2009-05-09, 72, 53, 62.5, 0.07, T, 0
2009-05-10, 60, 39, 49.5, 0.65, 0.0, 0
2009-05-11, 41, 36, 38.5, 0.01, 0.0, 0
2009-05-12, 57, 32, 44.5, 0.00, 0.0, 0
2009-05-13, 60, 36, 48.0, 0.00, 0.0, 0
2009-05-14, 70, 43, 56.5, 0.00, 0.0, 0
2009-05-15, 66, 45, 55.5, 0.14, 0.0, 0
2009-05-16, 62, 45, 53.5, 0.00, 0.0, 0
2009-05-17, 70, 38, 54.0, 0.73, 0.0, 0
2009-05-18, 47, 37, 42.0, T, 0.0, 0
2009-05-19, 53, 36, 44.5, 0.00, 0.0, 0
2009-05-20, 67, 45, 56.0, T, 0.0, 0
2009-05-21, 73, 48, 60.5, 0.02, 0.0, 0
2009-05-22, 82, 57, 69.5, 0.00, 0.0, 0
2009-05-23, 68, 42, 55.0, 0.00, 0.0, 0
2009-05-24, 68, 45, 56.5, 0.01, 0.0, 0
2009-05-25, 70, 41, 55.5, 0.02, 0.0, 0
2009-05-26, 56, 34, 45.0, 0.00, 0.0, 0
2009-05-27, 64, 39, 51.5, 0.05, 0.0, 0
2009-05-28, 58, 49, 53.5, 0.38, 0.0, 0
2009-05-29, 63, 51, 57.0, 0.13, 0.0, 0
2009-05-30, 69, 50, 59.5, 0.11, 0.0, 0
2009-05-31, 61, 47, 54.0, 0.10, 0.0, 0
2009-06-01, 56, 36, 46.0, 0.18, T, M
2009-06-02, 57, 40, 48.5, 0.06, M, M
2009-06-03, 60, 44, 52.0, T, M, M
2009-06-04, 66, 40, 53.0, 0.00, M, M
2009-06-05, 63, 41, 52.0, 0.00, M, M
2009-06-06, 72, 48, 60.0, 0.00, M, M
2009-06-07, 71, 44, 57.5, T, M, M
2009-06-08, 60, 40, 50.0, 0.16, M, M
2009-06-09, 63, 44, 53.5, 0.12, M, M
2009-06-10, 72, 52, 62.0, 0.41, M, M
2009-06-11, 64, 51, 57.5, T, M, M
