Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 20, -2, 9.0, 0.08, 1.5, 20
2009-01-02, 11, -1, 5.0, 0.00, 0.0, 19
2009-01-03, 23, 6, 14.5, 0.14, 2.7, 21
2009-01-04, 22, 6, 14.0, 0.00, 0.0, 19
2009-01-05, 28, 8, 18.0, 0.10, 0.1, 18
2009-01-06, 30, 14, 22.0, 0.03, 0.3, 18
2009-01-07, 28, 16, 22.0, 0.34, 2.2, 20
2009-01-08, 34, 25, 29.5, 0.69, 3.0, 19
2009-01-09, 28, 6, 17.0, 0.13, 1.7, 21
2009-01-10, 17, -8, 4.5, T, 0.1, 20
2009-01-11, 18, -5, 6.5, 0.21, 4.0, 24
2009-01-12, 18, 10, 14.0, T, 0.1, 23
2009-01-13, 22, 5, 13.5, T, 0.2, 23
2009-01-14, 30, -4, 13.0, 0.08, 1.4, 24
2009-01-15, 5, -9, -2.0, T, 0.2, 22
2009-01-16, 10, -18, -4.0, 0.02, 0.5, 22
2009-01-17, 8, -17, -4.5, 0.03, 0.5, 22
2009-01-18, 15, -15, 0.0, 0.23, 3.8, 25
2009-01-19, 23, 15, 19.0, 0.12, 1.8, 26
2009-01-20, 26, -3, 11.5, 0.03, 0.5, 26
2009-01-21, 22, 0, 11.0, T, 0.2, 26
2009-01-22, 18, 10, 14.0, 0.02, 0.8, 26
2009-01-23, 27, 16, 21.5, 0.03, 0.5, 25
2009-01-24, 36, 19, 27.5, 0.04, 1.5, 26
2009-01-25, 20, -4, 8.0, 0.01, 0.2, 25
2009-01-26, 16, -4, 6.0, T, 0.1, 25
2009-01-27, 17, -2, 7.5, 0.01, 0.2, 24
2009-01-28, 20, 3, 11.5, 0.28, 2.5, 26
2009-01-29, 25, 17, 21.0, 0.58, 9.5, 32
2009-01-30, 23, 13, 18.0, 0.02, 1.2, 32
2009-01-31, 30, 10, 20.0, 0.06, 1.5, 31
2009-02-01, 18, 10, 14.0, 0.02, 0.8, 29
2009-02-02, 39, 12, 25.5, T, T, 28
2009-02-03, 37, 14, 25.5, 0.00, 0.0, 27
2009-02-04, 28, -8, 10.0, 0.00, 0.0, 27
2009-02-05, 15, -9, 3.0, 0.00, 0.0, 26
2009-02-06, 12, -3, 4.5, T, 0.1, 26
2009-02-07, 23, -2, 10.5, 0.00, 0.0, M
2009-02-08, 43, 3, 23.0, T, 0.0, 24
2009-02-09, 38, 22, 30.0, 0.01, 0.1, 24
2009-02-10, 35, 20, 27.5, 0.00, 0.0, 24
2009-02-11, 37, 23, 30.0, 0.00, 0.0, 24
2009-02-12, 45, 34, 39.5, 0.28, 0.0, 20
2009-02-13, 41, 18, 29.5, 0.13, 1.0, 20
2009-02-14, 26, 12, 19.0, 0.00, 0.0, 20
2009-02-15, 29, 13, 21.0, 0.00, 0.0, M
2009-02-16, 29, 4, 16.5, 0.00, 0.0, 20
2009-02-17, 32, 3, 17.5, 0.00, 0.0, M
2009-02-18, 32, 4, 18.0, 0.00, 0.0, 19
2009-02-19, 33, 12, 22.5, 0.68, 6.4, 25
2009-02-20, 37, 13, 25.0, 0.15, 3.4, 28
2009-02-21, 23, 15, 19.0, 0.18, 4.6, M
2009-02-22, 30, 17, 23.5, 0.02, 0.7, M
2009-02-23, 36, 19, 27.5, 0.23, 5.6, M
2009-02-24, 22, 8, 15.0, 0.02, 1.0, M
2009-02-25, 24, 0, 12.0, 0.00, 0.0, M
2009-02-26, 31, 6, 18.5, 0.10, 1.3, M
2009-02-27, 45, 24, 34.5, 0.00, 0.0, M
2009-02-28, 45, 14, 29.5, 0.55, 0.1, 28
2009-03-01, 28, 8, 18.0, 0.00, 0.0, 28
2009-03-02, 31, 14, 22.5, 0.00, 0.0, 27
2009-03-03, 19, -1, 9.0, 0.07, 1.3, 28
2009-03-04, 18, -2, 8.0, 0.00, 0.0, 28
2009-03-05, 26, 1, 13.5, 0.01, 0.3, 27
2009-03-06, 34, 7, 20.5, 0.01, 0.1, 26
2009-03-07, 48, 32, 40.0, T, 0.0, M
2009-03-08, 47, 36, 41.5, 1.22, 0.0, M
2009-03-09, 47, 34, 40.5, 0.43, T, M
2009-03-10, 41, 29, 35.0, 0.13, 2.5, M
2009-03-11, 37, 32, 34.5, 0.45, 0.0, M
2009-03-12, 47, 18, 32.5, 0.22, 0.0, M
2009-03-13, 25, 9, 17.0, 0.00, 0.0, M
2009-03-14, 31, 9, 20.0, 0.00, 0.0, M
2009-03-15, 41, 15, 28.0, 0.00, 0.0, M
2009-03-16, 47, 20, 33.5, 0.00, 0.0, M
2009-03-17, 47, 25, 36.0, 0.00, 0.0, M
2009-03-18, 50, 27, 38.5, 0.00, 0.0, M
2009-03-19, 50, 32, 41.0, 0.36, 0.1, M
2009-03-20, 48, 24, 36.0, 0.01, T, M
2009-03-21, 38, 14, 26.0, 0.00, 0.0, M
2009-03-22, 40, 16, 28.0, T, 0.1, M
2009-03-23, 37, 14, 25.5, T, T, M
2009-03-24, 28, 10, 19.0, 0.00, 0.0, M
2009-03-25, 38, 14, 26.0, 0.00, 0.0, M
2009-03-26, 43, 19, 31.0, 0.00, 0.0, M
2009-03-27, 45, 32, 38.5, 0.21, 0.0, M
2009-03-28, 50, 34, 42.0, T, 0.0, M
2009-03-29, 57, 35, 46.0, 0.05, 0.0, M
2009-03-30, 45, 36, 40.5, 0.55, T, 0
2009-03-31, 40, 32, 36.0, 0.05, T, M
2009-04-01, 46, 32, 39.0, 0.00, 0.0, M
2009-04-02, 48, 32, 40.0, 0.20, 0.0, M
2009-04-03, 53, 36, 44.5, T, 0.0, M
2009-04-04, 53, 34, 43.5, 0.97, 0.1, M
2009-04-05, 37, 31, 34.0, 0.13, 0.8, M
2009-04-06, 38, 30, 34.0, 0.01, 0.0, M
2009-04-07, 41, 30, 35.5, 0.23, 0.2, M
2009-04-08, 33, 26, 29.5, 0.02, 0.3, M
2009-04-09, 38, 23, 30.5, 0.02, 0.2, M
2009-04-10, 44, 25, 34.5, 0.00, 0.0, M
2009-04-11, M, M, M, M, M, M
2009-04-12, M, M, M, M, M, M
2009-04-13, M, M, M, 0.00, 0.0, M
2009-04-14, 46, 28, 37.0, 0.00, 0.0, M
2009-04-15, 55, 31, 43.0, 0.00, 0.0, M
2009-04-16, 58, 31, 44.5, 0.00, 0.0, M
2009-04-17, 59, 28, 43.5, 0.00, 0.0, M
2009-04-18, 61, 34, 47.5, 0.00, 0.0, M
2009-04-19, 62, 32, 47.0, 0.02, 0.0, M
2009-04-20, 55, 34, 44.5, 0.00, 0.0, M
2009-04-21, 51, 36, 43.5, 0.53, 0.0, M
2009-04-22, 50, 42, 46.0, 0.45, 0.0, M
2009-04-23, 51, 35, 43.0, 0.03, 0.0, M
2009-04-24, 43, 32, 37.5, 0.03, 0.0, M
2009-04-25, 63, 38, 50.5, 0.28, 0.0, M
2009-04-26, 81, 48, 64.5, 0.00, 0.0, M
2009-04-27, 74, 49, 61.5, 0.00, 0.0, M
2009-04-28, 77, 53, 65.0, 0.00, 0.0, M
2009-04-29, 82, 34, 58.0, 0.01, 0.0, M
2009-04-30, 60, 33, 46.5, 0.00, 0.0, M
2009-05-01, 60, 36, 48.0, 0.61, 0.0, M
