Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-08-01, 80, 55, 67.5, 0.22, M, M
2009-08-02, 80, 57, 68.5, 0.02, M, M
2009-08-03, 76, 55, 65.5, 0.00, M, M
2009-08-04, 77, 55, 66.0, 0.00, M, M
2009-08-05, 82, 56, 69.0, 0.00, M, M
2009-08-06, 72, 51, 61.5, 0.00, M, M
2009-08-07, 74, 49, 61.5, 0.00, M, M
2009-08-08, 72, 48, 60.0, 0.00, M, M
2009-08-09, 72, 48, 60.0, 0.06, M, M
2009-08-10, 75, 63, 69.0, 2.06, M, M
2009-08-11, 87, 65, 76.0, 0.59, M, M
2009-08-12, 80, 61, 70.5, 0.00, M, M
2009-08-13, 81, 61, 71.0, 0.11, M, M
2009-08-14, 81, 61, 71.0, 0.00, M, M
2009-08-15, 84, 59, 71.5, 0.00, M, M
2009-08-16, 86, 60, 73.0, 0.00, M, M
2009-08-17, 86, 62, 74.0, 0.00, M, M
2009-08-18, 88, 63, 75.5, 0.00, M, M
2009-08-19, 86, 64, 75.0, 0.20, M, M
2009-08-20, 82, 62, 72.0, 0.00, M, M
2009-08-21, 82, 62, 72.0, 0.22, M, M
2009-08-22, 80, 65, 72.5, 0.07, M, M
2009-08-23, 82, 65, 73.5, 0.12, M, M
2009-08-24, 76, 62, 69.0, 0.06, M, M
2009-08-25, 75, 56, 65.5, 0.02, M, M
2009-08-26, 79, 56, 67.5, 0.00, M, M
2009-08-27, 77, 52, 64.5, 0.08, M, M
2009-08-28, 71, 52, 61.5, 0.00, M, M
2009-08-29, 69, 54, 61.5, 1.25, M, M
2009-08-30, 78, 56, 67.0, 0.67, M, M
2009-08-31, 73, 52, 62.5, 0.00, M, M
2009-09-01, 65, 43, 54.0, 0.00, M, M
2009-09-02, 71, 43, 57.0, 0.00, M, M
2009-09-03, 75, 46, 60.5, 0.00, M, M
2009-09-04, 78, 48, 63.0, 0.00, M, M
2009-09-05, 75, 48, 61.5, 0.00, M, M
2009-09-06, 77, 48, 62.5, 0.00, M, M
2009-09-07, 74, 48, 61.0, 0.00, M, M
2009-09-08, 71, 57, 64.0, 0.00, M, M
2009-09-09, 77, 56, 66.5, 0.00, M, M
2009-09-10, 76, 49, 62.5, 0.00, M, M
2009-09-11, 68, 48, 58.0, 0.00, M, M
2009-09-12, 66, 49, 57.5, 0.13, M, M
2009-09-13, 71, 53, 62.0, 0.00, M, M
2009-09-14, 71, 51, 61.0, 0.00, M, M
2009-09-15, 72, 51, 61.5, 0.00, M, M
2009-09-16, 73, 45, 59.0, 0.00, M, M
2009-09-17, 70, 48, 59.0, 0.25, M, M
2009-09-18, 65, 50, 57.5, 0.06, M, M
2009-09-19, 69, 39, 54.0, 0.00, M, M
2009-09-20, 64, 38, 51.0, 0.00, M, M
2009-09-21, 73, 38, 55.5, 0.00, M, M
2009-09-22, 74, 41, 57.5, 0.00, M, M
2009-09-23, 70, 60, 65.0, 0.00, M, M
2009-09-24, 80, 63, 71.5, 0.38, M, M
2009-09-25, 70, 46, 58.0, 0.00, M, M
2009-09-26, 63, 37, 50.0, 0.00, M, M
2009-09-27, 57, 36, 46.5, 0.60, M, M
2009-09-28, 61, 51, 56.0, 0.76, M, M
2009-09-29, 64, 48, 56.0, 0.07, M, M
2009-09-30, 58, 44, 51.0, 0.13, M, M
2009-10-01, 46, 41, 43.5, 0.05, M, M
2009-10-02, 47, 36, 41.5, 0.00, M, M
2009-10-03, 59, 35, 47.0, 0.18, M, M
2009-10-04, 69, 35, 52.0, 0.00, M, M
2009-10-05, 64, 42, 53.0, 0.00, M, M
2009-10-06, 58, 36, 47.0, 0.00, M, M
2009-10-07, 62, 36, 49.0, 0.15, M, M
2009-10-08, 56, 42, 49.0, 0.00, M, M
2009-10-09, 59, 43, 51.0, 0.00, M, M
2009-10-10, 57, 51, 54.0, 0.11, M, M
2009-10-11, 54, 33, 43.5, 0.00, M, M
2009-10-12, 52, 27, 39.5, 0.00, M, M
2009-10-13, 44, 28, 36.0, 0.04, M, M
2009-10-14, 47, 36, 41.5, 0.02, M, M
2009-10-15, 43, 30, 36.5, 0.00, M, M
2009-10-16, 39, 31, 35.0, 0.15, 1.0, M
2009-10-17, 40, 31, 35.5, 0.02, 0.0, 0
2009-10-18, 47, 31, 39.0, 0.00, M, M
2009-10-19, 53, 26, 39.5, 0.00, M, M
2009-10-20, 55, 26, 40.5, 0.00, M, M
2009-10-21, 61, 36, 48.5, 0.00, M, M
2009-10-22, 67, 41, 54.0, 0.00, M, M
2009-10-23, 67, 40, 53.5, 0.00, M, M
2009-10-24, 55, 40, 47.5, 0.66, M, M
2009-10-25, 67, 44, 55.5, 0.60, M, M
2009-10-26, 54, 32, 43.0, 0.00, M, M
2009-10-27, 61, 32, 46.5, 0.00, M, M
2009-10-28, 59, 34, 46.5, 0.37, M, M
2009-10-29, 54, 48, 51.0, 1.40, M, M
2009-10-30, 54, 48, 51.0, 0.00, M, M
2009-10-31, 56, 51, 53.5, 0.00, M, M
2009-11-01, 65, 41, 53.0, 0.10, M, M
2009-11-02, 64, 27, 45.5, 0.00, M, M
2009-11-03, 54, 29, 41.5, 0.00, M, M
2009-11-04, 50, 34, 42.0, 0.00, M, M
2009-11-05, 41, 34, 37.5, 0.01, M, M
2009-11-06, 46, 32, 39.0, 0.14, M, M
2009-11-07, 38, 20, 29.0, 0.00, M, M
2009-11-08, 56, 21, 38.5, 0.00, M, M
2009-11-09, 67, 29, 48.0, 0.00, M, M
2009-11-10, 68, 31, 49.5, 0.00, M, M
2009-11-11, 54, 32, 43.0, 0.00, M, M
2009-11-12, 53, 26, 39.5, 0.00, M, M
2009-11-13, 53, 25, 39.0, 0.00, M, M
2009-11-14, 61, 25, 43.0, 0.00, M, M
2009-11-15, 59, 46, 52.5, 0.00, M, M
2009-11-16, 67, 41, 54.0, 0.00, M, M
2009-11-17, 50, 28, 39.0, 0.00, M, M
2009-11-18, 53, 22, 37.5, 0.00, M, M
2009-11-19, 54, 23, 38.5, 0.00, M, M
2009-11-20, 58, 30, 44.0, 0.73, M, M
2009-11-21, 50, 35, 42.5, 0.00, M, M
2009-11-22, 48, 36, 42.0, 0.00, M, M
2009-11-23, 53, 29, 41.0, 0.00, M, M
2009-11-24, 54, 34, 44.0, 0.00, M, M
2009-11-25, 50, 38, 44.0, 0.00, M, M
2009-11-26, 50, 39, 44.5, 0.07, M, M
2009-11-27, 57, 33, 45.0, 0.33, M, M
2009-11-28, 42, 33, 37.5, 0.06, M, M
2009-11-29, 41, 25, 33.0, 0.00, M, M
2009-11-30, 55, 25, 40.0, 0.10, M, M
2009-12-01, 41, 27, 34.0, 0.05, M, M
2009-12-02, 41, 27, 34.0, 0.00, M, M
2009-12-03, 55, 27, 41.0, 0.16, M, M
2009-12-04, 54, 29, 41.5, 0.00, M, M
2009-12-05, 46, 25, 35.5, 0.00, M, M
2009-12-06, 35, 24, 29.5, 0.08, M, M
2009-12-07, 34, 18, 26.0, 0.00, M, M
2009-12-08, 56, 18, 37.0, 0.00, M, M
2009-12-09, 51, 26, 38.5, 0.42, 2.6, 3
2009-12-10, 41, 29, 35.0, 0.18, 0.0, 1
2009-12-11, 48, 12, 30.0, 0.00, M, 1
2009-12-12, 24, 12, 18.0, 0.05, 0.5, 1
2009-12-13, 29, 10, 19.5, 0.00, 0.0, 1
2009-12-14, 38, 11, 24.5, 0.50, M, 1
2009-12-15, 40, 33, 36.5, 0.03, M, T
2009-12-16, 43, 17, 30.0, 0.07, 1.4, 1
2009-12-17, 27, 13, 20.0, 0.00, 0.0, 1
2009-12-18, 21, -1, 10.0, 0.00, 0.0, 1
2009-12-19, 23, 0, 11.5, 0.00, M, 1
2009-12-20, 24, 14, 19.0, 0.00, M, T
2009-12-21, 26, 17, 21.5, 0.00, M, T
2009-12-22, 27, 20, 23.5, 0.00, M, T
2009-12-23, 24, 13, 18.5, T, T, T
2009-12-24, 25, 13, 19.0, 0.00, M, T
2009-12-25, 33, 12, 22.5, 0.00, M, T
2009-12-26, 40, 18, 29.0, 0.20, M, 0
2009-12-27, 44, 29, 36.5, 0.10, M, M
2009-12-28, 44, 28, 36.0, 0.04, M, M
2009-12-29, 29, 8, 18.5, 0.01, T, 1
2009-12-30, 21, 6, 13.5, 0.01, T, 1
2009-12-31, 26, 17, 21.5, 0.01, T, 1
2010-01-01, 35, 20, 27.5, 0.21, 3.0, 4
2010-01-02, 42, 11, 26.5, 0.07, 1.0, 5
2010-01-03, 18, 5, 11.5, 0.03, T, 5
2010-01-04, 17, 7, 12.0, 0.00, 0.0, 5
2010-01-05, 17, 12, 14.5, 0.00, T, 5
2010-01-06, 20, 15, 17.5, 0.02, 1.0, 6
2010-01-07, 29, 15, 22.0, 0.00, 0.0, 6
2010-01-08, 26, 17, 21.5, 0.10, 1.0, 6
2010-01-09, 29, 8, 18.5, 0.03, 1.0, 7
2010-01-10, 20, -8, 6.0, 0.00, 0.0, 7
2010-01-11, 21, -7, 7.0, 0.00, 0.0, 7
2010-01-12, 29, -6, 11.5, 0.07, 1.0, 7
2010-01-13, 27, 12, 19.5, 0.00, 0.0, 7
2010-01-14, 36, 13, 24.5, 0.00, 0.0, 7
2010-01-15, 36, 14, 25.0, 0.00, M, 6
2010-01-16, 40, 30, 35.0, 0.00, M, 5
2010-01-17, 46, 13, 29.5, 0.00, M, 4
2010-01-18, 38, 13, 25.5, 0.50, M, 4
2010-01-19, 40, 29, 34.5, 0.05, 0.5, 4
2010-01-20, 33, 27, 30.0, 0.05, T, 4
2010-01-21, 34, 14, 24.0, 0.00, 0.0, 4
2010-01-22, 32, 6, 19.0, 0.00, 0.0, 3
2010-01-23, 45, 6, 25.5, 0.00, 0.0, 3
2010-01-24, 43, 4, 23.5, 0.00, 0.0, 2
2010-01-25, 53, 29, 41.0, 0.40, 0.0, 0
2010-01-26, 53, 28, 40.5, 1.12, 0.0, 0
2010-01-27, 34, 26, 30.0, 0.00, 0.0, 0
2010-01-28, 33, 23, 28.0, 0.00, 0.0, 0
2010-01-29, 34, 5, 19.5, 0.03, T, T
2010-01-30, 26, -4, 11.0, 0.00, M, T
2010-01-31, 33, -6, 13.5, 0.00, M, T
2010-02-01, 24, -5, 9.5, 0.00, 0.0, 0
2010-02-02, 29, 10, 19.5, 0.00, 0.0, 0
2010-02-03, 27, 10, 18.5, 0.05, 0.7, 1
2010-02-04, 30, 14, 22.0, 0.05, 0.5, 1
2010-02-05, 28, 7, 17.5, 0.00, 0.0, 1
2010-02-06, 29, 8, 18.5, 0.00, 0.0, T
2010-02-07, 25, 5, 15.0, 0.00, T, T
2010-02-08, 20, 14, 17.0, 0.01, 0.2, T
2010-02-09, 25, 15, 20.0, 0.00, 0.0, T
2010-02-10, 28, 19, 23.5, 0.17, 3.0, 3
2010-02-11, 30, 19, 24.5, 0.07, 1.0, 3
2010-02-12, 28, 19, 23.5, 0.00, 0.0, 3
2010-02-13, 29, 9, 19.0, 0.01, T, 3
2010-02-14, 24, 10, 17.0, 0.00, M, 3
2010-02-15, 29, 24, 26.5, 0.00, M, 3
2010-02-16, 35, 23, 29.0, 0.00, T, 2
2010-02-17, 27, 23, 25.0, 0.05, 0.5, 2
2010-02-18, 28, 23, 25.5, 0.10, 1.0, 3
2010-02-19, 31, 26, 28.5, 0.00, T, 2
2010-02-20, 33, 28, 30.5, 0.00, 0.0, 2
2010-02-21, 35, 27, 31.0, 0.00, 0.0, 2
2010-02-22, 34, 6, 20.0, 0.00, 0.0, 2
2010-02-23, 39, 4, 21.5, 0.05, 1.0, 2
2010-02-24, 39, 29, 34.0, 0.15, 1.0, 2
2010-02-25, 35, 27, 31.0, 0.10, 1.0, 3
2010-02-26, 30, 20, 25.0, 0.32, 8.0, 11
2010-02-27, 40, 26, 33.0, 0.11, T, 11
2010-02-28, 34, 28, 31.0, 0.14, 0.5, 11
2010-03-01, 38, 29, 33.5, 0.05, 0.0, 9
