Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 13, -5, 4.0, 0.05, 1.0, 13
2009-01-02, 9, -8, 0.5, 0.00, 0.0, 13
2009-01-03, 23, 4, 13.5, 0.10, 3.5, 16
2009-01-04, 17, 2, 9.5, 0.00, 0.0, 15
2009-01-05, 31, 2, 16.5, 0.06, 0.0, 15
2009-01-06, 29, 17, 23.0, 0.01, 0.1, 15
2009-01-07, 26, 9, 17.5, 0.26, 2.5, 17
2009-01-08, 31, 20, 25.5, 0.37, 2.5, 18
2009-01-09, 22, 4, 13.0, T, T, 18
2009-01-10, 14, -14, 0.0, 0.00, 0.0, 18
2009-01-11, 17, -14, 1.5, 0.42, 7.0, 25
2009-01-12, 21, -0, 10.5, T, T, 25
2009-01-13, 21, 6, 13.5, T, T, 24
2009-01-14, 27, -10, 8.5, 0.20, 7.0, 30
2009-01-15, 4, -19, -7.5, T, T, 29
2009-01-16, 7, -28, -10.5, 0.00, 0.0, 28
2009-01-17, 6, -25, -9.5, T, T, 28
2009-01-18, 9, -1, 4.0, 0.07, 1.0, 27
2009-01-19, 18, 8, 13.0, 0.07, 1.8, 28
2009-01-20, 22, 5, 13.5, 0.05, 2.0, 30
2009-01-21, 16, -15, 0.5, T, T, 28
2009-01-22, 19, -8, 5.5, 0.01, 0.3, 28
2009-01-23, 25, 19, 22.0, 0.01, 0.2, 27
2009-01-24, 37, 7, 22.0, 0.02, 0.7, 26
2009-01-25, 7, -14, -3.5, 0.00, 0.0, 26
2009-01-26, 14, -11, 1.5, 0.01, 0.2, 25
2009-01-27, 16, -11, 2.5, T, T, 25
2009-01-28, 19, 3, 11.0, 0.05, 0.8, 25
2009-01-29, 25, 13, 19.0, 0.55, 7.3, 32
2009-01-30, 22, 13, 17.5, 0.05, 1.3, 32
2009-01-31, 26, 4, 15.0, 0.05, 1.3, 32
2009-02-01, 14, 1, 7.5, 0.03, 0.5, 32
2009-02-02, 35, 14, 24.5, 0.00, 0.0, 31
2009-02-03, 32, -2, 15.0, 0.00, 0.0, 30
2009-02-04, 29, -2, 13.5, 0.00, 0.0, 29
2009-02-05, 14, -5, 4.5, 0.00, 0.0, 29
2009-02-06, 9, -4, 2.5, 0.01, 0.1, 29
2009-02-07, 21, -6, 7.5, T, T, 29
2009-02-08, 46, 7, 26.5, 0.04, 0.1, 25
2009-02-09, 34, 18, 26.0, 0.02, 0.5, 25
2009-02-10, 30, 10, 20.0, 0.00, 0.0, 25
2009-02-11, 37, 11, 24.0, T, 0.0, 24
2009-02-12, 45, 33, 39.0, 0.27, 0.0, 21
2009-02-13, 41, 11, 26.0, 0.02, 0.4, 21
2009-02-14, 18, 4, 11.0, 0.00, 0.0, 21
2009-02-15, 29, 8, 18.5, 0.00, 0.0, 21
2009-02-16, 28, 3, 15.5, 0.00, 0.0, 21
2009-02-17, 28, 6, 17.0, 0.00, 0.0, 21
2009-02-18, 30, 3, 16.5, 0.00, 0.0, 21
2009-02-19, 33, 4, 18.5, 0.39, 5.5, 26
2009-02-20, 33, 10, 21.5, T, T, 25
2009-02-21, 18, 10, 14.0, 0.01, 0.3, 25
2009-02-22, 27, 14, 20.5, 0.23, 2.5, 27
2009-02-23, 28, 18, 23.0, 0.10, 2.2, 28
2009-02-24, 21, 4, 12.5, 0.01, 0.3, 28
2009-02-25, 22, -5, 8.5, 0.00, 0.0, 28
2009-02-26, 36, 2, 19.0, 0.03, 0.6, 28
2009-02-27, 45, 23, 34.0, 0.00, 0.0, 27
2009-02-28, 43, 4, 23.5, 0.97, T, 25
2009-03-01, 24, -2, 11.0, 0.00, 0.0, 25
2009-03-02, 33, 4, 18.5, 0.00, 0.0, 25
2009-03-03, 11, -2, 4.5, 0.04, 1.5, 26
2009-03-04, 14, -10, 2.0, 0.00, 0.0, 26
2009-03-05, 23, -4, 9.5, 0.00, 0.0, 26
2009-03-06, 37, 8, 22.5, 0.01, 0.0, 26
2009-03-07, 51, 31, 41.0, T, 0.0, 23
2009-03-08, 44, 33, 38.5, 1.00, 0.0, 21
2009-03-09, 42, 27, 34.5, 0.38, 1.8, 21
2009-03-10, 34, 25, 29.5, 0.20, 1.7, 23
2009-03-11, 33, 27, 30.0, 0.40, 0.0, 22
2009-03-12, 46, 13, 29.5, 0.15, T, 21
2009-03-13, 22, -0, 11.0, 0.00, 0.0, 21
2009-03-14, 30, -0, 15.0, 0.00, 0.0, 21
2009-03-15, 41, 11, 26.0, 0.00, 0.0, 21
2009-03-16, 49, 18, 33.5, 0.00, 0.0, 20
2009-03-17, 49, 18, 33.5, 0.00, 0.0, 20
2009-03-18, 52, 23, 37.5, 0.00, 0.0, 19
2009-03-19, 45, 30, 37.5, 0.15, 0.0, 18
2009-03-20, 44, 14, 29.0, 0.00, 0.0, 17
2009-03-21, 34, 8, 21.0, 0.00, 0.0, 17
2009-03-22, 41, 19, 30.0, T, T, 17
2009-03-23, 30, 10, 20.0, T, 0.2, 17
2009-03-24, 23, 7, 15.0, 0.00, 0.0, 17
2009-03-25, 38, 6, 22.0, 0.00, 0.0, 17
2009-03-26, 48, 17, 32.5, 0.00, 0.0, 17
2009-03-27, 43, 33, 38.0, 0.31, 0.0, 15
2009-03-28, 50, 27, 38.5, 0.00, 0.0, 14
2009-03-29, 56, 32, 44.0, 0.03, 0.0, 12
2009-03-30, 43, 34, 38.5, 0.55, 0.0, 10
2009-03-31, 36, 28, 32.0, 0.01, 0.2, 10
2009-04-01, 48, 26, 37.0, 0.00, 0.0, 9
2009-04-02, 39, 33, 36.0, 0.07, 0.0, 8
2009-04-03, 54, 29, 41.5, 0.01, 0.0, 6
2009-04-04, 51, 33, 42.0, 0.35, T, 3
2009-04-05, 36, 30, 33.0, 0.02, 0.1, 3
2009-04-06, 37, 28, 32.5, T, T, 3
2009-04-07, 37, 31, 34.0, 0.32, T, 3
2009-04-08, 32, 26, 29.0, T, T, 3
2009-04-09, 33, 26, 29.5, T, T, 3
2009-04-10, 45, 26, 35.5, 0.00, 0.0, 2
2009-04-11, 52, 26, 39.0, 0.00, 0.0, 1
2009-04-12, 46, 23, 34.5, 0.00, 0.0, T
2009-04-13, 30, 20, 25.0, T, T, T
2009-04-14, 43, 22, 32.5, 0.00, 0.0, T
2009-04-15, 54, 21, 37.5, 0.00, 0.0, T
2009-04-16, 57, 21, 39.0, 0.00, 0.0, T
2009-04-17, 57, 26, 41.5, 0.00, 0.0, T
2009-04-18, 59, 32, 45.5, 0.00, 0.0, T
2009-04-19, 54, 29, 41.5, 0.30, 0.0, 0
2009-04-20, 54, 25, 39.5, 0.00, 0.0, 0
2009-04-21, 47, 27, 37.0, 0.55, 0.0, 0
2009-04-22, 46, 39, 42.5, 0.22, 0.0, 0
2009-04-23, 50, 35, 42.5, 0.01, 0.0, 0
2009-04-24, 42, 27, 34.5, 0.03, T, 0
2009-04-25, 66, 41, 53.5, 0.20, 0.0, 0
2009-04-26, 80, 55, 67.5, T, 0.0, 0
2009-04-27, 65, 39, 52.0, 0.00, 0.0, 0
2009-04-28, 84, 46, 65.0, 0.00, 0.0, 0
2009-04-29, 79, 28, 53.5, 0.02, 0.0, 0
2009-04-30, 60, 26, 43.0, 0.00, 0.0, 0
2009-05-01, 65, 35, 50.0, 0.31, 0.0, 0
2009-05-02, 66, 40, 53.0, 0.26, 0.0, 0
2009-05-03, 56, 34, 45.0, T, 0.0, 0
