Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 12, -1, 5.5, 0.02, T, 1
2009-01-02, 28, -0, 14.0, T, T, 1
2009-01-03, 29, 17, 23.0, 0.18, 3.0, 4
2009-01-04, 24, -1, 11.5, 0.00, 0.0, 4
2009-01-05, 28, -2, 13.0, 0.09, 0.0, 3
2009-01-06, 33, 13, 23.0, 0.00, 0.0, 3
2009-01-07, 32, 15, 23.5, 0.27, 3.0, 6
2009-01-08, 34, 21, 27.5, 0.92, 7.0, 9
2009-01-09, 21, -3, 9.0, 0.02, 0.2, 8
2009-01-10, 17, -10, 3.5, 0.00, 0.0, 8
2009-01-11, 17, -10, 3.5, 0.24, 4.0, 10
2009-01-12, 18, 4, 11.0, T, T, 9
2009-01-13, 27, 10, 18.5, 0.01, T, 8
2009-01-14, 33, -12, 10.5, 0.10, 4.0, 10
2009-01-15, 5, -11, -3.0, 0.00, 0.0, 9
2009-01-16, 6, -13, -3.5, T, T, 9
2009-01-17, 13, -13, 0.0, 0.53, 16.0, 23
2009-01-18, 15, 7, 11.0, 0.17, 5.0, 20
2009-01-19, 25, 15, 20.0, 0.05, 1.5, 18
2009-01-20, 25, -4, 10.5, 0.06, 1.5, 19
2009-01-21, 18, -11, 3.5, T, T, 18
2009-01-22, 25, -2, 11.5, 0.12, 3.0, 17
2009-01-23, 30, 22, 26.0, 0.00, 0.0, 15
2009-01-24, 41, 6, 23.5, 0.02, 0.5, 14
2009-01-25, 11, -4, 3.5, 0.36, 12.0, 23
2009-01-26, 21, -10, 5.5, 0.01, 0.1, 21
2009-01-27, 20, 3, 11.5, 0.10, 4.5, 24
2009-01-28, 26, 9, 17.5, 0.04, 0.5, 23
2009-01-29, 29, 11, 20.0, 0.40, 4.5, 21
2009-01-30, 25, 17, 21.0, 0.18, 6.0, 24
2009-01-31, 26, 3, 14.5, 0.24, 8.0, 29
2009-02-01, 27, -0, 13.5, 0.02, 1.0, 29
2009-02-02, 38, 27, 32.5, 0.00, 0.0, 24
2009-02-03, 34, 8, 21.0, 0.00, 0.0, 24
2009-02-04, 23, -10, 6.5, 0.00, 0.0, 22
2009-02-05, 12, -14, -1.0, 0.00, 0.0, 22
2009-02-06, 14, -14, 0.0, 0.00, T, 19
2009-02-07, 31, 12, 21.5, 0.00, 0.0, 19
2009-02-08, 47, 30, 38.5, 0.02, 0.0, 12
2009-02-09, 38, 21, 29.5, 0.00, 0.0, 11
2009-02-10, 36, 21, 28.5, 0.00, 0.0, 11
2009-02-11, 49, 36, 42.5, T, 0.0, 10
2009-02-12, 50, 40, 45.0, 0.52, 0.0, 7
2009-02-13, 40, 16, 28.0, 0.95, 1.0, 4
2009-02-14, 25, 6, 15.5, 0.00, 0.0, 3
2009-02-15, 27, 6, 16.5, 0.00, 0.0, 3
2009-02-16, 29, 6, 17.5, 0.00, 0.0, 3
2009-02-17, 31, 6, 18.5, 0.00, 0.0, 3
2009-02-18, 33, 9, 21.0, 0.00, 0.0, 3
2009-02-19, 36, 26, 31.0, 0.22, 0.5, 3
2009-02-20, 34, 9, 21.5, 0.12, 3.0, 5
2009-02-21, 21, 10, 15.5, 0.08, 3.0, 5
2009-02-22, 33, 13, 23.0, 0.05, 1.0, 6
2009-02-23, 32, 15, 23.5, 0.11, 3.0, 8
2009-02-24, 30, 5, 17.5, 0.00, 0.0, 8
