Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 13, -6, 3.5, 0.02, 0.7, 2
2009-01-02, 17, -4, 6.5, 0.00, 0.0, 2
2009-01-03, 27, 14, 20.5, 0.33, 6.5, 9
2009-01-04, 19, -5, 7.0, T, T, 8
2009-01-05, 29, 4, 16.5, 0.04, T, 7
2009-01-06, 32, 9, 20.5, T, T, 6
2009-01-07, 29, 9, 19.0, 0.36, 3.0, 9
2009-01-08, 34, 21, 27.5, 0.26, 2.0, 8
2009-01-09, 21, 2, 11.5, 0.01, 0.5, 8
2009-01-10, 15, -14, 0.5, 0.00, 0.0, 8
2009-01-11, 16, -14, 1.0, 0.31, 5.1, 13
2009-01-12, 13, 1, 7.0, T, 0.2, 12
2009-01-13, 25, 9, 17.0, 0.01, 0.2, 12
2009-01-14, 30, -12, 9.0, 0.14, 5.5, 13
2009-01-15, 1, -14, -6.5, T, T, 12
2009-01-16, 4, -18, -7.0, 0.00, 0.0, 12
2009-01-17, 8, -13, -2.5, 0.02, 1.0, 12
2009-01-18, 13, 4, 8.5, 0.07, 1.0, 12
2009-01-19, 22, 13, 17.5, 0.02, 1.0, 13
2009-01-20, 24, 6, 15.0, 0.03, 1.1, 13
2009-01-21, 13, -11, 1.0, T, 0.4, 12
2009-01-22, 20, -9, 5.5, 0.03, 1.8, 13
2009-01-23, 28, 20, 24.0, 0.03, 0.6, 13
2009-01-24, 39, 3, 21.0, 0.03, 2.2, 12
2009-01-25, 9, -10, -0.5, T, 0.2, 12
2009-01-26, 17, -2, 7.5, 0.15, 3.0, 15
2009-01-27, 20, 3, 11.5, 0.05, 3.0, 17
2009-01-28, 24, 5, 14.5, 0.10, 0.7, 16
2009-01-29, 26, 14, 20.0, 0.41, 7.8, 20
2009-01-30, 24, 16, 20.0, 0.03, 1.6, 18
2009-01-31, 29, 1, 15.0, 0.18, 6.8, 21
2009-02-01, 22, 1, 11.5, 0.02, 1.0, 20
2009-02-02, 37, 22, 29.5, 0.00, 0.0, 19
2009-02-03, 34, 4, 19.0, 0.00, 0.0, 18
2009-02-04, 23, -2, 10.5, T, T, 18
2009-02-05, 5, -7, -1.0, T, T, 18
2009-02-06, 8, -8, 0.0, T, T, 17
2009-02-07, 24, 7, 15.5, 0.00, 0.0, 16
2009-02-08, 47, 20, 33.5, T, 0.0, 10
2009-02-09, 36, 24, 30.0, 0.01, T, 10
2009-02-10, 29, 19, 24.0, 0.00, 0.0, 9
2009-02-11, 42, 27, 34.5, 0.00, 0.0, 8
2009-02-12, 50, 38, 44.0, 0.34, 0.0, 4
2009-02-13, 43, 13, 28.0, 0.40, 1.0, 4
2009-02-14, 19, 4, 11.5, 0.00, 0.0, 4
2009-02-15, 26, 4, 15.0, 0.00, 0.0, 4
2009-02-16, 28, 5, 16.5, 0.00, 0.0, 4
2009-02-17, 25, 4, 14.5, 0.00, 0.0, 4
2009-02-18, 30, 6, 18.0, 0.00, 0.0, 3
2009-02-19, 34, 24, 29.0, 0.32, 2.0, 5
2009-02-20, 34, 8, 21.0, 0.10, 3.1, 6
2009-02-21, 20, 8, 14.0, 0.06, 3.0, 8
2009-02-22, 30, 12, 21.0, 0.12, 1.2, 9
2009-02-23, 29, 17, 23.0, 0.04, 2.0, 10
2009-02-24, 17, 4, 10.5, T, 0.1, 9
2009-02-25, 17, 4, 10.5, 0.00, 0.0, 8
2009-02-26, 35, 6, 20.5, 0.04, 0.2, 8
2009-02-27, 45, 29, 37.0, 0.00, 0.0, 6
2009-02-28, 48, 2, 25.0, 0.60, 0.2, 5
2009-03-01, 14, 2, 8.0, 0.00, 0.0, 5
2009-03-02, 24, 6, 15.0, 0.00, 0.0, 5
2009-03-03, 13, -0, 6.5, 0.00, 0.0, 5
2009-03-04, 15, -0, 7.5, 0.00, 0.0, 5
2009-03-05, 26, 1, 13.5, 0.00, 0.0, 5
2009-03-06, 36, 9, 22.5, 0.00, 0.0, 3
2009-03-07, 52, 34, 43.0, T, 0.0, 1
2009-03-08, 42, 34, 38.0, 0.93, 0.0, T
2009-03-09, 42, 32, 37.0, 0.47, 0.0, T
2009-03-10, 40, 25, 32.5, 0.05, T, T
2009-03-11, 37, 26, 31.5, 0.32, 0.0, T
2009-03-12, 48, 15, 31.5, T, T, T
2009-03-13, 23, 11, 17.0, 0.00, 0.0, T
2009-03-14, 30, 11, 20.5, 0.00, 0.0, T
2009-03-15, 42, 17, 29.5, 0.00, 0.0, T
2009-03-16, 48, 22, 35.0, 0.00, 0.0, T
2009-03-17, 56, 23, 39.5, 0.00, 0.0, T
2009-03-18, 58, 35, 46.5, 0.00, 0.0, T
2009-03-19, 53, 36, 44.5, 0.06, T, T
2009-03-20, 45, 18, 31.5, 0.00, 0.0, T
2009-03-21, 34, 14, 24.0, 0.00, 0.0, T
2009-03-22, 43, 15, 29.0, T, T, T
2009-03-23, 35, 14, 24.5, T, T, T
2009-03-24, 27, 15, 21.0, 0.00, 0.0, T
2009-03-25, 41, 15, 28.0, 0.00, 0.0, 0
