Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 19, 3, 11.0, 0.25, 4.0, 8
2009-01-02, 20, -1, 9.5, T, T, 7
2009-01-03, 27, 19, 23.0, 0.17, 3.5, 10
2009-01-04, 23, 8, 15.5, 0.04, 0.7, 8
2009-01-05, 34, 9, 21.5, 0.01, 0.1, M
2009-01-06, 32, 5, 18.5, T, T, 7
2009-01-07, 29, 8, 18.5, 0.27, 0.4, 7
2009-01-08, 35, 25, 30.0, 0.73, 6.5, 13
2009-01-09, 25, 14, 19.5, 0.33, 8.0, 18
2009-01-10, 19, 1, 10.0, 0.01, 0.4, 16
2009-01-11, 17, 1, 9.0, 0.35, 3.4, 18
2009-01-12, 17, 8, 12.5, 0.02, 0.4, 17
2009-01-13, 24, 11, 17.5, 0.03, 0.8, 17
2009-01-14, 30, 4, 17.0, 0.00, 0.0, M
2009-01-15, 9, 1, 5.0, 0.25, 3.0, 18
2009-01-16, 11, -7, 2.0, 0.09, 0.9, 18
2009-01-17, 8, -6, 1.0, 0.00, 0.0, 17
2009-01-18, 12, -5, 3.5, 0.07, 3.0, 20
2009-01-19, 22, 12, 17.0, 0.05, 0.8, 19
2009-01-20, 20, 2, 11.0, 0.02, 0.3, 19
2009-01-21, 16, 7, 11.5, 0.07, 4.1, 23
2009-01-22, 18, 8, 13.0, T, 0.1, 22
2009-01-23, 25, 16, 20.5, T, T, 19
2009-01-24, 39, 13, 26.0, 0.08, 2.0, 19
2009-01-25, 13, -7, 3.0, 0.05, 0.9, 18
2009-01-26, 17, -7, 5.0, 0.00, 0.0, 18
2009-01-27, 19, -2, 8.5, T, T, 17
2009-01-28, 20, 12, 16.0, 0.10, 0.9, 18
2009-01-29, 32, 15, 23.5, 0.54, 5.0, 22
2009-01-30, 23, 15, 19.0, 0.01, 0.1, 21
2009-01-31, 26, 11, 18.5, 0.09, 1.6, 22
2009-02-01, 23, 10, 16.5, 0.03, 0.9, 21
2009-02-02, 41, 23, 32.0, 0.00, 0.0, 20
2009-02-03, 33, 11, 22.0, 0.00, 0.0, 19
2009-02-04, 27, -1, 13.0, 0.00, 0.0, 19
2009-02-05, 13, -2, 5.5, 0.01, 0.3, 19
2009-02-06, 11, -2, 4.5, 0.10, 0.2, 19
2009-02-07, 23, 9, 16.0, 0.00, 0.0, 19
2009-02-08, 45, 22, 33.5, 0.00, 0.0, 15
2009-02-09, 37, 24, 30.5, 0.02, 0.3, 15
2009-02-10, 34, 23, 28.5, T, T, 15
2009-02-11, 44, 34, 39.0, T, 0.0, 13
2009-02-12, 50, 36, 43.0, 0.25, 0.0, 9
2009-02-13, 37, 17, 27.0, 0.80, 4.0, 12
2009-02-14, 23, 14, 18.5, 0.00, 0.0, 12
2009-02-15, 27, 8, 17.5, 0.00, 0.0, 12
2009-02-16, 29, 9, 19.0, 0.00, 0.0, 12
2009-02-17, 23, 9, 16.0, 0.00, 0.0, 11
2009-02-18, 31, 9, 20.0, 0.00, 0.0, 8
2009-02-19, 35, 23, 29.0, 0.15, 1.4, 10
2009-02-20, 34, 13, 23.5, 0.15, 1.3, 12
2009-02-21, 21, 13, 17.0, 0.24, 7.5, 20
2009-02-22, 30, 18, 24.0, T, T, 18
2009-02-23, 31, 15, 23.0, 0.12, 2.9, 20
2009-02-24, 17, 9, 13.0, 0.14, 4.0, 22
2009-02-25, 22, 3, 12.5, T, 0.1, 19
2009-02-26, 37, 8, 22.5, 0.03, 0.8, 18
2009-02-27, 48, 30, 39.0, 0.00, 0.0, 15
2009-02-28, 46, 9, 27.5, 0.30, 1.1, 12
2009-03-01, 21, 6, 13.5, 0.00, 0.0, 7
2009-03-02, 25, 7, 16.0, T, T, 7
2009-03-03, 12, 3, 7.5, 0.01, 0.2, 7
2009-03-04, 16, 3, 9.5, 0.02, 1.1, 8
2009-03-05, 26, 9, 17.5, 0.01, 0.2, 7
2009-03-06, 39, 9, 24.0, 0.01, 0.0, 7
2009-03-07, 54, 33, 43.5, 0.00, 0.0, 7
2009-03-08, 52, 32, 42.0, 0.93, 0.0, 5
2009-03-09, 39, 35, 37.0, 0.49, 0.0, 3
2009-03-10, 39, 24, 31.5, 0.36, 0.1, 3
2009-03-11, 38, 27, 32.5, 0.25, 0.0, 1
2009-03-12, 49, 18, 33.5, 0.06, 1.6, 2
2009-03-13, 24, 10, 17.0, 0.01, 0.3, 2
2009-03-14, 32, 10, 21.0, T, T, 1
2009-03-15, 45, 22, 33.5, 0.00, 0.0, T
2009-03-16, 52, 27, 39.5, 0.00, 0.0, T
2009-03-17, 54, 30, 42.0, 0.00, 0.0, T
2009-03-18, 56, 36, 46.0, 0.00, 0.0, T
2009-03-19, 54, 33, 43.5, 0.72, 0.1, T
2009-03-20, 46, 22, 34.0, 0.00, 0.0, 0
2009-03-21, 36, 15, 25.5, 0.00, 0.0, 0
2009-03-22, 42, 19, 30.5, 0.01, 0.1, 0
2009-03-23, 35, 14, 24.5, 0.02, T, T
2009-03-24, 28, 14, 21.0, 0.00, 0.0, 0
2009-03-25, 41, 18, 29.5, 0.00, 0.0, 0
2009-03-26, 50, 30, 40.0, 0.00, 0.0, 0
2009-03-27, 45, 36, 40.5, 0.05, 0.0, 0
2009-03-28, 55, 34, 44.5, 0.00, 0.0, 0
2009-03-29, 65, 40, 52.5, 0.07, 0.0, 0
2009-03-30, 52, 32, 42.0, 0.64, 0.5, 1
2009-03-31, 33, 29, 31.0, 0.02, 0.2, T
