Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-08-01, 82, 61, 71.5, 0.78, 0.0, 0
2009-08-02, 86, 64, 75.0, 0.02, 0.0, 0
2009-08-03, 86, 65, 75.5, 0.77, 0.0, 0
2009-08-04, 83, 62, 72.5, 0.00, 0.0, 0
2009-08-05, 87, 63, 75.0, 0.00, 0.0, 0
2009-08-06, 87, 61, 74.0, 0.00, 0.0, 0
2009-08-07, 81, 60, 70.5, 0.00, 0.0, 0
2009-08-08, 79, 55, 67.0, 0.00, 0.0, 0
2009-08-09, 77, 60, 68.5, 0.00, 0.0, 0
2009-08-10, 74, 67, 70.5, 0.07, 0.0, 0
2009-08-11, 92, 71, 81.5, 0.14, 0.0, 0
2009-08-12, 89, 70, 79.5, 0.00, 0.0, 0
2009-08-13, 82, 68, 75.0, 2.00, 0.0, 0
2009-08-14, 73, 65, 69.0, 0.12, 0.0, 0
2009-08-15, 86, 65, 75.5, 0.00, 0.0, 0
2009-08-16, 90, 68, 79.0, 0.00, 0.0, 0
2009-08-17, 92, 70, 81.0, 0.00, 0.0, 0
2009-08-18, 93, 70, 81.5, 0.00, 0.0, 0
2009-08-19, 91, 72, 81.5, 0.00, 0.0, 0
2009-08-20, 89, 69, 79.0, 0.00, 0.0, 0
2009-08-21, 90, 69, 79.5, 0.00, 0.0, 0
2009-08-22, 89, 70, 79.5, 0.78, 0.0, 0
2009-08-23, 82, 71, 76.5, 0.13, 0.0, 0
2009-08-24, 82, 69, 75.5, 0.00, 0.0, 0
2009-08-25, 83, 65, 74.0, 0.00, 0.0, 0
2009-08-26, 86, 65, 75.5, 0.00, 0.0, 0
2009-08-27, 85, 62, 73.5, 0.00, 0.0, 0
2009-08-28, 77, 63, 70.0, 0.00, 0.0, 0
2009-08-29, 65, 60, 62.5, 1.36, 0.0, 0
2009-08-30, 68, 64, 66.0, 0.15, 0.0, 0
2009-08-31, 81, 59, 70.0, 0.00, 0.0, 0
2009-09-01, 71, 53, 62.0, 0.00, 0.0, 0
2009-09-02, 73, 52, 62.5, 0.00, 0.0, 0
2009-09-03, 79, 53, 66.0, 0.00, 0.0, 0
2009-09-04, 82, 56, 69.0, 0.00, 0.0, 0
2009-09-05, 81, 60, 70.5, 0.00, 0.0, 0
2009-09-06, 82, 59, 70.5, 0.00, 0.0, 0
2009-09-07, 75, 60, 67.5, 0.00, 0.0, 0
2009-09-08, 71, 60, 65.5, 0.00, 0.0, 0
2009-09-09, 77, 60, 68.5, 0.00, 0.0, 0
2009-09-10, 76, 53, 64.5, 0.00, 0.0, 0
2009-09-11, 71, 52, 61.5, 0.00, 0.0, 0
2009-09-12, 62, 53, 57.5, 0.54, 0.0, 0
2009-09-13, 70, 60, 65.0, 0.04, 0.0, 0
2009-09-14, 80, 58, 69.0, 0.00, 0.0, 0
2009-09-15, 77, 57, 67.0, 0.00, 0.0, 0
2009-09-16, 80, 59, 69.5, 0.00, 0.0, 0
2009-09-17, 68, 52, 60.0, 0.11, 0.0, 0
2009-09-18, 60, 51, 55.5, 0.13, 0.0, 0
2009-09-19, 74, 50, 62.0, 0.00, 0.0, 0
2009-09-20, 68, 47, 57.5, 0.00, 0.0, 0
2009-09-21, 75, 48, 61.5, 0.00, 0.0, 0
2009-09-22, 76, 52, 64.0, 0.00, 0.0, 0
2009-09-23, 73, 61, 67.0, 0.00, 0.0, 0
2009-09-24, 83, 65, 74.0, 0.00, 0.0, 0
2009-09-25, 82, 55, 68.5, 0.00, 0.0, 0
2009-09-26, 66, 45, 55.5, 0.00, 0.0, 0
2009-09-27, 64, 50, 57.0, 0.83, 0.0, 0
2009-09-28, 66, 58, 62.0, 0.20, 0.0, 0
2009-09-29, 72, 54, 63.0, 0.00, 0.0, 0
2009-09-30, 66, 52, 59.0, 0.00, 0.0, 0
2009-10-01, 58, 46, 52.0, 0.00, 0.0, 0
2009-10-02, 56, 42, 49.0, 0.00, 0.0, 0
2009-10-03, 63, 42, 52.5, 0.25, 0.0, 0
2009-10-04, 68, 57, 62.5, 0.02, 0.0, 0
2009-10-05, 73, 53, 63.0, 0.00, 0.0, 0
2009-10-06, 65, 49, 57.0, 0.00, 0.0, 0
2009-10-07, 67, 48, 57.5, 0.30, 0.0, 0
2009-10-08, 67, 52, 59.5, 0.00, 0.0, 0
2009-10-09, 63, 51, 57.0, 0.00, 0.0, 0
2009-10-10, 64, 54, 59.0, 0.55, 0.0, 0
2009-10-11, 64, 40, 52.0, 0.00, 0.0, 0
2009-10-12, 63, 38, 50.5, 0.00, 0.0, 0
2009-10-13, 51, 38, 44.5, 0.06, 0.0, 0
2009-10-14, 61, 41, 51.0, 0.00, 0.0, 0
2009-10-15, 52, 38, 45.0, 0.00, 0.0, 0
2009-10-16, 41, 35, 38.0, 0.25, 0.0, 0
2009-10-17, 47, 36, 41.5, 0.01, 0.0, 0
2009-10-18, 48, 28, 38.0, 0.00, 0.0, 0
2009-10-19, 42, 35, 38.5, 0.16, 0.0, 0
2009-10-20, 55, 35, 45.0, 0.00, 0.0, 0
2009-10-21, 63, 38, 50.5, 0.00, 0.0, 0
2009-10-22, 66, 47, 56.5, 0.00, 0.0, 0
2009-10-23, 77, 48, 62.5, 0.00, 0.0, 0
2009-10-24, 56, 43, 49.5, 0.57, 0.0, 0
2009-10-25, 65, 51, 58.0, 1.26, 0.0, 0
2009-10-26, 63, 41, 52.0, 0.00, 0.0, 0
2009-10-27, 60, 40, 50.0, 0.00, 0.0, 0
2009-10-28, 53, 46, 49.5, 0.78, 0.0, 0
2009-10-29, 53, 47, 50.0, 0.81, 0.0, 0
2009-10-30, 59, 47, 53.0, 0.00, 0.0, 0
2009-10-31, 57, 50, 53.5, 0.06, 0.0, 0
2009-11-01, 67, 49, 58.0, 0.19, M, M
2009-11-02, 56, 39, 47.5, 0.00, M, M
2009-11-03, 57, 37, 47.0, 0.00, M, M
2009-11-04, 60, 38, 49.0, 0.00, M, M
2009-11-05, 51, 38, 44.5, 0.00, M, M
2009-11-06, 49, 37, 43.0, 0.00, M, M
2009-11-07, 46, 29, 37.5, 0.00, M, M
2009-11-08, 52, 33, 42.5, 0.00, M, M
2009-11-09, 67, 41, 54.0, 0.00, M, M
2009-11-10, 67, 42, 54.5, 0.00, M, M
2009-11-11, 62, 47, 54.5, 0.00, M, M
2009-11-12, 50, 42, 46.0, 0.00, M, M
2009-11-13, 51, 42, 46.5, 0.00, M, M
2009-11-14, 54, 43, 48.5, 0.48, M, M
2009-11-15, 53, 48, 50.5, 0.13, M, M
2009-11-16, 60, 45, 52.5, 0.03, M, M
2009-11-17, 56, 44, 50.0, 0.00, M, M
2009-11-18, 52, 32, 42.0, 0.00, M, M
2009-11-19, 51, 32, 41.5, 0.00, M, M
2009-11-20, 59, 42, 50.5, 0.81, M, M
2009-11-21, 58, 42, 50.0, 0.00, M, M
2009-11-22, 55, 41, 48.0, 0.00, M, M
2009-11-23, 51, 40, 45.5, 0.00, M, M
2009-11-24, 51, 42, 46.5, 0.00, M, M
2009-11-25, 55, 44, 49.5, 0.00, M, M
2009-11-26, 48, 46, 47.0, 0.08, M, M
2009-11-27, 55, 42, 48.5, 0.03, M, M
2009-11-28, 46, 42, 44.0, 0.00, M, M
2009-11-29, 48, 37, 42.5, 0.00, M, M
2009-11-30, 56, 39, 47.5, 0.00, M, M
2009-12-01, 53, 33, 43.0, 0.11, 0.0, M
2009-12-02, 44, 34, 39.0, 0.00, 0.0, 0
2009-12-03, 63, 33, 48.0, 2.44, 0.0, 0
2009-12-04, 63, 44, 53.5, 0.00, 0.0, 0
2009-12-05, 49, 37, 43.0, 0.00, 0.0, 0
2009-12-06, 39, 31, 35.0, 0.28, 2.0, 2
2009-12-07, 37, 26, 31.5, 0.00, 0.0, M
2009-12-08, 36, 27, 31.5, 0.00, 0.0, M
2009-12-09, 41, 32, 36.5, 0.72, 4.0, 4
2009-12-10, 42, 33, 37.5, 0.74, 0.0, 1
2009-12-11, 38, 19, 28.5, 0.00, 0.0, M
2009-12-12, 37, 18, 27.5, 0.00, 0.0, M
2009-12-13, 33, 22, 27.5, 0.00, 0.0, M
2009-12-14, 43, 22, 32.5, 0.78, M, M
2009-12-15, 44, 34, 39.0, 0.00, 0.0, M
2009-12-16, 42, 39, 40.5, 0.00, 0.0, 0
2009-12-17, 39, 24, 31.5, 0.00, 0.0, 0
2009-12-18, 27, 11, 19.0, 0.00, 0.0, 0
2009-12-19, 22, 10, 16.0, 0.00, 0.0, 0
2009-12-20, 22, 17, 19.5, 0.19, 2.0, 2
2009-12-21, 30, 22, 26.0, 0.00, 0.0, 2
2009-12-22, 34, 25, 29.5, 0.00, 0.0, 2
2009-12-23, 33, 18, 25.5, 0.00, 0.0, 2
2009-12-24, 28, 19, 23.5, 0.00, 0.0, 2
2009-12-25, 34, 25, 29.5, 0.00, 0.0, 1
2009-12-26, 36, 26, 31.0, 0.31, 0.0, 0
