Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 81, 49, 65.0, 0.00, 0.0, 0
2009-06-02, 76, 52, 64.0, 0.00, 0.0, 0
2009-06-03, 82, 63, 72.5, 0.22, 0.0, 0
2009-06-04, 82, 55, 68.5, 0.58, 0.0, 0
2009-06-05, 62, 56, 59.0, 0.37, 0.0, 0
2009-06-06, 60, 56, 58.0, 0.56, 0.0, 0
2009-06-07, 79, 57, 68.0, 0.00, 0.0, 0
2009-06-08, 85, 60, 72.5, 0.00, 0.0, 0
2009-06-09, 86, 57, 71.5, 0.50, 0.0, 0
2009-06-10, 76, 62, 69.0, 0.02, 0.0, 0
2009-06-11, 77, 63, 70.0, 0.11, 0.0, 0
2009-06-12, 77, 63, 70.0, 0.12, 0.0, 0
2009-06-13, 85, 68, 76.5, 0.02, 0.0, 0
2009-06-14, 84, 60, 72.0, 1.34, 0.0, 0
2009-06-15, 81, 59, 70.0, 0.01, 0.0, 0
2009-06-16, 80, 59, 69.5, 0.18, 0.0, 0
2009-06-17, 69, 55, 62.0, 0.05, 0.0, 0
2009-06-18, 70, 59, 64.5, 0.23, 0.0, 0
2009-06-19, 68, 62, 65.0, 0.17, 0.0, 0
2009-06-20, 80, 60, 70.0, 0.00, 0.0, 0
2009-06-21, 77, 61, 69.0, 0.51, 0.0, 0
2009-06-22, 80, 62, 71.0, 0.08, 0.0, 0
2009-06-23, 82, 61, 71.5, 0.05, 0.0, 0
2009-06-24, 82, M, M, 0.00, 0.0, 0
2009-06-25, 83, 68, 75.5, 0.00, 0.0, 0
2009-06-26, 86, 69, 77.5, 0.00, 0.0, 0
2009-06-27, 90, 63, 76.5, 0.31, 0.0, 0
2009-06-28, 89, 63, 76.0, 0.00, 0.0, 0
2009-06-29, 89, 62, 75.5, 0.02, 0.0, 0
2009-06-30, 84, 65, 74.5, 0.30, 0.0, 0
2009-07-01, 87, 67, 77.0, 0.30, 0.0, 0
