Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 67, 46, 56.5, 0.00, 0.0, 0
2009-06-02, 81, 59, 70.0, 0.19, 0.0, 0
2009-06-03, 74, 56, 65.0, 0.66, 0.0, 0
2009-06-04, 67, 55, 61.0, 0.49, 0.0, 0
2009-06-05, 59, 56, 57.5, 0.06, 0.0, 0
2009-06-06, 77, 57, 67.0, 0.02, 0.0, 0
2009-06-07, 80, 58, 69.0, 0.00, 0.0, 0
2009-06-08, 75, 61, 68.0, 0.00, 0.0, 0
2009-06-09, 72, 61, 66.5, 0.97, 0.0, 0
2009-06-10, 69, 60, 64.5, 0.00, 0.0, 0
2009-06-11, 66, 61, 63.5, 0.05, 0.0, 0
2009-06-12, 80, 63, 71.5, 1.00, 0.0, 0
2009-06-13, 76, 62, 69.0, 0.00, 0.0, 0
2009-06-14, 72, 56, 64.0, 0.00, 0.0, 0
2009-06-15, 71, 55, 63.0, 0.45, 0.0, 0
2009-06-16, 67, 55, 61.0, 0.00, 0.0, 0
2009-06-17, 69, 52, 60.5, 0.00, 0.0, 0
2009-06-18, 64, 62, 63.0, 2.22, 0.0, 0
2009-06-19, 80, 63, 71.5, 0.00, 0.0, 0
2009-06-20, 73, 62, 67.5, 0.21, 0.0, 0
2009-06-21, 77, 63, 70.0, 0.83, 0.0, 0
2009-06-22, 74, 63, 68.5, 0.00, 0.0, 0
2009-06-23, 79, 64, 71.5, 0.15, 0.0, 0
2009-06-24, 76, 65, 70.5, 0.27, 0.0, 0
2009-06-25, 79, 64, 71.5, 0.00, 0.0, 0
2009-06-26, 83, 64, 73.5, 0.38, 0.0, 0
2009-06-27, 82, 61, 71.5, 0.00, 0.0, 0
2009-06-28, 82, 64, 73.0, 0.00, 0.0, 0
2009-06-29, 85, 66, 75.5, 0.00, 0.0, 0
2009-06-30, 83, 64, 73.5, 0.00, 0.0, 0
2009-07-01, 80, 67, 73.5, 0.31, 0.0, 0
2009-07-02, 80, 67, 73.5, 1.08, 0.0, 0
2009-07-03, 80, 64, 72.0, 0.00, 0.0, 0
2009-07-04, 82, 65, 73.5, 0.00, 0.0, 0
2009-07-05, 83, 61, 72.0, 0.00, 0.0, 0
2009-07-06, 86, 60, 73.0, 0.00, 0.0, 0
2009-07-07, 81, 66, 73.5, 0.15, 0.0, 0
2009-07-08, 79, 58, 68.5, 0.35, 0.0, 0
2009-07-09, 72, 59, 65.5, 0.00, 0.0, 0
2009-07-10, 77, 57, 67.0, 0.00, 0.0, 0
2009-07-11, 76, 58, 67.0, 0.13, 0.0, 0
2009-07-12, 84, 65, 74.5, 0.26, 0.0, 0
2009-07-13, 79, 57, 68.0, 0.00, 0.0, 0
2009-07-14, 82, 58, 70.0, 0.00, 0.0, 0
2009-07-15, 82, 58, 70.0, 0.00, 0.0, 0
2009-07-16, 84, 68, 76.0, 0.00, 0.0, 0
2009-07-17, 86, 64, 75.0, 0.00, 0.0, 0
2009-07-18, 86, 72, 79.0, 0.00, 0.0, 0
