Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 71, 50, 60.5, 0.00, 0.0, 0
2009-06-02, 80, 61, 70.5, 0.06, 0.0, 0
2009-06-03, 72, 54, 63.0, 0.50, 0.0, 0
2009-06-04, 68, 55, 61.5, 0.54, 0.0, 0
2009-06-05, 60, 55, 57.5, 0.94, 0.0, 0
2009-06-06, 76, 57, 66.5, 0.00, 0.0, 0
2009-06-07, 82, 63, 72.5, T, 0.0, 0
2009-06-08, 75, 62, 68.5, 0.02, 0.0, 0
2009-06-09, 71, 60, 65.5, 1.83, 0.0, 0
2009-06-10, 67, 59, 63.0, 0.00, 0.0, 0
2009-06-11, 64, 59, 61.5, 0.16, 0.0, 0
2009-06-12, 80, 62, 71.0, 0.61, 0.0, 0
2009-06-13, 73, 61, 67.0, 0.13, 0.0, 0
2009-06-14, 73, 58, 65.5, 0.02, 0.0, 0
2009-06-15, 72, 57, 64.5, 0.50, 0.0, 0
2009-06-16, 70, 56, 63.0, 0.00, 0.0, 0
2009-06-17, 68, 55, 61.5, T, 0.0, 0
2009-06-18, 64, 60, 62.0, 2.30, 0.0, 0
2009-06-19, 77, 63, 70.0, 0.00, 0.0, 0
2009-06-20, 71, 63, 67.0, 0.28, 0.0, 0
2009-06-21, 78, 63, 70.5, 0.45, 0.0, 0
2009-06-22, 75, 65, 70.0, T, 0.0, 0
2009-06-23, 80, 66, 73.0, T, 0.0, 0
2009-06-24, 76, 65, 70.5, 0.30, 0.0, 0
2009-06-25, 80, 64, 72.0, 0.00, 0.0, 0
2009-06-26, 83, 64, 73.5, 0.73, 0.0, 0
2009-06-27, 81, 63, 72.0, 0.02, 0.0, 0
2009-06-28, 82, 64, 73.0, 0.00, 0.0, 0
2009-06-29, 81, 65, 73.0, 0.00, 0.0, 0
2009-06-30, 84, 65, 74.5, 0.66, 0.0, 0
2009-07-01, 81, 66, 73.5, 0.00, 0.0, 0
2009-07-02, 76, 66, 71.0, 0.60, 0.0, 0
2009-07-03, 78, 65, 71.5, 0.00, 0.0, 0
2009-07-04, 79, 66, 72.5, 0.00, 0.0, 0
2009-07-05, 79, 61, 70.0, 0.00, 0.0, 0
2009-07-06, 83, 63, 73.0, 0.00, 0.0, 0
2009-07-07, 79, 61, 70.0, 0.13, 0.0, 0
