Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, M, M, M, 0.00, 0.0, M
2009-01-02, M, M, M, 0.00, 0.0, M
2009-01-03, M, M, M, 0.00, 0.0, M
2009-01-04, M, M, M, 0.00, 0.0, 0
2009-01-05, M, M, M, 0.29, 1.6, M
2009-01-06, 33, 11, 22.0, 0.00, 0.0, M
2009-01-07, 29, 23, 26.0, 0.39, 2.0, M
2009-01-08, M, M, M, 0.68, 7.4, M
2009-01-09, M, M, M, 0.00, 0.3, M
2009-01-10, M, M, M, 0.00, 0.0, M
2009-01-11, M, M, M, 0.00, 0.0, M
2009-01-12, 20, -7, 6.5, 0.32, 4.0, M
2009-01-13, M, M, M, 0.00, 0.0, M
2009-01-14, 32, -8, 12.0, 0.06, 3.0, M
2009-01-15, M, M, M, 0.00, 0.0, M
2009-01-16, M, M, M, 0.00, 0.0, M
2009-01-17, 10, -8, 1.0, 0.00, 0.0, M
2009-01-18, 18, 6, 12.0, 0.00, 0.0, M
2009-01-19, M, M, M, 0.35, 5.5, M
2009-01-20, M, M, M, 0.00, 0.0, M
2009-01-21, M, M, M, 0.00, 0.0, M
2009-01-22, M, M, M, 0.02, 0.8, M
2009-01-23, M, M, M, 0.00, 0.0, M
2009-01-24, 41, 9, 25.0, 0.00, 0.0, M
2009-01-25, 15, -7, 4.0, 0.00, 0.0, M
2009-01-26, 18, 1, 9.5, 0.04, 0.5, M
2009-01-27, 19, 6, 12.5, 0.01, T, M
2009-01-28, 23, 8, 15.5, 0.18, 2.0, M
2009-01-29, 27, 17, 22.0, 0.59, 11.0, M
2009-01-30, 26, 17, 21.5, 0.01, 1.0, M
2009-01-31, 29, 9, 19.0, 0.05, 2.0, M
2009-02-01, M, M, M, 0.00, 0.0, M
2009-02-02, 42, 9, 25.5, 0.00, 0.0, M
2009-02-03, M, M, M, 0.00, 0.0, 0
2009-02-04, M, M, M, 0.00, 0.0, 0
2009-02-05, 16, -6, 5.0, 0.00, 0.0, 0
2009-02-06, 13, -3, 5.0, 0.00, 0.0, 0
2009-02-07, M, M, M, 0.00, 0.0, 0
2009-02-08, M, M, M, 0.00, 0.0, 0
2009-02-09, 33, 31, 32.0, 0.00, 0.0, 0
