Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 15, 4, 9.5, T, 0.1, 6
2009-01-02, 34, 11, 22.5, 0.01, 0.4, 5
2009-01-03, 29, 14, 21.5, 0.06, 3.2, 8
2009-01-04, 26, 3, 14.5, 0.04, 0.0, 7
2009-01-05, 34, 19, 26.5, T, 0.0, 6
2009-01-06, 31, 11, 21.0, 0.06, 0.6, 4
2009-01-07, 33, 25, 29.0, 0.54, 0.5, 5
2009-01-08, 32, 20, 26.0, 0.03, 9.0, 5
2009-01-09, 21, 9, 15.0, T, 1.1, 11
2009-01-10, 17, -2, 7.5, 0.15, 2.6, 8
2009-01-11, 20, 9, 14.5, 0.17, 2.2, 8
2009-01-12, 27, 10, 18.5, 0.03, 1.6, 9
2009-01-13, 35, 15, 25.0, T, 2.2, 9
2009-01-14, 15, 4, 9.5, T, 0.7, 9
2009-01-15, 12, -2, 5.0, T, 0.3, 8
2009-01-16, 11, 5, 8.0, T, 0.7, 8
2009-01-17, 15, 3, 9.0, 0.01, 0.5, 7
2009-01-18, 26, 12, 19.0, 0.13, 4.2, 10
2009-01-19, 23, 11, 17.0, 0.01, 0.7, 9
2009-01-20, 19, 7, 13.0, 0.01, 1.9, 8
2009-01-21, 22, 11, 16.5, T, 2.1, 11
2009-01-22, 30, 21, 25.5, T, 0.1, 10
2009-01-23, 44, 27, 35.5, T, T, 9
2009-01-24, 33, 7, 20.0, T, 1.3, 8
2009-01-25, 19, 7, 13.0, 0.00, 0.0, 8
2009-01-26, 21, 11, 16.0, T, T, 8
2009-01-27, 24, 17, 20.5, T, 0.2, 7
2009-01-28, 29, 18, 23.5, 0.59, 9.3, 8
2009-01-29, 28, 19, 23.5, T, 1.5, 15
2009-01-30, 30, 18, 24.0, T, 0.3, 14
2009-01-31, 19, 13, 16.0, 0.02, 2.5, 14
2009-02-01, 42, 18, 30.0, T, T, 14
2009-02-02, 41, 23, 32.0, 0.00, 0.0, 11
2009-02-03, 30, 9, 19.5, 0.00, 0.0, 11
2009-02-04, 14, 3, 8.5, T, T, 10
2009-02-05, 14, -1, 6.5, T, 0.4, 10
2009-02-06, 28, 11, 19.5, T, T, 10
2009-02-07, 49, 10, 29.5, 0.00, 0.0, 10
2009-02-08, 47, 30, 38.5, T, T, 7
2009-02-09, 38, 26, 32.0, T, T, 5
2009-02-10, 40, 27, 33.5, T, 0.0, 4
2009-02-11, 52, 31, 41.5, 0.29, 0.0, 3
2009-02-12, 51, 32, 41.5, 0.52, 0.4, 1
2009-02-13, 33, 19, 26.0, 0.04, 0.8, 1
2009-02-14, 30, 16, 23.0, 0.00, 0.0, 1
2009-02-15, 31, 14, 22.5, 0.00, 0.0, 1
2009-02-16, 29, 15, 22.0, T, T, 1
2009-02-17, 33, 13, 23.0, 0.00, 0.0, T
2009-02-18, 36, 22, 29.0, 0.24, 1.7, T
2009-02-19, 38, 18, 28.0, 0.02, 0.7, 1
2009-02-20, 25, 17, 21.0, M, 9.5, 2
2009-02-21, 33, 19, 26.0, T, 2.6, 11
2009-02-22, 36, 22, 29.0, 0.03, 1.1, 9
2009-02-23, 23, 17, 20.0, T, 5.6, 11
2009-02-24, 22, 12, 17.0, 0.01, 1.0, 10
2009-02-25, 40, 9, 24.5, 0.00, 0.0, 8
2009-02-26, 51, 32, 41.5, 0.02, T, 6
2009-02-27, 52, 22, 37.0, 0.10, T, 2
2009-02-28, 22, 9, 15.5, T, 0.4, T
2009-03-01, 26, 8, 17.0, 0.00, 0.0, T
2009-03-02, 18, 11, 14.5, 0.00, T, T
2009-03-03, 20, 8, 14.0, T, 0.2, T
2009-03-04, 32, 13, 22.5, T, 0.4, T
2009-03-05, 47, 14, 30.5, 0.00, 0.0, T
2009-03-06, 60, 39, 49.5, 0.03, 0.0, 0
2009-03-07, 49, 33, 41.0, 1.33, 0.0, 0
2009-03-08, 41, 37, 39.0, 0.21, 0.0, 0
2009-03-09, 41, 29, 35.0, 0.55, T, 0
2009-03-10, 42, 29, 35.5, 0.15, 0.0, 0
2009-03-11, 54, 26, 40.0, 0.25, T, 0
2009-03-12, 27, 21, 24.0, T, 0.3, T
2009-03-13, 34, 19, 26.5, T, T, 0
2009-03-14, 48, 17, 32.5, 0.00, 0.0, 0
2009-03-15, 53, 22, 37.5, 0.00, 0.0, 0
2009-03-16, 57, 24, 40.5, 0.00, 0.0, 0
2009-03-17, 62, 30, 46.0, 0.00, 0.0, 0
2009-03-18, 62, 42, 52.0, 0.32, 0.0, 0
2009-03-19, 49, 31, 40.0, 0.04, 0.0, 0
2009-03-20, 37, 23, 30.0, 0.00, 0.0, 0
2009-03-21, 46, 18, 32.0, 0.00, 0.0, 0
2009-03-22, 39, 23, 31.0, T, T, 0
2009-03-23, 30, 17, 23.5, 0.00, 0.0, 0
2009-03-24, 43, 16, 29.5, 0.00, 0.0, 0
2009-03-25, 57, 24, 40.5, T, 0.0, 0
2009-03-26, 50, 42, 46.0, 0.19, 0.0, 0
2009-03-27, 57, 38, 47.5, T, 0.0, 0
2009-03-28, 66, 34, 50.0, 0.00, 0.0, 0
2009-03-29, 59, 38, 48.5, 0.53, 0.0, 0
2009-03-30, 40, 33, 36.5, 0.20, T, 0
2009-03-31, 47, 34, 40.5, 0.00, 0.0, 0
2009-04-01, 50, 41, 45.5, 0.06, 0.0, 0
2009-04-02, 67, 38, 52.5, 0.00, 0.0, 0
2009-04-03, 59, 39, 49.0, 0.72, 0.0, 0
2009-04-04, 41, 34, 37.5, 0.59, T, 0
2009-04-05, 51, 35, 43.0, T, 0.0, 0
2009-04-06, 48, 36, 42.0, 0.35, 0.0, 0
2009-04-07, 36, 28, 32.0, T, 0.7, T
2009-04-08, 41, 28, 34.5, T, T, T
2009-04-09, 54, 34, 44.0, 0.00, 0.0, 0
2009-04-10, 59, 29, 44.0, 0.00, 0.0, 0
