Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 14, 8, 11.0, T, 0.1, 2
2009-01-02, 32, 11, 21.5, T, T, 2
2009-01-03, 32, 23, 27.5, 0.05, 1.4, 3
2009-01-04, 25, 11, 18.0, 0.00, 0.0, 3
2009-01-05, 34, 23, 28.5, T, 0.1, 3
2009-01-06, 31, 19, 25.0, 0.00, 0.0, 3
2009-01-07, 32, 25, 28.5, 1.13, 1.7, 5
2009-01-08, 32, 20, 26.0, 0.15, 3.5, 6
2009-01-09, 23, 15, 19.0, 0.00, 0.0, 6
2009-01-10, 20, 5, 12.5, 0.00, 0.0, 6
2009-01-11, 17, 15, 16.0, 0.41, 7.0, 12
2009-01-12, 27, 12, 19.5, 0.06, 3.0, 13
2009-01-13, 34, 19, 26.5, T, T, 11
2009-01-14, 32, 5, 18.5, 0.05, 1.1, 10
2009-01-15, 9, 5, 7.0, 0.04, 0.9, 10
2009-01-16, 9, 3, 6.0, 0.32, 10.0, 16
2009-01-17, 13, 3, 8.0, 0.16, 4.0, 16
2009-01-18, 25, 12, 18.5, 0.19, 3.0, 15
2009-01-19, 26, 19, 22.5, 0.06, 2.2, 16
2009-01-20, 22, 15, 18.5, 0.26, 5.6, 18
2009-01-21, 20, 13, 16.5, 0.06, 5.0, 20
2009-01-22, 29, 20, 24.5, 0.01, 0.6, 18
2009-01-23, 39, 27, 33.0, 0.00, 0.0, 14
2009-01-24, 37, 10, 23.5, T, T, 12
2009-01-25, 19, 9, 14.0, 0.01, 0.4, 12
2009-01-26, 21, 11, 16.0, 0.04, 1.8, 13
2009-01-27, 23, 16, 19.5, 0.03, 2.0, 14
2009-01-28, 25, 17, 21.0, 0.41, 5.3, 19
2009-01-29, 27, 21, 24.0, 0.14, 2.5, 20
2009-01-30, 28, 24, 26.0, T, 0.1, 18
2009-01-31, 28, 13, 20.5, 0.18, 6.0, 24
2009-02-01, 39, 15, 27.0, 0.03, 0.8, 20
2009-02-02, 38, 31, 34.5, 0.00, 0.0, 18
2009-02-03, 31, 16, 23.5, T, 0.2, 18
2009-02-04, 20, 7, 13.5, T, T, 18
2009-02-05, 18, 5, 11.5, T, 0.2, 18
2009-02-06, 29, 11, 20.0, 0.02, 1.5, 18
2009-02-07, 46, 16, 31.0, 0.00, 0.0, 16
2009-02-08, 49, M, M, 0.00, 0.0, 12
2009-02-09, 33, 30, 31.5, 0.00, 0.0, 12
2009-02-10, 43, 29, 36.0, T, 0.0, 11
2009-02-11, 50, 42, 46.0, 0.26, 0.0, 6
2009-02-12, 46, 33, 39.5, 0.56, T, 1
2009-02-13, 34, 21, 27.5, 0.11, 0.6, 1
2009-02-14, 28, 21, 24.5, 0.00, 0.0, 1
2009-02-15, 30, 22, 26.0, 0.00, 0.0, 1
2009-02-16, 29, 20, 24.5, 0.00, 0.0, T
2009-02-17, 32, 17, 24.5, 0.00, 0.0, T
2009-02-18, 36, 25, 30.5, 0.10, 1.0, 1
2009-02-19, 35, 23, 29.0, 0.18, 1.2, 1
2009-02-20, 26, 17, 21.5, 0.16, 5.0, 6
2009-02-21, 32, 22, 27.0, T, T, 5
2009-02-22, 33, 27, 30.0, 0.02, 1.3, 5
2009-02-23, 28, 16, 22.0, 0.01, 0.6, 5
2009-02-24, 24, 14, 19.0, T, T, 5
2009-02-25, 39, 13, 26.0, 0.00, 0.0, 4
2009-02-26, 44, 33, 38.5, 0.03, T, 2
2009-02-27, 50, 33, 41.5, 0.25, 0.0, T
2009-02-28, 33, 9, 21.0, T, 0.2, T
2009-03-01, 22, 9, 15.5, 0.00, 0.0, T
2009-03-02, 22, 11, 16.5, 0.00, 0.0, T
2009-03-03, 20, 8, 14.0, 0.00, 0.0, 0
2009-03-04, 29, 19, 24.0, T, T, 0
2009-03-05, 44, 17, 30.5, 0.00, 0.0, 0
2009-03-06, 59, 39, 49.0, 0.01, 0.0, 0
2009-03-07, 55, 35, 45.0, 0.24, 0.0, 0
2009-03-08, 43, 35, 39.0, 1.00, 0.0, 0
2009-03-09, 39, 29, 34.0, 0.59, T, 0
2009-03-10, 40, 30, 35.0, T, 0.0, 0
2009-03-11, 52, 37, 44.5, 0.65, 0.0, 0
2009-03-12, 38, 21, 29.5, T, T, 0
2009-03-13, 28, 19, 23.5, 0.00, 0.0, 0
2009-03-14, 40, 21, 30.5, 0.00, 0.0, 0
2009-03-15, 44, 27, 35.5, 0.00, 0.0, 0
2009-03-16, 49, 26, 37.5, 0.00, 0.0, 0
2009-03-17, 55, 37, 46.0, 0.00, 0.0, 0
2009-03-18, 59, 38, 48.5, 0.01, 0.0, 0
2009-03-19, 48, 37, 42.5, 0.01, 0.0, 0
2009-03-20, 37, 23, 30.0, 0.00, 0.0, 0
2009-03-21, 39, 20, 29.5, 0.00, 0.0, 0
2009-03-22, 37, 31, 34.0, T, T, 0
2009-03-23, 36, 21, 28.5, 0.00, 0.0, 0
2009-03-24, 37, 21, 29.0, 0.00, 0.0, 0
2009-03-25, 57, 28, 42.5, 0.00, 0.0, 0
2009-03-26, 56, 43, 49.5, 0.23, 0.0, 0
2009-03-27, 48, 34, 41.0, 0.12, 0.0, 0
