Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 75, 37, 56.0, 0.02, 0.0, 0
2009-06-02, 66, 49, 57.5, 0.00, 0.0, 0
2009-06-03, 73, 53, 63.0, 0.00, 0.0, 0
2009-06-04, 68, 52, 60.0, 0.26, 0.0, 0
2009-06-05, 68, 51, 59.5, T, 0.0, 0
2009-06-06, 58, 54, 56.0, 0.25, 0.0, 0
2009-06-07, 73, 51, 62.0, 0.00, 0.0, 0
2009-06-08, 76, 58, 67.0, 0.00, 0.0, 0
2009-06-09, 75, 56, 65.5, 1.11, 0.0, 0
2009-06-10, 62, 55, 58.5, 0.55, 0.0, 0
2009-06-11, 66, 56, 61.0, 0.16, 0.0, 0
2009-06-12, 62, 57, 59.5, 1.74, 0.0, 0
2009-06-13, 74, 61, 67.5, 0.04, 0.0, 0
2009-06-14, 71, 58, 64.5, 0.55, 0.0, 0
2009-06-15, 69, 55, 62.0, 0.75, 0.0, 0
2009-06-16, 67, 53, 60.0, 0.08, 0.0, 0
2009-06-17, 67, 50, 58.5, 0.00, 0.0, 0
2009-06-18, 68, 55, 61.5, 0.32, 0.0, 0
2009-06-19, 62, 58, 60.0, 1.45, 0.0, 0
2009-06-20, 73, 56, 64.5, 0.00, 0.0, 0
2009-06-21, 67, 60, 63.5, 0.68, 0.0, 0
2009-06-22, 72, 61, 66.5, 0.30, 0.0, 0
2009-06-23, 69, 62, 65.5, 0.05, 0.0, 0
2009-06-24, 74, 63, 68.5, 0.01, 0.0, 0
2009-06-25, 74, 61, 67.5, 0.03, 0.0, 0
2009-06-26, 76, 62, 69.0, 0.00, 0.0, 0
2009-06-27, 76, 56, 66.0, 0.88, 0.0, 0
2009-06-28, 74, 59, 66.5, T, 0.0, 0
2009-06-29, 75, 61, 68.0, 0.18, 0.0, 0
2009-06-30, 77, 56, 66.5, 0.00, 0.0, 0
2009-07-01, 80, 57, 68.5, 0.32, M, M
2009-07-02, 80, 61, 70.5, 0.96, M, M
2009-07-03, 72, 60, 66.0, 0.10, M, M
2009-07-04, 73, 58, 65.5, 0.03, M, M
2009-07-05, 75, 50, 62.5, 0.00, M, M
2009-07-06, 74, 51, 62.5, 0.00, M, M
2009-07-07, 76, 58, 67.0, 0.00, M, M
2009-07-08, 74, 53, 63.5, 0.47, M, M
2009-07-09, 71, 55, 63.0, 0.00, M, M
2009-07-10, 68, 50, 59.0, 0.00, M, M
2009-07-11, 73, 54, 63.5, 0.00, M, M
2009-07-12, 75, 61, 68.0, 0.10, M, M
2009-07-13, 75, 48, 61.5, 0.00, M, M
2009-07-14, 74, 48, 61.0, 0.00, M, M
2009-07-15, 73, 48, 60.5, 0.00, M, M
2009-07-16, 76, 59, 67.5, 0.00, M, M
2009-07-17, 77, 61, 69.0, 0.46, M, M
2009-07-18, 78, 63, 70.5, 1.63, M, M
2009-07-19, 76, 56, 66.0, 0.00, M, M
2009-07-20, 75, 56, 65.5, 0.00, M, M
2009-07-21, 76, 60, 68.0, 0.20, M, M
2009-07-22, 64, 61, 62.5, 1.10, M, M
2009-07-23, 74, 63, 68.5, 0.00, M, M
2009-07-24, 69, 60, 64.5, 0.27, M, M
2009-07-25, 72, 56, 64.0, 0.07, M, M
2009-07-26, 78, 61, 69.5, 0.15, M, M
2009-07-27, 74, 64, 69.0, 0.32, M, M
2009-07-28, 78, 62, 70.0, 0.00, M, M
2009-07-29, 81, 67, 74.0, 0.00, M, M
2009-07-30, 77, 68, 72.5, 0.45, M, M
2009-07-31, 80, 62, 71.0, 0.00, M, M
2009-08-01, 76, 63, 69.5, 2.05, M, M
2009-08-02, 78, 63, 70.5, 0.00, M, M
2009-08-03, 72, 62, 67.0, 0.61, M, M
2009-08-04, 76, 57, 66.5, 0.00, M, M
2009-08-05, 80, 64, 72.0, 0.00, M, M
2009-08-06, 82, 56, 69.0, 0.00, M, M
2009-08-07, 77, 53, 65.0, 0.00, M, M
2009-08-08, 75, 49, 62.0, 0.00, M, M
2009-08-09, 75, 57, 66.0, 0.00, M, M
2009-08-10, 71, 64, 67.5, 0.32, M, M
2009-08-11, 83, 68, 75.5, 0.04, M, M
2009-08-12, 82, 65, 73.5, 0.00, M, M
2009-08-13, 76, 65, 70.5, 3.15, M, M
2009-08-14, 69, 59, 64.0, 0.09, M, M
2009-08-15, 78, 64, 71.0, 0.00, M, M
2009-08-16, 82, 64, 73.0, 0.00, M, M
2009-08-17, 84, 65, 74.5, 0.00, M, M
2009-08-18, 85, 65, 75.0, 0.00, M, M
2009-08-19, 85, 68, 76.5, 0.00, M, M
2009-08-20, 82, 65, 73.5, 0.00, M, M
2009-08-21, 83, 70, 76.5, 0.00, M, M
2009-08-22, 85, 69, 77.0, 1.46, M, M
2009-08-23, 75, 68, 71.5, 0.82, M, M
2009-08-24, 76, 64, 70.0, 0.01, M, M
2009-08-25, 74, 61, 67.5, 0.00, M, M
2009-08-26, 78, 60, 69.0, 0.00, M, M
2009-08-27, 80, 56, 68.0, 0.00, M, M
2009-08-28, 71, 58, 64.5, 0.00, M, M
2009-08-29, 60, 57, 58.5, 0.82, M, M
2009-08-30, 65, 59, 62.0, 0.05, M, M
2009-08-31, 74, 53, 63.5, 0.00, M, M
2009-09-01, 64, 46, 55.0, 0.00, M, M
2009-09-02, 64, 45, 54.5, 0.00, M, M
2009-09-03, 72, 49, 60.5, 0.00, M, M
2009-09-04, 74, 51, 62.5, 0.00, M, M
2009-09-05, 76, 57, 66.5, 0.00, M, M
2009-09-06, 77, 56, 66.5, 0.00, M, M
2009-09-07, 68, 56, 62.0, 0.00, M, M
2009-09-08, 67, 53, 60.0, 0.00, M, M
2009-09-09, 71, 58, 64.5, 0.00, M, M
2009-09-10, 70, 47, 58.5, 0.00, M, M
2009-09-11, 65, 52, 58.5, 0.08, M, M
2009-09-12, 60, 52, 56.0, 0.28, M, M
2009-09-13, 68, 59, 63.5, 0.02, M, M
2009-09-14, 74, 51, 62.5, 0.00, M, M
2009-09-15, 71, 51, 61.0, 0.00, M, M
2009-09-16, 72, 54, 63.0, 0.00, M, M
2009-09-17, 57, 49, 53.0, 0.15, M, M
2009-09-18, 56, 43, 49.5, 0.07, M, M
2009-09-19, 68, 44, 56.0, 0.00, M, M
2009-09-20, 62, 38, 50.0, 0.00, M, M
2009-09-21, 66, 42, 54.0, 0.00, M, M
2009-09-22, 70, 48, 59.0, 0.00, M, M
2009-09-23, 69, 60, 64.5, 0.00, M, M
2009-09-24, 76, 62, 69.0, 0.00, M, M
2009-09-25, 77, 52, 64.5, 0.00, M, M
2009-09-26, 62, 39, 50.5, 0.00, M, M
2009-09-27, 59, 47, 53.0, 0.63, M, M
2009-09-28, 64, 53, 58.5, 0.13, M, M
2009-09-29, 69, 47, 58.0, 0.16, M, M
2009-09-30, 64, 47, 55.5, 0.00, M, M
2009-10-01, 55, 38, 46.5, 0.00, M, M
2009-10-02, 52, 36, 44.0, 0.00, M, M
2009-10-03, 62, 38, 50.0, 0.21, M, M
2009-10-04, 65, 58, 61.5, 0.01, M, M
2009-10-05, 70, 46, 58.0, 0.00, M, M
2009-10-06, 61, 43, 52.0, 0.00, M, M
2009-10-07, 61, 46, 53.5, 0.54, M, M
2009-10-08, 65, 47, 56.0, 0.00, M, M
2009-10-09, 65, 48, 56.5, 0.00, M, M
2009-10-10, 59, 51, 55.0, 0.37, M, M
2009-10-11, 63, 33, 48.0, 0.00, M, M
2009-10-12, 58, 33, 45.5, 0.00, M, M
2009-10-13, 49, 35, 42.0, 0.03, M, M
2009-10-14, 59, 31, 45.0, 0.00, M, M
2009-10-15, 49, 33, 41.0, 0.00, M, M
2009-10-16, 38, 33, 35.5, 0.19, 0.2, 0
2009-10-17, 45, 33, 39.0, 0.01, T, 0
2009-10-18, 47, 38, 42.5, 0.08, M, M
2009-10-19, 40, 31, 35.5, 0.22, M, M
2009-10-20, 51, 30, 40.5, 0.00, M, M
2009-10-21, 62, 33, 47.5, 0.00, M, M
