Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 65, 50, 57.5, 0.00, 0.0, 0
2009-06-02, 81, 60, 70.5, 0.21, 0.0, 0
2009-06-03, 73, 56, 64.5, 0.35, 0.0, 0
2009-06-04, 65, 55, 60.0, 0.57, 0.0, 0
2009-06-05, 60, 57, 58.5, 0.61, 0.0, 0
2009-06-06, 73, 58, 65.5, 0.00, 0.0, 0
2009-06-07, 78, 62, 70.0, 0.00, 0.0, 0
2009-06-08, 76, 60, 68.0, T, 0.0, 0
2009-06-09, 70, 61, 65.5, 1.11, 0.0, 0
2009-06-10, 70, 61, 65.5, T, 0.0, 0
2009-06-11, 65, 61, 63.0, 0.05, 0.0, 0
2009-06-12, 79, 63, 71.0, 1.07, 0.0, 0
2009-06-13, 76, 62, 69.0, T, 0.0, 0
2009-06-14, 71, 57, 64.0, 0.01, 0.0, 0
2009-06-15, 68, 57, 62.5, 0.21, 0.0, 0
2009-06-16, 66, 56, 61.0, 0.00, 0.0, 0
2009-06-17, 66, 53, 59.5, 0.01, 0.0, 0
2009-06-18, 65, 62, 63.5, 2.25, 0.0, 0
2009-06-19, 79, 64, 71.5, 0.00, 0.0, 0
2009-06-20, 72, 65, 68.5, 0.41, 0.0, 0
2009-06-21, 80, 63, 71.5, 0.68, 0.0, 0
2009-06-22, 76, 66, 71.0, T, 0.0, 0
2009-06-23, 80, 65, 72.5, 0.08, 0.0, 0
2009-06-24, 78, 64, 71.0, 0.02, 0.0, 0
2009-06-25, 76, 64, 70.0, 0.00, 0.0, 0
2009-06-26, 81, 65, 73.0, 0.04, 0.0, 0
2009-06-27, 83, 64, 73.5, 0.01, 0.0, 0
2009-06-28, 80, 66, 73.0, 0.00, 0.0, 0
2009-06-29, 83, 67, 75.0, T, 0.0, 0
2009-06-30, 80, 66, 73.0, 0.05, 0.0, 0
2009-07-01, 81, 68, 74.5, 0.04, 0.0, 0
2009-07-02, 79, 68, 73.5, 0.02, 0.0, 0
2009-07-03, 81, 68, 74.5, 0.02, 0.0, 0
2009-07-04, 83, 68, 75.5, 0.00, 0.0, 0
2009-07-05, 80, 64, 72.0, 0.00, 0.0, 0
2009-07-06, 84, 64, 74.0, 0.00, 0.0, 0
2009-07-07, 80, 64, 72.0, 0.51, T, 0
2009-07-08, 81, 59, 70.0, 0.00, 0.0, 0
2009-07-09, 73, 62, 67.5, 0.00, 0.0, 0
2009-07-10, 76, 58, 67.0, 0.00, 0.0, 0
2009-07-11, 76, 62, 69.0, 0.38, 0.0, 0
2009-07-12, 84, 65, 74.5, 0.09, 0.0, 0
2009-07-13, 77, 60, 68.5, 0.00, 0.0, 0
2009-07-14, 83, 64, 73.5, 0.00, 0.0, 0
2009-07-15, 80, 62, 71.0, 0.00, 0.0, 0
2009-07-16, 82, 70, 76.0, T, 0.0, 0
2009-07-17, 84, 68, 76.0, T, 0.0, 0
2009-07-18, 85, 72, 78.5, 0.00, 0.0, 0
2009-07-19, 81, 67, 74.0, 0.00, 0.0, 0
2009-07-20, 82, 65, 73.5, 0.00, 0.0, 0
2009-07-21, 72, 66, 69.0, 0.76, 0.0, 0
2009-07-22, 80, 66, 73.0, T, 0.0, 0
2009-07-23, 76, 65, 70.5, 0.56, 0.0, 0
2009-07-24, 80, 65, 72.5, 0.03, 0.0, 0
2009-07-25, 82, 66, 74.0, T, 0.0, 0
2009-07-26, 84, 72, 78.0, 0.31, 0.0, 0
2009-07-27, 83, 71, 77.0, T, 0.0, 0
2009-07-28, 85, 71, 78.0, 0.00, 0.0, 0
2009-07-29, 82, 71, 76.5, 0.34, 0.0, 0
2009-07-30, 90, 73, 81.5, 0.00, 0.0, 0
2009-07-31, 88, 70, 79.0, 0.51, 0.0, 0
2009-08-01, 81, 68, 74.5, 0.00, 0.0, 0
2009-08-02, 78, 71, 74.5, 0.62, 0.0, 0
2009-08-03, 83, 69, 76.0, 0.00, 0.0, 0
2009-08-04, 84, 70, 77.0, 0.00, 0.0, 0
