Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 18, -6, 6.0, 0.07, 3.7, 5
2009-01-02, 12, -4, 4.0, 0.00, 0.0, 4
2009-01-03, 25, 4, 14.5, T, 0.3, 4
2009-01-04, 28, 3, 15.5, 0.00, 0.0, 3
2009-01-05, 28, 4, 16.0, 0.04, 0.0, 3
2009-01-06, 36, 12, 24.0, 0.00, 0.0, 3
2009-01-07, 29, 12, 20.5, 0.25, 1.2, 4
2009-01-08, 35, 26, 30.5, 0.73, 1.7, 5
2009-01-09, 30, 10, 20.0, 0.07, 4.5, 8
2009-01-10, 19, -5, 7.0, 0.00, 0.0, 6
2009-01-11, 17, -5, 6.0, 0.43, 6.0, 12
2009-01-12, 22, 6, 14.0, 0.01, 0.2, 10
2009-01-13, 25, 8, 16.5, 0.00, 0.0, 10
2009-01-14, 34, 8, 21.0, 0.00, 0.0, 9
2009-01-15, 8, -2, 3.0, T, T, 10
2009-01-16, 13, -10, 1.5, 0.00, 0.0, 10
2009-01-17, 14, -12, 1.0, 0.00, 0.0, 9
2009-01-18, 17, -10, 3.5, 0.07, 2.5, 12
2009-01-19, 24, 15, 19.5, 0.12, 1.6, 12
2009-01-20, 28, 14, 21.0, T, T, 12
2009-01-21, 21, -3, 9.0, T, T, 11
2009-01-22, 20, -3, 8.5, 0.00, 0.0, 11
2009-01-23, 31, 20, 25.5, T, T, 11
2009-01-24, 40, 24, 32.0, 0.00, 0.0, 10
2009-01-25, 25, -6, 9.5, 0.00, 0.0, 10
2009-01-26, 21, -6, 7.5, 0.00, 0.0, 9
2009-01-27, 21, -6, 7.5, 0.00, 0.0, 9
2009-01-28, 22, 10, 16.0, 0.03, 0.7, 10
2009-01-29, 33, 18, 25.5, 0.67, 3.0, 12
2009-01-30, 26, 12, 19.0, 0.00, 0.0, 11
2009-01-31, 30, 11, 20.5, 0.02, 0.6, 12
2009-02-01, 22, 10, 16.0, 0.00, 0.0, 12
2009-02-02, 39, 20, 29.5, 0.00, 0.0, 11
2009-02-03, 38, 20, 29.0, 0.00, 0.0, 11
2009-02-04, 28, 5, 16.5, 0.00, 0.0, 11
2009-02-05, 18, -5, 6.5, 0.00, 0.0, 10
2009-02-06, 15, -5, 5.0, 0.00, 0.0, 10
2009-02-07, 22, 2, 12.0, 0.00, 0.0, 10
2009-02-08, 44, 8, 26.0, 0.00, 0.0, 8
2009-02-09, 42, 16, 29.0, 0.00, 0.0, 7
2009-02-10, 36, 16, 26.0, 0.00, 0.0, 7
2009-02-11, 40, 19, 29.5, 0.00, 0.0, 7
2009-02-12, 51, 30, 40.5, 0.33, 0.0, 5
2009-02-13, 41, 23, 32.0, 0.00, 0.0, 5
2009-02-14, 30, 17, 23.5, 0.00, 0.0, 4
2009-02-15, 33, 12, 22.5, 0.00, 0.0, 3
2009-02-16, 34, 12, 23.0, 0.00, 0.0, 3
2009-02-17, 33, 18, 25.5, 0.00, 0.0, 3
2009-02-18, 33, 13, 23.0, 0.00, 0.0, 3
2009-02-19, 40, 20, 30.0, 0.39, 2.0, 5
2009-02-20, 40, 18, 29.0, T, 0.5, 4
2009-02-21, 27, 17, 22.0, 0.00, 0.0, 4
2009-02-22, 34, 18, 26.0, 0.00, 0.0, 4
2009-02-23, 36, 20, 28.0, 0.33, 2.0, 6
2009-02-24, 25, 11, 18.0, T, T, 6
2009-02-25, 26, 10, 18.0, 0.00, 0.0, 6
2009-02-26, 34, 12, 23.0, 0.01, 0.3, 6
2009-02-27, 45, 28, 36.5, 0.00, 0.0, 6
2009-02-28, 54, 21, 37.5, 0.21, 0.0, 1
2009-03-01, 24, 12, 18.0, 0.00, 0.0, 1
