Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 59, 38, 48.5, 0.00, 0.0, M
2009-06-02, 69, 49, 59.0, T, 0.0, 0
2009-06-03, 65, 49, 57.0, 0.00, 0.0, 0
2009-06-04, 67, 44, 55.5, 0.00, 0.0, 0
2009-06-05, 68, 43, 55.5, 0.00, 0.0, 0
2009-06-06, 71, 51, 61.0, 0.00, 0.0, 0
2009-06-07, 78, 54, 66.0, 0.00, 0.0, 0
2009-06-08, 75, 50, 62.5, 0.00, 0.0, 0
2009-06-09, 72, 55, 63.5, 0.28, 0.0, 0
2009-06-10, 81, 54, 67.5, T, 0.0, 0
2009-06-11, 73, 55, 64.0, 0.00, 0.0, 0
2009-06-12, 76, 59, 67.5, 0.61, 0.0, 0
2009-06-13, 73, 55, 64.0, 0.04, 0.0, 0
2009-06-14, 76, 50, 63.0, T, 0.0, 0
2009-06-15, 75, 52, 63.5, 0.00, 0.0, 0
2009-06-16, 76, 49, 62.5, 0.00, 0.0, 0
2009-06-17, 77, 59, 68.0, 0.00, 0.0, 0
2009-06-18, 68, 58, 63.0, 1.14, 0.0, 0
2009-06-19, 67, 58, 62.5, 0.07, 0.0, 0
2009-06-20, 71, 57, 64.0, 0.02, 0.0, 0
2009-06-21, 66, 58, 62.0, 1.04, 0.0, 0
2009-06-22, 74, 60, 67.0, 0.00, 0.0, 0
2009-06-23, 75, 59, 67.0, 0.00, 0.0, 0
2009-06-24, 77, 57, 67.0, 0.00, 0.0, 0
2009-06-25, 85, 62, 73.5, 0.00, 0.0, 0
2009-06-26, 88, 62, 75.0, 0.11, 0.0, 0
2009-06-27, 78, 62, 70.0, 0.53, 0.0, 0
2009-06-28, 77, 58, 67.5, T, 0.0, 0
2009-06-29, 79, 60, 69.5, 0.20, 0.0, 0
2009-06-30, 78, 60, 69.0, 0.15, 0.0, 0
2009-07-01, 69, 57, 63.0, 0.25, 0.0, 0
2009-07-02, 73, 61, 67.0, 0.94, 0.0, 0
2009-07-03, 71, 61, 66.0, 0.06, 0.0, 0
2009-07-04, 74, 59, 66.5, 0.12, 0.0, 0
2009-07-05, 71, 49, 60.0, 0.00, 0.0, 0
2009-07-06, 76, 55, 65.5, 0.08, 0.0, 0
2009-07-07, 78, 58, 68.0, 0.02, 0.0, 0
2009-07-08, 73, 54, 63.5, 0.00, 0.0, 0
