Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 13, -8, 2.5, T, T, 10
2009-01-02, 21, -1, 10.0, T, T, 10
2009-01-03, 29, 7, 18.0, 0.06, 1.3, 11
2009-01-04, 26, 4, 15.0, 0.00, 0.0, 11
2009-01-05, 35, 14, 24.5, 0.13, 0.2, 9
2009-01-06, 33, 12, 22.5, 0.00, 0.0, 8
2009-01-07, 32, 24, 28.0, 0.95, 2.9, 11
2009-01-08, 33, 25, 29.0, 0.24, 3.4, 13
2009-01-09, 25, 7, 16.0, 0.00, 0.0, 12
2009-01-10, 21, -5, 8.0, 0.00, 0.0, 12
2009-01-11, 25, 12, 18.5, 0.46, 5.6, 17
2009-01-12, 26, 10, 18.0, 0.00, 0.0, 16
2009-01-13, 32, 6, 19.0, 0.00, 0.0, 15
2009-01-14, 33, 2, 17.5, 0.03, 0.5, 15
2009-01-15, 14, -4, 5.0, T, T, 15
2009-01-16, 13, -20, -3.5, 0.00, 0.0, 15
2009-01-17, 11, -20, -4.5, T, T, 15
2009-01-18, 25, 6, 15.5, 0.37, 5.5, 21
2009-01-19, 30, 16, 23.0, 0.07, 1.0, 21
2009-01-20, 27, 3, 15.0, T, T, 20
2009-01-21, 20, -6, 7.0, 0.02, 0.3, 20
2009-01-22, 29, 13, 21.0, T, T, 19
2009-01-23, 39, 26, 32.5, 0.00, 0.0, 18
2009-01-24, 39, 17, 28.0, 0.00, 0.0, 18
2009-01-25, 20, -8, 6.0, 0.00, 0.0, 18
2009-01-26, 22, -7, 7.5, 0.00, 0.0, 17
2009-01-27, 25, 2, 13.5, 0.00, 0.0, 17
2009-01-28, 23, 15, 19.0, 0.86, 5.8, 23
2009-01-29, 29, 22, 25.5, 0.16, 1.4, 22
2009-01-30, 29, 14, 21.5, T, T, 22
2009-01-31, 29, 8, 18.5, 0.03, 0.4, 19
2009-02-01, 39, 10, 24.5, 0.00, 0.0, 19
2009-02-02, 38, 15, 26.5, 0.00, 0.0, 19
2009-02-03, 37, 22, 29.5, 0.00, 0.0, 19
2009-02-04, 22, -5, 8.5, 0.00, 0.0, 19
2009-02-05, 20, -0, 10.0, 0.00, 0.0, 19
2009-02-06, 22, 1, 11.5, 0.00, 0.0, 19
2009-02-07, 38, -1, 18.5, 0.00, 0.0, 19
2009-02-08, 48, 36, 42.0, 0.00, 0.0, 18
2009-02-09, 39, 20, 29.5, 0.00, 0.0, 17
2009-02-10, 35, 15, 25.0, 0.00, 0.0, 16
2009-02-11, 50, 31, 40.5, 0.01, 0.0, 16
2009-02-12, 43, 34, 38.5, 0.16, 0.0, 14
2009-02-13, 38, 23, 30.5, 0.00, 0.0, 13
2009-02-14, 33, 18, 25.5, 0.00, 0.0, 13
2009-02-15, 36, 15, 25.5, 0.00, 0.0, 12
2009-02-16, 35, 10, 22.5, 0.00, 0.0, 12
2009-02-17, 36, 15, 25.5, 0.00, 0.0, 12
2009-02-18, 36, 10, 23.0, 0.14, 2.0, 14
2009-02-19, 42, 29, 35.5, 0.79, 5.6, 20
2009-02-20, 36, 17, 26.5, T, T, 18
2009-02-21, 33, 18, 25.5, T, T, 17
2009-02-22, 34, 22, 28.0, 0.18, 1.2, 18
2009-02-23, 33, 22, 27.5, 0.02, 0.2, 18
2009-02-24, 28, 11, 19.5, 0.00, 0.0, 18
2009-02-25, 35, 10, 22.5, 0.00, 0.0, 17
2009-02-26, 43, 17, 30.0, 0.06, 0.9, 16
2009-02-27, 49, 22, 35.5, 0.12, 0.0, 13
2009-02-28, 47, 20, 33.5, 0.19, T, 12
2009-03-01, 33, 11, 22.0, 0.00, 0.0, 12
2009-03-02, 32, 17, 24.5, 0.05, 1.1, 13
2009-03-03, 32, 4, 18.0, T, T, 13
2009-03-04, 30, 3, 16.5, 0.00, 0.0, 12
2009-03-05, 39, 8, 23.5, 0.00, 0.0, 12
2009-03-06, 46, 27, 36.5, 0.00, 0.0, 11
2009-03-07, 48, 31, 39.5, 0.00, 0.0, 8
2009-03-08, 52, 35, 43.5, 1.03, 0.0, 6
2009-03-09, 46, 30, 38.0, 0.75, 0.9, 5
2009-03-10, 38, 29, 33.5, 0.01, 0.0, 4
2009-03-11, 47, 34, 40.5, 0.50, 0.0, 3
2009-03-12, 53, 23, 38.0, 0.00, 0.0, 1
2009-03-13, 33, 9, 21.0, 0.00, 0.0, M
2009-03-14, 47, 13, 30.0, 0.00, 0.0, M
2009-03-15, 54, 21, 37.5, 0.00, 0.0, M
2009-03-16, 55, 26, 40.5, 0.00, 0.0, 0
2009-03-17, 57, 27, 42.0, 0.00, 0.0, 0
2009-03-18, 58, 29, 43.5, T, 0.0, 0
2009-03-19, 55, 35, 45.0, 0.23, 0.0, 0
2009-03-20, 51, 25, 38.0, 0.00, 0.0, 0
2009-03-21, 46, 16, 31.0, 0.00, 0.0, 0
2009-03-22, 46, 25, 35.5, T, T, 0
2009-03-23, 43, 18, 30.5, 0.00, 0.0, 0
2009-03-24, 44, 20, 32.0, 0.00, 0.0, 0
2009-03-25, 52, 19, 35.5, 0.00, 0.0, 0
2009-03-26, 53, 28, 40.5, T, 0.0, 0
2009-03-27, 59, 35, 47.0, 0.22, 0.0, 0
2009-03-28, 66, 37, 51.5, 0.00, 0.0, 0
2009-03-29, 66, 45, 55.5, 0.21, 0.0, 0
2009-03-30, 50, 39, 44.5, 0.17, 0.0, 0
2009-03-31, 51, 27, 39.0, 0.00, 0.0, 0
2009-04-01, 51, 29, 40.0, 0.06, 0.0, 0
2009-04-02, 61, 42, 51.5, 0.00, 0.0, 0
2009-04-03, 63, 40, 51.5, 0.52, 0.0, 0
2009-04-04, 57, 38, 47.5, 0.27, 0.0, 0
2009-04-05, 49, 34, 41.5, 0.02, 0.0, 0
2009-04-06, 47, 29, 38.0, 0.21, 0.0, 0
2009-04-07, 42, 34, 38.0, 0.14, T, 0
2009-04-08, 42, 29, 35.5, 0.01, T, 0
2009-04-09, 55, 24, 39.5, T, T, 0
2009-04-10, 62, 29, 45.5, 0.00, 0.0, 0
2009-04-11, 61, 38, 49.5, 0.00, 0.0, 0
2009-04-12, 50, 27, 38.5, 0.00, 0.0, 0
2009-04-13, 55, 23, 39.0, 0.00, 0.0, 0
2009-04-14, 57, 27, 42.0, 0.00, 0.0, 0
2009-04-15, 62, 32, 47.0, 0.00, 0.0, 0
2009-04-16, 62, 30, 46.0, 0.00, 0.0, 0
2009-04-17, 67, 31, 49.0, 0.00, 0.0, 0
2009-04-18, 68, 49, 58.5, 0.00, 0.0, 0
2009-04-19, 58, 33, 45.5, 0.09, 0.0, 0
2009-04-20, 58, 30, 44.0, 0.00, 0.0, 0
2009-04-21, 51, 38, 44.5, 0.33, 0.0, 0
2009-04-22, 59, 43, 51.0, 0.18, 0.0, 0
2009-04-23, 59, 39, 49.0, 0.00, 0.0, 0
2009-04-24, 70, 35, 52.5, 0.00, 0.0, 0
2009-04-25, 88, 33, 60.5, 0.00, 0.0, 0
2009-04-26, 87, 60, 73.5, 0.00, 0.0, 0
2009-04-27, 87, 41, 64.0, 0.00, 0.0, 0
2009-04-28, 88, 54, 71.0, 0.00, 0.0, 0
2009-04-29, M, 57, M, 0.04, 0.0, 0
2009-04-30, 67, 33, 50.0, T, 0.0, 0
2009-05-01, 69, 41, 55.0, 0.36, M, M
2009-05-02, M, M, M, M, M, M
2009-05-03, M, M, M, M, M, M
2009-05-04, M, M, M, M, M, M
2009-05-05, M, M, M, M, M, M
2009-05-06, M, M, M, M, M, M
2009-05-07, M, M, M, M, M, M
2009-05-08, 63, 50, 56.5, T, M, M
2009-05-09, M, M, M, M, M, M
2009-05-10, M, M, M, M, M, M
2009-05-11, M, M, M, M, M, M
2009-05-12, M, M, M, M, M, M
2009-05-13, M, M, M, M, M, M
2009-05-14, M, M, M, M, M, M
2009-05-15, M, M, M, M, M, M
2009-05-16, M, M, M, M, M, M
2009-05-17, M, M, M, M, M, M
2009-05-18, M, M, M, M, M, M
2009-05-19, M, M, M, M, M, M
2009-05-20, M, M, M, M, M, M
2009-05-21, M, M, M, M, M, M
2009-05-22, M, M, M, M, M, M
2009-05-23, M, M, M, M, M, M
2009-05-24, M, M, M, M, M, M
2009-05-25, M, M, M, M, M, M
2009-05-26, M, M, M, M, M, M
2009-05-27, M, M, M, M, M, M
2009-05-28, M, M, M, M, M, M
2009-05-29, M, M, M, M, M, M
2009-05-30, M, M, M, M, M, M
2009-05-31, M, M, M, M, M, M
2009-06-01, 58, 33, 45.5, 0.00, 0.0, M
2009-06-02, 73, 51, 62.0, 0.00, 0.0, 0
2009-06-03, 72, 45, 58.5, 0.00, 0.0, 0
2009-06-04, 71, 40, 55.5, 0.00, 0.0, 0
2009-06-05, 70, 42, 56.0, 0.00, 0.0, 0
2009-06-06, 72, 55, 63.5, 0.00, 0.0, 0
2009-06-07, 72, 57, 64.5, 0.00, 0.0, 0
2009-06-08, 73, 52, 62.5, 0.00, 0.0, 0
2009-06-09, M, 53, M, 0.80, 0.0, 0
2009-06-10, 70, 50, 60.0, 0.00, 0.0, 0
2009-06-11, 71, 56, 63.5, 0.00, 0.0, 0
2009-06-12, 73, 49, 61.0, 0.87, 0.0, 0
2009-06-13, 79, 50, 64.5, 0.00, 0.0, 0
2009-06-14, 78, 52, 65.0, 0.16, 0.0, 0
2009-06-15, 73, 49, 61.0, 0.17, 0.0, 0
2009-06-16, 72, 50, 61.0, 0.08, 0.0, 0
2009-06-17, 70, 46, 58.0, 0.00, 0.0, 0
2009-06-18, 70, 51, 60.5, 1.20, 0.0, 0
2009-06-19, 71, 56, 63.5, 0.53, 0.0, 0
2009-06-20, 69, 57, 63.0, 0.05, 0.0, 0
2009-06-21, 74, 58, 66.0, 0.39, 0.0, 0
2009-06-22, 73, 59, 66.0, T, 0.0, 0
2009-06-23, 80, 54, 67.0, 0.00, 0.0, 0
2009-06-24, 81, 62, 71.5, 0.00, 0.0, 0
2009-06-25, 83, 61, 72.0, 0.02, 0.0, 0
2009-06-26, 84, 64, 74.0, 0.30, 0.0, 0
2009-06-27, 73, 58, 65.5, 0.15, 0.0, 0
2009-06-28, 77, 56, 66.5, 0.05, 0.0, 0
2009-06-29, 78, 60, 69.0, 0.00, 0.0, 0
2009-06-30, 78, 55, 66.5, 0.42, 0.0, 0
