Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, M, M, M, 0.00, 0.0, M
2009-01-02, M, M, M, 0.00, 0.0, M
2009-01-03, 24, 4, 14.0, T, 1.0, 8
2009-01-04, 26, 12, 19.0, 0.00, 0.0, 7
2009-01-05, 31, 12, 21.5, T, 0.0, 6
2009-01-06, 36, 8, 22.0, 0.00, 0.0, 6
2009-01-07, 31, 7, 19.0, 0.12, 1.0, 6
2009-01-08, 32, 25, 28.5, 0.73, 3.0, 7
2009-01-09, 33, 11, 22.0, 0.08, 1.0, 6
2009-01-10, 20, 4, 12.0, 0.00, 0.0, 6
2009-01-11, 19, 5, 12.0, 0.48, 7.5, 10
2009-01-12, 25, 12, 18.5, T, T, 7
2009-01-13, 25, 8, 16.5, 0.00, 0.0, 6
2009-01-14, 33, 2, 17.5, T, T, 6
2009-01-15, 9, -2, 3.5, 0.00, 0.0, 6
2009-01-16, 15, -8, 3.5, 0.00, 0.0, 6
2009-01-17, 12, -4, 4.0, 0.00, 0.0, 6
2009-01-18, 16, -4, 6.0, 0.18, 1.0, 7
2009-01-19, 22, 15, 18.5, 0.19, 2.0, 7
2009-01-20, 28, 10, 19.0, 0.00, 0.0, 7
2009-01-21, 22, 8, 15.0, 0.00, 0.0, 7
2009-01-22, 20, 8, 14.0, 0.00, 0.0, 7
2009-01-23, 29, 19, 24.0, 0.00, 0.0, 6
2009-01-24, 43, 20, 31.5, 0.00, 0.0, 5
2009-01-25, 21, -4, 8.5, 0.00, 0.0, 5
2009-01-26, 21, 1, 11.0, 0.00, 0.0, 5
2009-01-27, 22, 5, 13.5, 0.00, 0.0, 5
2009-01-28, 24, 14, 19.0, 0.14, 3.0, 8
2009-01-29, 29, 17, 23.0, 0.70, 3.0, 7
2009-01-30, 26, 13, 19.5, 0.00, 0.0, 7
2009-01-31, 22, 11, 16.5, 0.00, 0.0, 7
2009-02-01, 22, 11, 16.5, 0.00, 0.0, 7
2009-02-02, 44, 19, 31.5, 0.00, 0.0, 6
2009-02-03, 38, 26, 32.0, 0.00, 0.0, 6
2009-02-04, 26, 2, 14.0, 0.00, 0.0, 6
2009-02-05, 20, -1, 9.5, 0.00, 0.0, 6
