Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-08-01, 70, 59, 64.5, 0.79, M, M
2009-08-02, 82, 59, 70.5, 0.00, M, M
2009-08-03, 73, 61, 67.0, 0.59, M, M
2009-08-04, 83, 57, 70.0, 0.00, M, M
2009-08-05, 88, 57, 72.5, 0.00, M, M
2009-08-06, 81, 52, 66.5, 0.00, M, M
2009-08-07, 78, 52, 65.0, 0.00, M, M
2009-08-08, 78, 48, 63.0, 0.00, M, M
2009-08-09, 76, 48, 62.0, 0.00, M, M
2009-08-10, 74, 61, 67.5, 0.30, M, M
2009-08-11, 87, 66, 76.5, 0.04, M, M
2009-08-12, 87, 63, 75.0, 0.00, M, M
2009-08-13, 83, 63, 73.0, 0.00, M, M
2009-08-14, 84, 62, 73.0, 0.00, M, M
2009-08-15, 88, 62, 75.0, 0.00, M, M
2009-08-16, 92, 63, 77.5, 0.00, M, M
2009-08-17, 89, 64, 76.5, 0.00, M, M
2009-08-18, 93, 65, 79.0, 0.00, M, M
2009-08-19, 92, 66, 79.0, 0.47, M, M
2009-08-20, 85, 64, 74.5, 0.16, M, M
2009-08-21, 88, 64, 76.0, 0.00, M, M
2009-08-22, 78, 66, 72.0, 0.67, M, M
2009-08-23, 80, 66, 73.0, 0.16, M, M
2009-08-24, 83, 65, 74.0, 0.04, M, M
2009-08-25, 84, 60, 72.0, 0.00, M, M
2009-08-26, 85, 61, 73.0, 0.00, M, M
2009-08-27, 81, 51, 66.0, T, M, M
2009-08-28, 76, 51, 63.5, 0.00, M, M
2009-08-29, 72, 56, 64.0, 1.26, M, M
2009-08-30, 69, 58, 63.5, 0.43, M, M
2009-08-31, 79, 55, 67.0, 0.00, M, M
2009-09-01, 72, 45, 58.5, 0.00, M, M
2009-09-02, 74, 46, 60.0, 0.00, M, M
2009-09-03, 79, 47, 63.0, 0.00, M, M
2009-09-04, 81, 53, 67.0, 0.00, M, M
2009-09-05, 82, 45, 63.5, 0.00, M, M
2009-09-06, 82, 45, 63.5, 0.00, M, M
2009-09-07, 74, 49, 61.5, 0.00, M, M
2009-09-08, 72, 54, 63.0, 0.00, M, M
2009-09-09, 78, 55, 66.5, 0.00, M, M
2009-09-10, 75, 47, 61.0, 0.00, M, M
2009-09-11, 75, 47, 61.0, 0.00, M, M
2009-09-12, 58, 45, 51.5, 0.63, M, M
2009-09-13, 65, 57, 61.0, 0.08, M, M
2009-09-14, 72, 53, 62.5, 0.00, M, M
2009-09-15, 77, 51, 64.0, 0.00, M, M
2009-09-16, 78, 52, 65.0, 0.00, M, M
2009-09-17, 66, 51, 58.5, 0.00, M, M
2009-09-18, 66, 49, 57.5, 0.00, M, M
2009-09-19, 68, 42, 55.0, 0.00, M, M
2009-09-20, 69, 38, 53.5, 0.00, M, M
2009-09-21, 76, 38, 57.0, 0.00, M, M
2009-09-22, 77, 46, 61.5, 0.00, M, M
2009-09-23, 75, 53, 64.0, 0.00, M, M
2009-09-24, 81, 64, 72.5, 0.00, M, M
2009-09-25, 75, 49, 62.0, 0.00, M, M
2009-09-26, 77, 39, 58.0, 0.00, M, M
2009-09-27, 65, 40, 52.5, 0.32, M, M
2009-09-28, 69, 52, 60.5, 0.28, M, M
2009-09-29, 69, 49, 59.0, T, M, M
2009-09-30, 63, 48, 55.5, 0.16, M, M
2009-10-01, 52, 42, 47.0, 0.02, M, M
2009-10-02, 52, 42, 47.0, 0.08, M, M
2009-10-03, 56, 43, 49.5, 0.16, M, M
2009-10-04, 71, 51, 61.0, 0.18, M, M
2009-10-05, 67, 47, 57.0, 0.00, M, M
2009-10-06, 60, 47, 53.5, T, M, M
2009-10-07, 68, 49, 58.5, 0.24, M, M
2009-10-08, 60, 47, 53.5, 0.20, M, M
2009-10-09, 64, 46, 55.0, 0.00, M, M
2009-10-10, 62, 50, 56.0, 0.12, M, M
2009-10-11, 60, 35, 47.5, 0.00, M, M
2009-10-12, 58, 30, 44.0, 0.00, M, M
