Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 9, -4, 2.5, 0.00, 0.0, 1
2009-01-02, 21, -4, 8.5, 0.00, 0.0, 1
2009-01-03, 27, 10, 18.5, 0.03, 1.0, 2
2009-01-04, 21, -1, 10.0, 0.00, 0.0, 2
2009-01-05, 23, 8, 15.5, 0.02, 0.5, 2
2009-01-06, 33, 13, 23.0, 0.05, 0.0, 1
2009-01-07, 31, 16, 23.5, 0.20, 4.0, 5
2009-01-08, 32, 19, 25.5, 0.20, 2.0, 6
2009-01-09, 20, -11, 4.5, 0.14, 4.5, 10
2009-01-10, 12, -23, -5.5, 0.00, 0.0, 10
2009-01-11, 15, -23, -4.0, 0.05, 3.5, 12
2009-01-12, 20, -4, 8.0, 0.00, 0.0, 12
2009-01-13, 26, 2, 14.0, 0.00, 0.0, 12
2009-01-14, 31, -16, 7.5, 0.05, 2.0, 14
2009-01-15, -0, -22, -11.0, 0.00, 0.0, 14
2009-01-16, 5, -28, -11.5, 0.00, 0.0, 13
2009-01-17, 12, -29, -8.5, 0.00, 0.0, 13
2009-01-18, 18, 1, 9.5, 0.02, 0.5, 13
2009-01-19, 23, 12, 17.5, 0.02, 0.5, 13
2009-01-20, 25, -6, 9.5, 0.01, 0.5, 14
2009-01-21, 17, -20, -1.5, 0.00, 0.0, 13
2009-01-22, 20, -19, 0.5, 0.02, 0.5, 14
2009-01-23, 26, 19, 22.5, 0.10, 2.5, 15
2009-01-24, 41, 2, 21.5, 0.00, 0.0, 13
2009-01-25, 8, -5, 1.5, 0.00, 0.0, 13
2009-01-26, 20, -18, 1.0, 0.00, 0.0, 13
2009-01-27, 20, -17, 1.5, 0.00, 0.0, 13
2009-01-28, 23, 4, 13.5, 0.03, 1.0, 14
2009-01-29, 20, 9, 14.5, 0.53, 8.0, 20
2009-01-30, 24, 10, 17.0, 0.05, 1.5, 21
2009-01-31, 27, 2, 14.5, 0.13, 3.5, 23
2009-02-01, 15, 2, 8.5, 0.00, 0.0, 23
2009-02-02, 37, 7, 22.0, 0.00, 0.0, 19
2009-02-03, 34, 4, 19.0, 0.00, 0.0, 17
2009-02-04, 20, -20, 0.0, 0.00, 0.0, 17
2009-02-05, 11, -22, -5.5, 0.00, 0.0, 17
2009-02-06, 9, -19, -5.0, 0.01, 0.5, 17
2009-02-07, 26, 9, 17.5, 0.00, 0.0, 15
2009-02-08, 47, 26, 36.5, 0.01, 0.5, 11
2009-02-09, 42, 24, 33.0, 0.01, 0.0, 7
2009-02-10, 30, 14, 22.0, 0.00, 0.0, 6
2009-02-11, 45, 16, 30.5, T, 0.0, 3
2009-02-12, 50, 38, 44.0, 0.32, T, 1
2009-02-13, 45, 13, 29.0, 0.55, 1.0, 1
2009-02-14, 22, 5, 13.5, 0.00, 0.0, 1
2009-02-15, 25, 3, 14.0, 0.00, 0.0, 1
2009-02-16, 29, 4, 16.5, 0.00, 0.0, 1
2009-02-17, 29, 4, 16.5, 0.00, 0.0, 1
2009-02-18, 33, 20, 26.5, 0.00, 0.0, 1
2009-02-19, 38, 28, 33.0, 0.15, 0.5, 1
2009-02-20, 34, 9, 21.5, 0.04, 0.2, 1
2009-02-21, 21, 10, 15.5, 0.01, 0.2, 1
2009-02-22, 32, 14, 23.0, 0.07, 1.0, 1
2009-02-23, 32, 12, 22.0, 0.03, 0.0, 1
2009-02-24, 18, 5, 11.5, 0.00, 0.0, 1
2009-02-25, 20, 6, 13.0, 0.00, 0.0, 1
2009-02-26, 39, 15, 27.0, T, T, 1
2009-02-27, 46, 31, 38.5, 0.00, 0.0, T
2009-02-28, 49, -0, 24.5, 0.55, 1.0, 1
2009-03-01, 14, -0, 7.0, 0.00, 0.0, T
2009-03-02, 24, 3, 13.5, 0.00, 0.0, T
2009-03-03, 16, 2, 9.0, 0.00, 0.0, T
2009-03-04, 20, 1, 10.5, 0.00, 0.0, T
2009-03-05, 25, 5, 15.0, 0.00, 0.0, T
2009-03-06, 42, 22, 32.0, 0.02, 0.0, 0
2009-03-07, 54, 35, 44.5, 0.00, 0.0, 0
2009-03-08, 43, 33, 38.0, 0.58, 0.0, 0
2009-03-09, 45, 25, 35.0, 0.15, 1.0, 1
2009-03-10, 27, 20, 23.5, 0.06, 0.5, T
2009-03-11, 40, 23, 31.5, 0.25, 0.0, 0
2009-03-12, 52, 16, 34.0, 0.00, 0.0, 0
2009-03-13, 28, 8, 18.0, 0.00, 0.0, 0
2009-03-14, 29, 8, 18.5, 0.00, 0.0, 0
2009-03-15, 42, 12, 27.0, 0.00, 0.0, 0
2009-03-16, 52, 20, 36.0, 0.00, 0.0, 0
2009-03-17, 51, 22, 36.5, 0.00, 0.0, 0
2009-03-18, 58, 22, 40.0, 0.01, 0.0, 0
2009-03-19, 54, 27, 40.5, 0.01, 0.0, 0
2009-03-20, 46, 19, 32.5, 0.00, 0.0, 0
2009-03-21, 36, 13, 24.5, 0.00, 0.0, 0
2009-03-22, 43, 18, 30.5, 0.01, 0.5, 1
2009-03-23, 36, 15, 25.5, 0.00, 0.0, 0
2009-03-24, 34, 8, 21.0, 0.00, 0.0, 0
2009-03-25, 41, 11, 26.0, 0.00, 0.0, 0
2009-03-26, 56, 17, 36.5, 0.00, 0.0, 0
2009-03-27, 44, 34, 39.0, 0.18, 0.0, 0
2009-03-28, 52, 33, 42.5, 0.00, 0.0, 0
2009-03-29, 65, 40, 52.5, 0.02, 0.0, 0
2009-03-30, 54, 37, 45.5, 0.55, 0.0, 0
2009-03-31, 40, 32, 36.0, 0.16, 0.0, 0
2009-04-01, 43, 28, 35.5, 0.00, 0.0, 0
2009-04-02, 52, 37, 44.5, 0.10, 0.0, 0
2009-04-03, 63, 37, 50.0, 0.00, 0.0, 0
2009-04-04, 62, 35, 48.5, 0.35, T, T
2009-04-05, 42, 33, 37.5, 0.76, T, T
2009-04-06, 41, 31, 36.0, 0.08, 0.0, 0
2009-04-07, 41, 30, 35.5, 0.48, T, T
2009-04-08, 34, 27, 30.5, 0.08, 1.0, T
2009-04-09, 38, 29, 33.5, 0.05, 0.0, 0
2009-04-10, 49, 24, 36.5, 0.00, 0.0, 0
2009-04-11, 54, 25, 39.5, 0.00, 0.0, 0
2009-04-12, 45, 23, 34.0, 0.00, 0.0, 0
2009-04-13, 37, 23, 30.0, 0.00, 0.0, 0
2009-04-14, 46, 28, 37.0, 0.00, 0.0, 0
2009-04-15, 56, 31, 43.5, 0.00, 0.0, 0
2009-04-16, 57, 30, 43.5, 0.00, 0.0, 0
2009-04-17, 61, 35, 48.0, 0.00, 0.0, 0
2009-04-18, 63, 40, 51.5, 0.00, 0.0, 0
2009-04-19, 51, 31, 41.0, 0.32, 0.0, 0
2009-04-20, 55, 30, 42.5, 0.00, 0.0, 0
2009-04-21, 56, 30, 43.0, 0.69, 0.0, 0
2009-04-22, 58, 41, 49.5, 0.14, 0.0, 0
2009-04-23, 49, 38, 43.5, 0.07, 0.0, 0
2009-04-24, 55, 33, 44.0, 0.02, 0.0, 0
2009-04-25, 59, 34, 46.5, 0.07, 0.0, 0
2009-04-26, 79, 45, 62.0, 0.04, 0.0, 0
2009-04-27, 53, 44, 48.5, 0.05, 0.0, 0
2009-04-28, 85, 45, 65.0, 0.00, 0.0, 0
2009-04-29, 61, 32, 46.5, 0.42, 0.0, 0
2009-04-30, 60, 29, 44.5, 0.00, 0.0, 0
2009-05-01, 67, 34, 50.5, 0.50, 0.0, 0
2009-05-02, 66, 35, 50.5, 0.10, 0.0, 0
2009-05-03, 56, 36, 46.0, 0.00, 0.0, 0
2009-05-04, 64, 39, 51.5, 0.00, 0.0, 0
2009-05-05, 66, 35, 50.5, 0.00, 0.0, 0
2009-05-06, 68, 48, 58.0, 0.03, 0.0, 0
2009-05-07, 65, 52, 58.5, 0.60, 0.0, 0
2009-05-08, 72, 53, 62.5, 0.01, 0.0, 0
2009-05-09, 66, 42, 54.0, 0.00, 0.0, 0
2009-05-10, 46, 41, 43.5, 0.50, 0.0, 0
2009-05-11, 49, 31, 40.0, 0.01, 0.0, 0
2009-05-12, 61, 30, 45.5, 0.00, 0.0, 0
2009-05-13, 64, 31, 47.5, 0.00, 0.0, 0
2009-05-14, 70, 34, 52.0, 0.00, 0.0, 0
2009-05-15, 68, 39, 53.5, 0.18, 0.0, 0
2009-05-16, 65, 40, 52.5, 0.00, 0.0, 0
2009-05-17, 67, 39, 53.0, 0.70, 0.0, 0
2009-05-18, 50, 40, 45.0, 0.00, 0.0, 0
2009-05-19, 57, 31, 44.0, 0.00, 0.0, 0
2009-05-20, 63, 39, 51.0, 0.00, 0.0, 0
2009-05-21, 76, 43, 59.5, 0.00, 0.0, 0
2009-05-22, 80, 54, 67.0, 0.00, 0.0, 0
2009-05-23, 70, 39, 54.5, 0.00, 0.0, 0
2009-05-24, 68, 43, 55.5, 0.01, 0.0, 0
2009-05-25, 72, 38, 55.0, 0.01, 0.0, 0
2009-05-26, 62, 31, 46.5, 0.00, 0.0, 0
2009-05-27, 67, 45, 56.0, 0.17, 0.0, 0
2009-05-28, 58, 52, 55.0, 0.76, 0.0, 0
2009-05-29, 67, 52, 59.5, 0.55, 0.0, 0
2009-05-30, 62, 48, 55.0, 0.15, 0.0, 0
2009-05-31, 63, 48, 55.5, 0.00, 0.0, 0
2009-06-01, 55, 36, 45.5, 0.03, M, M
2009-06-02, 57, 46, 51.5, 0.03, M, M
2009-06-03, 63, 38, 50.5, 0.00, M, M
2009-06-04, 67, 36, 51.5, 0.00, M, M
2009-06-05, 68, 36, 52.0, 0.00, M, M
2009-06-06, 74, 42, 58.0, 0.00, M, M
2009-06-07, 71, 47, 59.0, 0.00, M, M
2009-06-08, 58, 42, 50.0, 0.11, M, M
2009-06-09, 67, 46, 56.5, 0.60, M, M
2009-06-10, 74, 53, 63.5, 0.00, M, M
2009-06-11, 66, 51, 58.5, 0.00, M, M
2009-06-12, 77, 53, 65.0, 0.29, M, M
2009-06-13, 74, 51, 62.5, 0.02, M, M
2009-06-14, 68, 51, 59.5, 0.04, M, M
2009-06-15, 76, 50, 63.0, 0.00, M, M
2009-06-16, 70, 46, 58.0, 0.00, M, M
2009-06-17, 79, 46, 62.5, 0.00, M, M
