Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 69, 47, 58.0, 0.00, 0.0, 0
2009-06-02, 77, 55, 66.0, 0.00, 0.0, 0
2009-06-03, 77, 57, 67.0, 0.06, 0.0, 0
2009-06-04, 66, 52, 59.0, 0.66, 0.0, 0
2009-06-05, 64, 55, 59.5, 0.56, 0.0, 0
2009-06-06, 74, 55, 64.5, 0.53, 0.0, 0
2009-06-07, 78, 58, 68.0, 0.00, 0.0, 0
2009-06-08, 76, 60, 68.0, 0.00, 0.0, 0
2009-06-09, 72, 58, 65.0, 1.13, 0.0, 0
2009-06-10, 65, 57, 61.0, 0.00, 0.0, 0
2009-06-11, 64, 57, 60.5, 0.00, 0.0, 0
2009-06-12, 78, 59, 68.5, 0.70, 0.0, 0
2009-06-13, 75, 62, 68.5, 0.00, 0.0, 0
2009-06-14, 71, 57, 64.0, 0.12, 0.0, 0
2009-06-15, 72, 55, 63.5, 0.00, 0.0, 0
2009-06-16, 68, 56, 62.0, 0.00, 0.0, 0
2009-06-17, 69, 48, 58.5, 0.00, 0.0, 0
2009-06-18, 66, 58, 62.0, 0.79, 0.0, 0
2009-06-19, 79, 62, 70.5, 0.63, 0.0, 0
2009-06-20, 78, 62, 70.0, 0.03, 0.0, 0
2009-06-21, 69, 61, 65.0, 0.50, 0.0, 0
2009-06-22, 70, 63, 66.5, 0.00, 0.0, 0
2009-06-23, 72, 63, 67.5, 0.03, 0.0, 0
2009-06-24, 72, 63, 67.5, 0.03, 0.0, 0
2009-06-25, 76, 61, 68.5, 0.00, 0.0, 0
2009-06-26, 80, 69, 74.5, 0.35, 0.0, 0
2009-06-27, 80, 60, 70.0, 0.31, 0.0, 0
2009-06-28, 80, 61, 70.5, 0.00, 0.0, 0
2009-06-29, 81, 69, 75.0, 0.00, 0.0, 0
2009-06-30, 82, 61, 71.5, 0.00, 0.0, 0
2009-07-01, 78, 67, 72.5, 0.10, 0.0, 0
2009-07-02, 80, 64, 72.0, 0.05, 0.0, 0
2009-07-03, 78, 64, 71.0, 0.09, 0.0, 0
2009-07-04, 79, 63, 71.0, 0.00, 0.0, 0
2009-07-05, 78, 63, 70.5, 0.00, 0.0, 0
2009-07-06, 82, 61, 71.5, 0.00, 0.0, 0
2009-07-07, 79, 65, 72.0, 0.07, 0.0, 0
