Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 73, 38, 55.5, M, 0.0, 0
2009-06-02, 71, 38, 54.5, M, 0.0, 0
2009-06-03, 70, 50, 60.0, 0.03A, 0.0, 0
2009-06-04, 64, 51, 57.5, 0.08, 0.0, 0
2009-06-05, 68, 50, 59.0, M, 0.0, 0
2009-06-06, 58, 52, 55.0, 0.08A, 0.0, 0
2009-06-07, 78, 52, 65.0, M, 0.0, 0
2009-06-08, 80, 53, 66.5, M, 0.0, 0
2009-06-09, 79, 59, 69.0, 1.53A, 0.0, 0
2009-06-10, 66, 58, 62.0, 0.58, 0.0, 0
2009-06-11, 70, 59, 64.5, 0.29, 0.0, 0
2009-06-12, 66, 59, 62.5, 0.87, 0.0, 0
2009-06-13, 75, 59, 67.0, 0.11, 0.0, 0
2009-06-14, 75, 57, 66.0, 0.91, 0.0, 0
2009-06-15, 75, 53, 64.0, 0.22, 0.0, 0
2009-06-16, 71, 52, 61.5, 0.04, 0.0, 0
2009-06-17, 70, 51, 60.5, M, 0.0, 0
2009-06-18, 69, 52, 60.5, 1.01A, 0.0, 0
2009-06-19, 62, 56, 59.0, M, 0.0, 0
2009-06-20, 73, 53, 63.0, M, 0.0, 0
2009-06-21, 63, 54, 58.5, 1.15A, 0.0, 0
2009-06-22, 74, 57, 65.5, M, 0.0, 0
2009-06-23, 76, 57, 66.5, M, 0.0, 0
2009-06-24, 79, 60, 69.5, M, 0.0, 0
2009-06-25, 78, 63, 70.5, 0.03A, 0.0, 0
2009-06-26, 80, 60, 70.0, 0.62, 0.0, 0
2009-06-27, 81, 60, 70.5, 0.51, 0.0, 0
2009-06-28, 74, 57, 65.5, 0.03, 0.0, 0
2009-06-29, 78, 59, 68.5, M, 0.0, 0
2009-06-30, 80, 56, 68.0, 0.03, 0.0, 0
2009-07-01, 75, 55, 65.0, 0.48, 0.0, 0
2009-07-02, 76, 57, 66.5, 0.46, 0.0, 0
2009-07-03, 74, 58, 66.0, 0.00, 0.0, 0
2009-07-04, 75, 59, 67.0, 0.00, 0.0, 0
2009-07-05, 74, 48, 61.0, 0.00, 0.0, 0
2009-07-06, 77, 49, 63.0, 0.00, 0.0, 0
2009-07-07, 80, 50, 65.0, 0.00, 0.0, 0
2009-07-08, 69, 49, 59.0, 0.71, 0.0, 0
2009-07-09, 71, 48, 59.5, 0.00, 0.0, 0
2009-07-10, 73, 50, 61.5, 0.00, 0.0, 0
2009-07-11, 76, 55, 65.5, 0.00, 0.0, 0
2009-07-12, 76, 58, 67.0, 0.58, 0.0, 0
2009-07-13, 75, 46, 60.5, 0.00, 0.0, 0
2009-07-14, 74, 48, 61.0, 0.00, 0.0, 0
2009-07-15, 75, 48, 61.5, 0.00, 0.0, 0
2009-07-16, 79, 49, 64.0, 0.00, 0.0, 0
2009-07-17, 85, 57, 71.0, 0.12, 0.0, 0
2009-07-18, 78, 60, 69.0, 0.70, 0.0, 0
2009-07-19, 76, 53, 64.5, 0.00, 0.0, 0
2009-07-20, 76, 53, 64.5, 0.00, 0.0, 0
2009-07-21, 78, 55, 66.5, 0.00, 0.0, 0
2009-07-22, 65, 61, 63.0, 0.43, 0.0, 0
2009-07-23, 79, 62, 70.5, 0.00, 0.0, 0
2009-07-24, 75, 59, 67.0, 0.00, 0.0, 0
2009-07-25, M, M, M, M, M, M
2009-07-26, 81, M, M, 0.00, 0.0, 0
2009-07-27, 79, 62, 70.5, 0.00, 0.0, 0
2009-07-28, 82, 60, 71.0, 0.00, 0.0, 0
2009-07-29, 85, 60, 72.5, 1.95, 0.0, 0
2009-07-30, 75, 64, 69.5, 2.55, 0.0, 0
2009-07-31, 80, 63, 71.5, 0.00, 0.0, 0
2009-08-01, 74, 58, 66.0, 0.31, 0.0, 0
2009-08-02, 85, 58, 71.5, 0.00, 0.0, 0
2009-08-03, 74, 60, 67.0, 0.78, 0.0, 0
2009-08-04, 80, 55, 67.5, 0.00, 0.0, 0
2009-08-05, 84, 56, 70.0, 0.00, 0.0, 0
2009-08-06, 80, 51, 65.5, 0.00, 0.0, 0
2009-08-07, 77, 51, 64.0, 0.00, 0.0, 0
2009-08-08, 75, 47, 61.0, 0.00, 0.0, 0
2009-08-09, 76, 50, 63.0, 0.00, 0.0, 0
2009-08-10, 70, 63, 66.5, 1.39, 0.0, 0
2009-08-11, 87, 65, 76.0, 0.32, 0.0, 0
2009-08-12, 83, 63, 73.0, 0.00, 0.0, 0
2009-08-13, 80, 64, 72.0, 0.59, 0.0, 0
2009-08-14, 72, 61, 66.5, 0.10, 0.0, 0
2009-08-15, 82, 60, 71.0, 0.00, 0.0, 0
2009-08-16, 86, 61, 73.5, 0.00, 0.0, 0
2009-08-17, 89, 65, 77.0, 0.00, 0.0, 0
2009-08-18, 90, 64, 77.0, 0.00, 0.0, 0
2009-08-19, 87, 64, 75.5, 0.39, 0.0, 0
2009-08-20, 84, 62, 73.0, 0.00, 0.0, 0
2009-08-21, 84, 65, 74.5, 0.00, 0.0, 0
2009-08-22, 85, 65, 75.0, 0.70, 0.0, 0
2009-08-23, 77, 65, 71.0, 1.95, 0.0, 0
2009-08-24, 80, 59, 69.5, 0.00, 0.0, 0
2009-08-25, 80, 57, 68.5, 0.00, 0.0, 0
2009-08-26, 82, 61, 71.5, 0.00, 0.0, 0
2009-08-27, 80, 55, 67.5, 0.03, 0.0, 0
2009-08-28, 76, 55, 65.5, 0.00, 0.0, 0
2009-08-29, 61, 57, 59.0, 0.75, 0.0, 0
2009-08-30, 65, 57, 61.0, 0.05, 0.0, 0
2009-08-31, 75, 51, 63.0, 0.00, 0.0, 0
2009-09-01, 70, 41, 55.5, 0.00, 0.0, 0
2009-09-02, 72, 42, 57.0, 0.00, 0.0, 0
2009-09-03, 74, 46, 60.0, 0.00, 0.0, 0
2009-09-04, 77, 52, 64.5, 0.00, 0.0, 0
2009-09-05, 80, 53, 66.5, 0.00, 0.0, 0
2009-09-06, 78, 51, 64.5, 0.00, 0.0, 0
2009-09-07, 71, 51, 61.0, 0.00, 0.0, 0
2009-09-08, 68, 50, 59.0, 0.00, 0.0, 0
2009-09-09, 72, 51, 61.5, 0.00, 0.0, 0
2009-09-10, 73, 47, 60.0, 0.00, 0.0, 0
2009-09-11, 68, 48, 58.0, 0.04, 0.0, 0
2009-09-12, M, 52, M, 0.74, M, 0
2009-09-13, 66, 51, 58.5, 0.15, 0.0, 0
2009-09-14, 75, 53, 64.0, 0.00, 0.0, 0
2009-09-15, 72, 54, 63.0, 0.00, 0.0, 0
2009-09-16, 74, 44, 59.0, 0.00, 0.0, 0
2009-09-17, 65, 44, 54.5, 0.05, 0.0, 0
2009-09-18, 58, 46, 52.0, 0.19, 0.0, 0
2009-09-19, 68, 40, 54.0, 0.00, 0.0, 0
2009-09-20, 67, 36, 51.5, 0.00, 0.0, 0
2009-09-21, 70, 37, 53.5, 0.00, 0.0, 0
2009-09-22, 72, 41, 56.5, 0.00, 0.0, 0
2009-09-23, 70, 58, 64.0, 0.00, 0.0, 0
2009-09-24, 77, 62, 69.5, 0.00, 0.0, 0
2009-09-25, 75, 48, 61.5, 0.00, 0.0, 0
2009-09-26, 65, 38, 51.5, 0.00, 0.0, 0
2009-09-27, 60, 39, 49.5, 0.71, 0.0, 0
2009-09-28, 63, 54, 58.5, 0.33, 0.0, 0
2009-09-29, 66, 43, 54.5, 0.09, 0.0, 0
2009-09-30, 58, 45, 51.5, 0.00, 0.0, 0
2009-10-01, 52, 39, 45.5, 0.00, 0.0, 0
2009-10-02, 50, 33, 41.5, 0.00, 0.0, 0
2009-10-03, 60, 33, 46.5, 0.11, 0.0, 0
2009-10-04, 68, 48, 58.0, 0.03, 0.0, 0
2009-10-05, 65, 42, 53.5, 0.00, 0.0, 0
2009-10-06, 60, 40, 50.0, 0.00, 0.0, 0
2009-10-07, 61, 40, 50.5, 0.20, 0.0, 0
2009-10-08, 61, 40, 50.5, 0.00, 0.0, 0
2009-10-09, 59, 40, 49.5, 0.01, 0.0, 0
2009-10-10, 59, 50, 54.5, 0.00, 0.0, 0
2009-10-11, 56, 33, 44.5, 0.00, 0.0, 0
2009-10-12, 55, 29, 42.0, 0.00, 0.0, 0
2009-10-13, 49, 29, 39.0, T, 0.0, 0
2009-10-14, 54, 31, 42.5, 0.00, 0.0, 0
2009-10-15, 49, 31, 40.0, 0.00, 0.0, 0
2009-10-16, 37, 31, 34.0, 0.22, 2.2, 2
2009-10-17, 43, 32, 37.5, M, M, M
2009-10-18, 44, 34, 39.0, 0.00, 0.0, 0
2009-10-19, 46, 27, 36.5, 0.00, 0.0, 0
2009-10-20, 55, 28, 41.5, 0.00, 0.0, 0
2009-10-21, 62, 39, 50.5, 0.00, 0.0, 0
2009-10-22, 65, 44, 54.5, 0.00, 0.0, 0
2009-10-23, 72, 43, 57.5, 0.00, 0.0, 0
2009-10-24, 50, 40, 45.0, 0.90, 0.0, 0
2009-10-25, 65, 44, 54.5, 1.16, 0.0, 0
2009-10-26, 58, 34, 46.0, 0.00, 0.0, 0
2009-10-27, 60, 32, 46.0, 0.00, 0.0, 0
2009-10-28, 51, 36, 43.5, 0.56, 0.0, 0
2009-10-29, 52, 44, 48.0, 0.95, 0.0, 0
2009-10-30, 56, 44, 50.0, 0.00, 0.0, 0
2009-10-31, 54, 46, 50.0, 0.04, 0.0, 0
2009-11-01, 63, 43, 53.0, 0.15, 0.0, 0
2009-11-02, 54, 29, 41.5, 0.00, 0.0, 0
2009-11-03, 53, 30, 41.5, 0.00, 0.0, 0
2009-11-04, 55, 29, 42.0, 0.00, 0.0, 0
2009-11-05, 44, 32, 38.0, 0.00, 0.0, 0
2009-11-06, 45, 32, 38.5, 0.04, 0.0, 0
2009-11-07, 39, 23, 31.0, 0.00, 0.0, 0
2009-11-08, 49, 25, 37.0, 0.00, 0.0, 0
2009-11-09, 67, 34, 50.5, 0.01, 0.0, 0
2009-11-10, 68, 34, 51.0, 0.00, 0.0, 0
2009-11-11, 60, 41, 50.5, 0.00, 0.0, 0
2009-11-12, 49, 39, 44.0, 0.00, 0.0, 0
2009-11-13, 49, 39, 44.0, T, 0.0, 0
2009-11-14, 51, 42, 46.5, 0.21, 0.0, 0
2009-11-15, 55, 42, 48.5, 0.10, 0.0, 0
2009-11-16, 64, 40, 52.0, 0.00, 0.0, 0
