Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 15, -2, 6.5, 0.10, M, M
2009-01-02, 20, -2, 9.0, 0.00, 0.0, M
2009-01-03, 29, 14, 21.5, T, M, M
2009-01-04, 25, 5, 15.0, 0.00, 0.0, M
2009-01-05, 35, 17, 26.0, T, M, M
2009-01-06, 34, 15, 24.5, 0.00, 0.0, M
2009-01-07, 34, 15, 24.5, 0.30, 0.0, M
2009-01-08, 35, 15, 25.0, 0.00, 0.0, M
2009-01-09, 35, 11, 23.0, 0.00, 0.0, M
2009-01-10, 23, -9, 7.0, 0.00, 0.0, M
2009-01-11, 19, 12, 15.5, 0.83, 8.0, M
2009-01-12, 24, -0, 12.0, 0.10, 1.0, M
2009-01-13, 35, -0, 17.5, 0.00, 0.0, M
2009-01-14, 35, 4, 19.5, 0.00, T, M
2009-01-15, 11, -12, -0.5, 0.00, 0.0, M
2009-01-16, 14, -28, -7.0, 0.00, 0.0, M
2009-01-17, 14, -28, -7.0, 0.00, 0.0, M
2009-01-18, 25, 6, 15.5, 0.13, 3.0, M
2009-01-19, 29, 18, 23.5, 0.03, M, M
2009-01-20, 27, 15, 21.0, T, M, M
2009-01-21, 19, -5, 7.0, T, M, M
2009-01-22, 29, M, M, 0.00, 0.0, M
2009-01-23, M, M, M, T, M, M
2009-01-24, 20, 15, 17.5, 0.01, M, M
2009-01-25, M, M, M, 0.00, 0.0, M
2009-01-26, 20, -9, 5.5, 0.00, 0.0, M
2009-01-27, 28, -9, 9.5, 0.00, 0.0, M
2009-01-28, 24, 8, 16.0, T, M, M
2009-01-29, 28, 18, 23.0, 1.14, 9.0, 19
2009-01-30, 32, 17, 24.5, 0.00, 0.0, 18
2009-01-31, 29, 5, 17.0, 0.08, M, M
2009-02-01, 32, 9, 20.5, 0.00, 0.0, M
2009-02-02, 37, 9, 23.0, 0.00, 0.0, 16
2009-02-03, M, 11, M, 0.00, 0.0, 16
2009-02-04, 18, -3, 7.5, 0.00, 0.0, 16
2009-02-05, 15, -17, -1.0, 0.00, 0.0, 16
2009-02-06, 21, -17, 2.0, 0.00, 0.0, 16
2009-02-07, 34, -5, 14.5, 0.00, 0.0, M
2009-02-08, 49, -5, 22.0, 0.00, 0.0, M
2009-02-09, 39, 17, 28.0, 0.00, 0.0, 10
2009-02-10, 39, 10, 24.5, 0.00, 0.0, 10
2009-02-11, 49, 30, 39.5, 0.00, 0.0, 9
2009-02-12, 47, 23, 35.0, 0.11, 0.0, 7
2009-02-13, 47, 22, 34.5, T, 0.0, 4
2009-02-14, 47, 15, 31.0, 0.00, 0.0, M
2009-02-15, 38, 10, 24.0, 0.00, 0.0, M
2009-02-16, 34, 17, 25.5, 0.00, 0.0, 3
2009-02-17, 35, 19, 27.0, 0.00, 0.0, 3
2009-02-18, 38, 10, 24.0, 0.00, 0.0, 3
2009-02-19, 42, 31, 36.5, 0.47, 4.0, 7
2009-02-20, 41, 15, 28.0, 0.00, 0.0, 5
2009-02-21, 38, 20, 29.0, 0.00, 0.0, M
2009-02-22, 37, 25, 31.0, T, 0.0, M
2009-02-23, 32, 23, 27.5, 0.31, 3.0, 7
2009-02-24, 27, 12, 19.5, 0.00, 0.0, M
2009-02-25, 32, 2, 17.0, 0.00, 0.0, 6
2009-02-26, 44, 2, 23.0, T, T, 6
2009-02-27, 49, 2, 25.5, 0.00, 0.0, M
2009-02-28, 46, 2, 24.0, 0.74, 0.0, M
2009-03-01, 32, 11, 21.5, 0.00, 0.0, M
2009-03-02, 32, 14, 23.0, 0.00, 0.0, 1
2009-03-03, 22, 9, 15.5, 0.07, 1.0, 1
2009-03-04, 34, -3, 15.5, 0.00, 0.0, 1
2009-03-05, 38, 5, 21.5, 0.00, 0.0, 1
2009-03-06, 46, 27, 36.5, 0.00, 0.0, 1
2009-03-07, 49, 31, 40.0, 0.00, 0.0, M
2009-03-08, 51, 31, 41.0, 0.79, 0.0, M
2009-03-09, M, 30, M, 0.23, M, 3
2009-03-10, 39, 28, 33.5, 0.00, 0.0, 1
2009-03-11, 52, 23, 37.5, 0.38, 0.0, 1
2009-03-12, M, 23, M, 0.09, 0.0, M
2009-03-13, 42, 9, 25.5, 0.00, 0.0, M
2009-03-14, 46, 13, 29.5, 0.00, 0.0, 0
2009-03-15, 55, 23, 39.0, 0.00, 0.0, 0
2009-03-16, 55, 27, 41.0, 0.00, 0.0, 0
2009-03-17, 56, 27, 41.5, 0.00, 0.0, 0
2009-03-18, 56, 33, 44.5, 0.00, 0.0, 0
2009-03-19, 56, 38, 47.0, 0.09, 0.0, 0
2009-03-20, 54, 24, 39.0, 0.00, 0.0, 0
2009-03-21, 53, 15, 34.0, 0.00, 0.0, 0
2009-03-22, 45, 32, 38.5, 0.00, 0.0, 0
2009-03-23, 38, 18, 28.0, 0.00, 0.0, 0
2009-03-24, 40, 23, 31.5, 0.00, 0.0, 0
2009-03-25, 53, 20, 36.5, 0.00, 0.0, 0
2009-03-26, 53, 27, 40.0, 0.00, 0.0, 0
