Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-01-01, 21, -5, 8.0, 0.00, 0.0, M
2009-01-02, 18, 1, 9.5, 0.06, M, 14
2009-01-03, 28, M, M, 0.00, 0.0, M
2009-01-04, 24, 4, 14.0, 0.00, 0.0, M
2009-01-05, 32, 15, 23.5, 0.04, 0.0, 13
2009-01-06, 32, 15, 23.5, 0.00, 0.0, 13
2009-01-07, 33, M, M, 0.37, 2.0, 15
2009-01-08, 33, 7, 20.0, 0.57, 1.0, 16
2009-01-09, M, 7, M, T, T, 15
2009-01-10, 16, -6, 5.0, 0.00, 0.0, M
2009-01-11, 25, 13, 19.0, 0.00, 0.0, M
2009-01-12, 26, 6, 16.0, 0.36, 4.0, 20
2009-01-13, 30, -1, 14.5, 0.00, 0.0, 19
2009-01-14, 12, -8, 2.0, 0.10, 2.0, 21
2009-01-15, 13, -17, -2.0, 0.00, 0.0, 21
2009-01-16, 10, -17, -3.5, 0.00, 0.0, 20
2009-01-17, 10, M, M, 0.00, 0.0, M
2009-01-18, 22, 7, 14.5, 0.00, 0.0, M
2009-01-19, 27, 17, 22.0, 0.00, 0.0, M
2009-01-20, 22, -6, 8.0, 0.37, 4.0, 21
2009-01-21, 20, -4, 8.0, 0.00, 0.0, 21
2009-01-22, 29, M, M, 0.00, 0.0, 20
2009-01-23, 36, M, M, 0.00, 0.0, 20
2009-01-24, 37, 9, 23.0, 0.00, 0.0, M
2009-01-25, 20, -7, 6.5, 0.00, 0.0, M
2009-01-26, 20, -3, 8.5, 0.00, 0.0, 18
2009-01-27, 27, M, M, 0.00, 0.0, 18
2009-01-28, 26, M, M, 0.12, 1.0, 19
2009-01-29, 27, 11, 19.0, 1.04, 7.0, 26
2009-01-30, 30, 11, 20.5, 0.00, 0.0, 26
2009-01-31, 25, 10, 17.5, 0.00, 0.0, M
2009-02-01, 30, 11, 20.5, 0.00, 0.0, M
2009-02-02, 34, 11, 22.5, 0.00, 0.0, 24
2009-02-03, 28, -4, 12.0, 0.00, 0.0, 23
2009-02-04, M, -6, M, 0.00, 0.0, 23
2009-02-05, 19, -1, 9.0, 0.00, 0.0, 23
2009-02-06, 22, -1, 10.5, 0.00, 0.0, 23
2009-02-07, 33, 1, 17.0, 0.00, 0.0, M
2009-02-08, 46, 30, 38.0, 0.00, 0.0, M
2009-02-09, 33, 16, 24.5, 0.00, 0.0, 20
2009-02-10, 34, 18, 26.0, 0.00, 0.0, 18
2009-02-11, 46, M, M, 0.00, 0.0, 18
2009-02-12, 43, 34, 38.5, 0.00, 0.0, M
2009-02-13, 38, 21, 29.5, 0.12, 0.0, 16
2009-02-14, 38, 17, 27.5, 0.00, 0.0, M
2009-02-15, 37, 12, 24.5, 0.00, 0.0, M
2009-02-16, 34, 10, 22.0, 0.00, 0.0, M
2009-02-17, 34, 12, 23.0, 0.00, 0.0, 14
2009-02-18, 35, M, M, 0.00, 0.0, 13
2009-02-19, 36, 16, 26.0, 0.94, 8.0, 21
2009-02-20, M, 17, M, 0.00, 0.0, 17
2009-02-21, 32, 18, 25.0, 0.00, 0.0, M
2009-02-22, 33, 21, 27.0, 0.00, 0.0, M
2009-02-23, 28, 9, 18.5, 0.20, 3.0, 19
2009-02-24, 32, 6, 19.0, 0.00, 0.0, 18
2009-02-25, 33, 6, 19.5, 0.00, 0.0, 16
2009-02-26, 46, M, M, 0.03, T, 16
2009-02-27, 46, 21, 33.5, 0.00, 0.0, 16
2009-02-28, 45, 18, 31.5, 0.00, 0.0, M
2009-03-01, 34, 11, 22.5, 0.00, 0.0, M
2009-03-02, 18, 2, 10.0, 0.85, M, 14
2009-03-03, 24, 1, 12.5, 0.11, 2.0, 15
2009-03-04, 31, 4, 17.5, 0.00, 0.0, 15
2009-03-05, 37, M, M, 0.00, 0.0, 14
2009-03-06, 42, M, M, 0.00, 0.0, 13
2009-03-07, 46, M, M, 0.00, 0.0, M
2009-03-08, 51, 34, 42.5, 0.00, 0.0, M
2009-03-09, 35, 31, 33.0, 1.28, T, 11
2009-03-10, 37, 31, 34.0, 0.20, 0.0, 11
2009-03-11, 49, 20, 34.5, 0.33, 0.0, 10
2009-03-12, M, 11, M, 0.00, 0.0, 9
2009-03-13, 32, 11, 21.5, 0.00, 0.0, 9
