Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-08-01, 73, 61, 67.0, 0.55, 0.0, 0
2009-08-02, 84, 61, 72.5, 0.14, 0.0, 0
2009-08-03, 81, 58, 69.5, 0.03, 0.0, 0
2009-08-04, 82, 59, 70.5, 0.00, 0.0, 0
2009-08-05, 84, 60, 72.0, 0.00, 0.0, 0
2009-08-06, 78, 53, 65.5, 0.00, 0.0, 0
2009-08-07, 77, 52, 64.5, 0.00, 0.0, 0
2009-08-08, 77, 51, 64.0, 0.00, 0.0, 0
2009-08-09, 77, 52, 64.5, 0.50, 0.0, 0
2009-08-10, 83, 65, 74.0, 0.39, 0.0, 0
2009-08-11, 91, 67, 79.0, 0.00, 0.0, 0
2009-08-12, 86, 63, 74.5, 0.00, 0.0, 0
2009-08-13, 84, 65, 74.5, 0.10, 0.0, 0
2009-08-14, 84, 64, 74.0, 0.54, 0.0, 0
2009-08-15, 88, 64, 76.0, 0.00, 0.0, 0
2009-08-16, 88, 65, 76.5, 0.00, 0.0, 0
2009-08-17, 90, 66, 78.0, 0.00, 0.0, 0
2009-08-18, 92, 66, 79.0, 0.00, 0.0, 0
2009-08-19, 89, 66, 77.5, 0.48, 0.0, 0
2009-08-20, 83, 67, 75.0, 0.00, 0.0, 0
2009-08-21, 83, 66, 74.5, 0.45, 0.0, 0
2009-08-22, 82, 67, 74.5, 0.10, 0.0, 0
2009-08-23, 84, 69, 76.5, 0.00, 0.0, 0
2009-08-24, 80, 65, 72.5, 0.32, 0.0, 0
2009-08-25, 79, 63, 71.0, 0.00, 0.0, 0
2009-08-26, 84, 61, 72.5, 0.00, 0.0, 0
2009-08-27, 83, 59, 71.0, 0.19, 0.0, 0
2009-08-28, 77, 58, 67.5, 0.00, 0.0, 0
2009-08-29, 72, 62, 67.0, 0.82, 0.0, 0
2009-08-30, 83, 64, 73.5, 0.30, 0.0, 0
2009-08-31, 79, 57, 68.0, T, 0.0, 0
2009-09-01, 71, 50, 60.5, 0.00, 0.0, 0
2009-09-02, 75, 50, 62.5, 0.00, 0.0, 0
2009-09-03, 79, 51, 65.0, 0.00, 0.0, 0
2009-09-04, 82, 51, 66.5, 0.00, 0.0, 0
2009-09-05, 81, 54, 67.5, 0.00, 0.0, 0
2009-09-06, 80, 54, 67.0, 0.00, 0.0, 0
2009-09-07, 78, 55, 66.5, 0.00, 0.0, 0
2009-09-08, 72, 63, 67.5, 0.00, 0.0, 0
2009-09-09, 77, 60, 68.5, 0.00, 0.0, 0
2009-09-10, 79, 53, 66.0, 0.00, 0.0, 0
2009-09-11, 71, 52, 61.5, 0.00, 0.0, 0
2009-09-12, 68, 55, 61.5, 0.53, 0.0, 0
2009-09-13, 69, 57, 63.0, 0.00, 0.0, 0
2009-09-14, 77, 55, 66.0, 0.00, 0.0, 0
2009-09-15, 75, 50, 62.5, 0.00, 0.0, 0
2009-09-16, 75, 48, 61.5, 0.00, 0.0, 0
2009-09-17, 71, 48, 59.5, T, 0.0, 0
2009-09-18, 69, 51, 60.0, 0.00, 0.0, 0
2009-09-19, 74, 44, 59.0, 0.00, 0.0, 0
2009-09-20, 69, 41, 55.0, 0.00, 0.0, 0
2009-09-21, 75, 42, 58.5, 0.00, 0.0, 0
2009-09-22, 74, 47, 60.5, 0.00, 0.0, 0
2009-09-23, 74, 62, 68.0, 0.00, 0.0, 0
2009-09-24, 84, 65, 74.5, 0.16, 0.0, 0
2009-09-25, 74, 48, 61.0, 0.00, 0.0, 0
2009-09-26, 67, 39, 53.0, 0.00, 0.0, 0
2009-09-27, 64, 39, 51.5, 0.50, 0.0, 0
2009-09-28, 63, 52, 57.5, 0.45, 0.0, 0
2009-09-29, 70, 51, 60.5, 0.14, 0.0, 0
2009-09-30, 62, 50, 56.0, 0.11, 0.0, 0
2009-10-01, 54, 48, 51.0, 0.06, 0.0, 0
2009-10-02, 55, 43, 49.0, 0.00, 0.0, 0
2009-10-03, 60, 43, 51.5, 0.57, 0.0, 0
2009-10-04, 72, 46, 59.0, 0.00, 0.0, 0
2009-10-05, 66, 47, 56.5, 0.00, 0.0, 0
2009-10-06, 61, 40, 50.5, 0.00, 0.0, 0
2009-10-07, 66, 39, 52.5, 0.25, 0.0, 0
2009-10-08, 61, 44, 52.5, 0.00, 0.0, 0
2009-10-09, 64, 44, 54.0, T, 0.0, 0
2009-10-10, 62, 55, 58.5, 0.10, 0.0, 0
2009-10-11, 58, 39, 48.5, 0.00, 0.0, 0
2009-10-12, 58, 29, 43.5, 0.00, 0.0, 0
2009-10-13, 51, 32, 41.5, T, 0.0, 0
2009-10-14, 53, 41, 47.0, 0.06, 0.0, 0
2009-10-15, 53, 39, 46.0, 0.00, 0.0, 0
2009-10-16, 43, 36, 39.5, T, T, T
2009-10-17, 42, 30, 36.0, 0.32, 0.0, 0
2009-10-18, 47, 40, 43.5, T, 0.0, 0
2009-10-19, 55, 29, 42.0, 0.00, 0.0, 0
2009-10-20, 58, 29, 43.5, 0.00, 0.0, 0
2009-10-21, 69, 40, 54.5, 0.00, 0.0, 0
2009-10-22, 68, 46, 57.0, 0.00, 0.0, 0
2009-10-23, 69, 45, 57.0, T, 0.0, 0
2009-10-24, 60, 45, 52.5, 0.53, 0.0, 0
2009-10-25, 71, 49, 60.0, 0.54, 0.0, 0
2009-10-26, 62, 36, 49.0, 0.00, 0.0, 0
2009-10-27, 65, 36, 50.5, 0.00, 0.0, 0
2009-10-28, 63, 40, 51.5, 0.37, 0.0, 0
2009-10-29, 59, 54, 56.5, 0.99, 0.0, 0
2009-10-30, 57, 53, 55.0, 0.00, 0.0, 0
2009-10-31, 60, 55, 57.5, 0.00, 0.0, 0
2009-11-01, 65, 49, 57.0, T, 0.0, 0
2009-11-02, 56, 33, 44.5, 0.00, 0.0, 0
2009-11-03, 57, 33, 45.0, 0.00, 0.0, 0
2009-11-04, 56, 31, 43.5, T, 0.0, 0
2009-11-05, 48, 32, 40.0, 0.00, 0.0, 0
2009-11-06, 48, 35, 41.5, T, T, 0
2009-11-07, 42, 26, 34.0, 0.00, 0.0, 0
2009-11-08, 57, 29, 43.0, 0.00, 0.0, 0
2009-11-09, 69, 35, 52.0, 0.00, 0.0, 0
2009-11-10, 70, 36, 53.0, 0.00, 0.0, 0
2009-11-11, 57, 38, 47.5, 0.00, 0.0, 0
2009-11-12, 55, 32, 43.5, 0.00, 0.0, 0
2009-11-13, 55, 29, 42.0, 0.00, 0.0, 0
2009-11-14, 61, 29, 45.0, T, 0.0, 0
2009-11-15, 58, 44, 51.0, 0.00, 0.0, 0
2009-11-16, 70, 44, 57.0, 0.00, 0.0, 0
2009-11-17, 70, 37, 53.5, 0.00, 0.0, 0
2009-11-18, 57, 29, 43.0, 0.00, 0.0, 0
2009-11-19, 59, 29, 44.0, 0.00, 0.0, 0
2009-11-20, 57, 41, 49.0, 0.61, 0.0, 0
2009-11-21, 53, 38, 45.5, 0.00, 0.0, 0
2009-11-22, 52, 37, 44.5, 0.00, 0.0, 0
2009-11-23, 56, 34, 45.0, 0.00, 0.0, 0
2009-11-24, 55, 36, 45.5, T, 0.0, 0
2009-11-25, 54, 46, 50.0, T, 0.0, 0
2009-11-26, 55, 44, 49.5, 0.01, 0.0, 0
2009-11-27, 56, 39, 47.5, 0.00, 0.0, 0
2009-11-28, 45, 36, 40.5, T, 0.0, 0
2009-11-29, 47, 30, 38.5, 0.00, 0.0, 0
2009-11-30, 58, 28, 43.0, T, 0.0, 0
2009-12-01, 49, 32, 40.5, 0.11, 0.0, 0
2009-12-02, 48, 30, 39.0, 0.00, 0.0, 0
2009-12-03, 58, 30, 44.0, 0.13, 0.0, 0
2009-12-04, 59, 34, 46.5, T, 0.0, 0
2009-12-05, 48, 30, 39.0, 0.00, 0.0, 0
2009-12-06, 37, 25, 31.0, 0.10, 0.5, 1
2009-12-07, 38, 25, 31.5, 0.00, 0.0, 1
2009-12-08, 37, 25, 31.0, 0.00, 0.0, 0
2009-12-09, 40, 25, 32.5, 0.55, 4.0, 4
2009-12-10, 47, 35, 41.0, 0.11, 0.0, 1
2009-12-11, 35, 14, 24.5, 0.00, 0.0, 1
2009-12-12, 31, 15, 23.0, T, T, 1
2009-12-13, 33, 15, 24.0, 0.00, 0.0, M
2009-12-14, 40, 18, 29.0, 0.25, 0.0, M
2009-12-15, 46, 37, 41.5, T, 0.0, M
2009-12-16, 43, 30, 36.5, 0.02, 0.0, 0
2009-12-17, 32, 20, 26.0, 0.01, 0.2, 0
2009-12-18, 27, 14, 20.5, 0.00, M, T
2009-12-19, 27, 14, 20.5, 0.00, 0.0, 0
2009-12-20, 26, 21, 23.5, 0.00, 0.0, 0
2009-12-21, 28, 22, 25.0, 0.00, 0.0, 0
2009-12-22, 28, 22, 25.0, T, M, T
2009-12-23, 29, 14, 21.5, 0.00, 0.0, 0
2009-12-24, 26, 16, 21.0, 0.00, 0.0, 0
2009-12-25, 33, 20, 26.5, 0.00, 0.0, 0
2009-12-26, 41, 24, 32.5, 0.25, 0.0, 0
2009-12-27, 45, 24, 34.5, 0.12, 0.0, 0
2009-12-28, 45, 32, 38.5, T, T, T
2009-12-29, 35, 17, 26.0, T, T, T
2009-12-30, 35, 17, 26.0, 0.00, 0.0, 0
2009-12-31, 32, 23, 27.5, 0.11, T, T
2010-01-01, 36, 23, 29.5, 0.21, M, 1
2010-01-02, 39, 23, 31.0, T, 0.0, 1
2010-01-03, 23, 17, 20.0, T, M, 1
2010-01-04, 21, 18, 19.5, T, M, 2
2010-01-05, 25, 20, 22.5, 0.00, 0.0, 2
2010-01-06, 28, 22, 25.0, 0.05, 0.5, 2
2010-01-07, 31, 25, 28.0, 0.00, 0.0, 2
2010-01-08, 35, 29, 32.0, 0.15, 2.0, 4
2010-01-09, 29, 18, 23.5, T, T, 4
2010-01-10, 25, 7, 16.0, 0.00, 0.0, 4
2010-01-11, 28, 6, 17.0, 0.00, 0.0, 4
2010-01-12, 34, 11, 22.5, 0.05, 0.5, 4
2010-01-13, 29, 22, 25.5, T, M, 4
2010-01-14, 40, 17, 28.5, 0.00, 0.0, 3
2010-01-15, 44, 18, 31.0, 0.00, 0.0, 2
2010-01-16, 44, 34, 39.0, 0.00, 0.0, 1
2010-01-17, 51, 27, 39.0, 0.00, 0.0, 1
2010-01-18, 40, 27, 33.5, 0.69, 0.0, 1
2010-01-19, 50, 37, 43.5, T, T, T
2010-01-20, 39, 33, 36.0, T, T, T
2010-01-21, 39, 26, 32.5, 0.00, 0.0, T
2010-01-22, 40, 24, 32.0, 0.00, 0.0, T
2010-01-23, 46, 24, 35.0, 0.00, 0.0, T
2010-01-24, 44, 24, 34.0, 0.00, 0.0, T
2010-01-25, 58, 39, 48.5, 0.70, 0.0, 0
2010-01-26, 57, 33, 45.0, 0.92, 0.0, 0
2010-01-27, 40, 32, 36.0, 0.00, 0.0, 0
2010-01-28, 39, 28, 33.5, 0.00, 0.0, 0
2010-01-29, 41, 15, 28.0, 0.00, 0.0, 0
2010-01-30, 23, 11, 17.0, T, T, T
2010-01-31, 21, 8, 14.5, 0.00, 0.0, 0
2010-02-01, 30, 8, 19.0, 0.00, 0.0, 0
