Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 70, 39, 54.5, T, M, M
2009-06-02, 78, 58, 68.0, T, M, M
2009-06-03, 70, 53, 61.5, 0.21, M, M
2009-06-04, 67, 53, 60.0, 0.15, M, M
2009-06-05, 58, 55, 56.5, 0.36, M, M
2009-06-06, 77, 56, 66.5, T, M, M
2009-06-07, 80, 58, 69.0, 0.00, M, M
2009-06-08, 74, 59, 66.5, T, M, M
2009-06-09, 66, 56, 61.0, 1.02, M, M
2009-06-10, 66, 57, 61.5, 0.00, M, M
2009-06-11, 61, 57, 59.0, 0.06, M, M
2009-06-12, 80, 58, 69.0, 0.44, M, M
2009-06-13, 71, 61, 66.0, T, M, M
2009-06-14, 69, 55, 62.0, T, M, M
2009-06-15, 68, 53, 60.5, 0.40, M, M
2009-06-16, 67, 52, 59.5, 0.00, M, M
2009-06-17, 68, 50, 59.0, T, M, M
2009-06-18, 64, 58, 61.0, 2.17, M, M
2009-06-19, 78, 61, 69.5, 0.00, M, M
2009-06-20, 71, 60, 65.5, 0.23, M, M
2009-06-21, 77, 62, 69.5, 0.48, M, M
2009-06-22, 74, 63, 68.5, 0.02, M, M
2009-06-23, 79, 63, 71.0, T, M, M
2009-06-24, 76, 64, 70.0, 0.05, M, M
2009-06-25, 78, 62, 70.0, T, M, M
2009-06-26, 81, 60, 70.5, 0.44, M, M
2009-06-27, 79, 59, 69.0, 0.00, M, M
2009-06-28, 78, 62, 70.0, T, M, M
2009-06-29, 81, 63, 72.0, T, M, M
2009-06-30, 83, 60, 71.5, 0.37, M, M
2009-07-01, 80, 62, 71.0, 0.00, M, M
2009-07-02, 78, 63, 70.5, 0.04, M, M
2009-07-03, 79, 63, 71.0, 0.02, M, M
2009-07-04, 78, 59, 68.5, 0.00, M, M
2009-07-05, 78, 57, 67.5, 0.00, M, M
2009-07-06, 82, 57, 69.5, 0.00, M, M
2009-07-07, 80, 60, 70.0, 0.32, M, M
2009-07-08, 75, 55, 65.0, 0.00, M, M
2009-07-09, 70, 56, 63.0, 0.00, M, M
2009-07-10, 75, 55, 65.0, 0.00, M, M
2009-07-11, 77, 57, 67.0, 0.06, M, M
2009-07-12, 79, 59, 69.0, T, M, M
2009-07-13, 79, 54, 66.5, 0.00, M, M
2009-07-14, 78, 54, 66.0, 0.00, M, M
2009-07-15, 82, 54, 68.0, 0.00, M, M
2009-07-16, 84, 65, 74.5, T, M, M
2009-07-17, 85, 65, 75.0, T, M, M
2009-07-18, 83, 66, 74.5, 0.00, M, M
2009-07-19, 82, 60, 71.0, 0.00, M, M
2009-07-20, 81, 60, 70.5, 0.00, M, M
2009-07-21, 68, 63, 65.5, 0.48, M, M
2009-07-22, 82, 64, 73.0, 0.00, M, M
2009-07-23, 75, 63, 69.0, 0.08, M, M
2009-07-24, 80, 63, 71.5, 0.10, M, M
2009-07-25, 83, 61, 72.0, 0.00, M, M
2009-07-26, 85, 68, 76.5, 0.01, M, M
2009-07-27, 84, 66, 75.0, T, M, M
2009-07-28, 86, 67, 76.5, 0.00, M, M
2009-07-29, 81, 68, 74.5, 0.08, M, M
2009-07-30, 85, 68, 76.5, 0.00, M, M
2009-07-31, 85, 66, 75.5, 0.44, M, M
2009-08-01, 84, 63, 73.5, 0.00, M, M
2009-08-02, 75, 66, 70.5, 0.40, M, M
2009-08-03, 82, 66, 74.0, 0.00, M, M
2009-08-04, 85, 63, 74.0, 0.00, M, M
2009-08-05, 86, 67, 76.5, 0.00, M, M
2009-08-06, 78, 61, 69.5, T, M, M
2009-08-07, 78, 58, 68.0, 0.00, M, M
2009-08-08, 76, 57, 66.5, 0.00, M, M
2009-08-09, 76, 65, 70.5, 0.26, M, M
2009-08-10, 91, 68, 79.5, 0.01, M, M
2009-08-11, 87, 71, 79.0, 0.00, M, M
2009-08-12, 76, 69, 72.5, 0.02, M, M
2009-08-13, 75, 65, 70.0, 0.01, M, M
2009-08-14, 85, 63, 74.0, 0.00, M, M
2009-08-15, 89, 66, 77.5, 0.00, M, M
2009-08-16, 90, 67, 78.5, 0.00, M, M
2009-08-17, 91, 70, 80.5, 0.00, M, M
2009-08-18, 89, 70, 79.5, 0.00, M, M
2009-08-19, 87, 72, 79.5, 0.00, M, M
2009-08-20, 88, 69, 78.5, 0.00, M, M
2009-08-21, 89, 70, 79.5, 0.33, M, M
2009-08-22, 83, 70, 76.5, 2.75, M, M
2009-08-23, 83, 69, 76.0, 0.55, M, M
2009-08-24, 82, 67, 74.5, 0.00, M, M
2009-08-25, 83, 67, 75.0, 0.00, M, M
2009-08-26, 83, 67, 75.0, T, M, M
2009-08-27, 77, 61, 69.0, 0.00, M, M
2009-08-28, 67, 62, 64.5, 0.30, M, M
2009-08-29, 69, 63, 66.0, 0.01, M, M
2009-08-30, 80, 62, 71.0, 0.00, M, M
2009-08-31, 69, 54, 61.5, 0.00, M, M
2009-09-01, 73, 53, 63.0, 0.00, M, M
2009-09-02, 75, 53, 64.0, 0.00, M, M
2009-09-03, 77, 55, 66.0, 0.00, M, M
2009-09-04, 82, 56, 69.0, 0.00, M, M
2009-09-05, 83, 64, 73.5, 0.00, M, M
2009-09-06, 72, 58, 65.0, 0.00, M, M
2009-09-07, 72, 56, 64.0, 0.00, M, M
2009-09-08, 75, 58, 66.5, 0.00, M, M
2009-09-09, 75, 57, 66.0, 0.00, M, M
2009-09-10, 68, 54, 61.0, T, M, M
2009-09-11, 63, 54, 58.5, 0.37, M, M
2009-09-12, 68, 62, 65.0, T, M, M
2009-09-13, 78, 59, 68.5, 0.00, M, M
2009-09-14, 76, 55, 65.5, 0.00, M, M
2009-09-15, 78, 57, 67.5, 0.00, M, M
2009-09-16, 66, 56, 61.0, 0.01, M, M
2009-09-17, 63, 48, 55.5, 0.02, M, M
2009-09-18, 73, 49, 61.0, 0.00, M, M
2009-09-19, 67, 44, 55.5, 0.00, M, M
2009-09-20, 73, 44, 58.5, 0.00, M, M
2009-09-21, 73, 49, 61.0, 0.00, M, M
2009-09-22, 73, 57, 65.0, 0.00, M, M
2009-09-23, 78, 63, 70.5, T, M, M
2009-09-24, 81, 58, 69.5, T, M, M
2009-09-25, 67, 50, 58.5, 0.00, M, M
2009-09-26, 63, 47, 55.0, 0.04, M, M
2009-09-27, 67, 56, 61.5, 0.10, M, M
2009-09-28, 71, 56, 63.5, 0.06, M, M
2009-09-29, 65, 50, 57.5, 0.00, M, M
2009-09-30, 61, 46, 53.5, 0.00, M, M
2009-10-01, 54, 42, 48.0, 0.00, M, M
2009-10-02, 62, 38, 50.0, 0.04, M, M
2009-10-03, 68, 60, 64.0, 0.30, M, M
2009-10-04, 74, 55, 64.5, 0.00, M, M
2009-10-05, 65, 49, 57.0, 0.00, M, M
2009-10-06, 66, 47, 56.5, T, M, M
2009-10-07, 68, 55, 61.5, 0.32, M, M
2009-10-08, 62, 51, 56.5, T, M, M
2009-10-09, 66, 52, 59.0, 0.06, M, M
2009-10-10, 64, 43, 53.5, T, M, M
2009-10-11, 62, 38, 50.0, 0.00, M, M
2009-10-12, 51, 35, 43.0, 0.00, M, M
2009-10-13, 62, 40, 51.0, T, M, M
2009-10-14, 52, 34, 43.0, 0.00, M, M
2009-10-15, 42, 35, 38.5, 0.08, M, M
2009-10-16, 45, 36, 40.5, T, M, M
2009-10-17, 48, 39, 43.5, T, M, M
2009-10-18, 43, 34, 38.5, 0.02, M, M
2009-10-19, 54, 34, 44.0, 0.00, M, M
2009-10-20, 66, 35, 50.5, 0.00, M, M
2009-10-21, 67, 44, 55.5, 0.00, M, M
2009-10-22, 75, 47, 61.0, 0.00, M, M
2009-10-23, 63, 47, 55.0, 0.05, M, M
2009-10-24, 65, 50, 57.5, 1.00, M, M
2009-10-25, 61, 42, 51.5, 0.00, M, M
2009-10-26, 59, 38, 48.5, 0.00, M, M
2009-10-27, 54, 41, 47.5, 0.02, M, M
2009-10-28, 55, 48, 51.5, 0.47, M, M
2009-10-29, 56, 46, 51.0, 0.00, M, M
2009-10-30, 58, 49, 53.5, 0.00, M, M
2009-10-31, 67, 54, 60.5, 0.06, M, M
2009-11-01, 57, 45, 51.0, T, M, M
2009-11-02, 56, 42, 49.0, 0.00, M, M
2009-11-03, 59, 36, 47.5, 0.00, M, M
2009-11-04, 50, 34, 42.0, 0.01, M, M
2009-11-05, 51, 39, 45.0, 0.08, M, M
2009-11-06, 47, 31, 39.0, 0.00, M, M
2009-11-07, 50, 28, 39.0, 0.00, M, M
2009-11-08, 68, 42, 55.0, 0.00, M, M
2009-11-09, 66, 39, 52.5, 0.00, M, M
2009-11-10, 63, 52, 57.5, 0.00, M, M
2009-11-11, 56, 46, 51.0, T, M, M
2009-11-12, 50, 45, 47.5, T, M, M
2009-11-13, 54, 46, 50.0, 0.02, M, M
2009-11-14, 60, 50, 55.0, 0.15, M, M
2009-11-15, 67, 50, 58.5, T, M, M
2009-11-16, 58, 43, 50.5, 0.00, M, M
2009-11-17, 56, 39, 47.5, 0.00, M, M
2009-11-18, 53, 36, 44.5, 0.00, M, M
2009-11-19, 56, 40, 48.0, 0.03, M, M
2009-11-20, 60, 46, 53.0, 0.29, M, M
2009-11-21, 56, 39, 47.5, 0.00, M, M
2009-11-22, 55, 41, 48.0, 0.00, M, M
2009-11-23, 50, 40, 45.0, T, M, M
2009-11-24, 59, 46, 52.5, T, M, M
2009-11-25, 49, 47, 48.0, T, M, M
2009-11-26, 56, 45, 50.5, 0.00, M, M
2009-11-27, 47, 41, 44.0, T, M, M
2009-11-28, 50, 42, 46.0, 0.00, M, M
2009-11-29, 56, 34, 45.0, 0.00, M, M
2009-11-30, 54, 37, 45.5, 0.03, M, M
2009-12-01, 47, 30, 38.5, 0.00, M, M
2009-12-02, 54, 30, 42.0, 0.31, M, M
2009-12-03, 65, 47, 56.0, 0.65, M, M
2009-12-04, 50, 39, 44.5, 0.00, M, M
2009-12-05, 42, 33, 37.5, 0.04, M, M
2009-12-06, 36, 28, 32.0, 0.02, M, M
2009-12-07, 37, 25, 31.0, 0.00, M, M
2009-12-08, 43, 31, 37.0, 0.00, M, M
2009-12-09, 47, 32, 39.5, 1.40, M, M
2009-12-10, 42, 25, 33.5, 0.00, M, M
2009-12-11, 28, 19, 23.5, 0.00, M, M
2009-12-12, 34, 22, 28.0, 0.00, M, M
2009-12-13, 50, 22, 36.0, 0.56, M, M
2009-12-14, 45, 34, 39.5, 0.00, M, M
2009-12-15, 48, 38, 43.0, 0.00, M, M
2009-12-16, 40, 25, 32.5, 0.00, M, M
2009-12-17, 29, 16, 22.5, 0.00, M, M
2009-12-18, 30, 11, 20.5, 0.00, M, M
2009-12-19, 28, 20, 24.0, T, M, M
2009-12-20, 31, 19, 25.0, T, M, M
2009-12-21, 34, 23, 28.5, 0.00, M, M
2009-12-22, 34, 19, 26.5, 0.00, M, M
2009-12-23, 28, 18, 23.0, 0.00, M, M
2009-12-24, 38, 20, 29.0, 0.00, M, M
2009-12-25, 38, 26, 32.0, 0.11, M, M
2009-12-26, 47, 34, 40.5, 0.87, M, M
2009-12-27, 54, 33, 43.5, 0.36, M, M
2009-12-28, 40, 28, 34.0, T, M, M
2009-12-29, 29, 14, 21.5, T, M, M
2009-12-30, 31, 16, 23.5, 0.00, M, M
2009-12-31, 33, 26, 29.5, T, M, M
2010-01-01, 38, 30, 34.0, T, M, M
2010-01-02, 33, 15, 24.0, T, M, M
2010-01-03, 21, 15, 18.0, T, M, M
2010-01-04, 30, 19, 24.5, 0.00, M, M
2010-01-05, 30, 18, 24.0, 0.00, M, M
2010-01-06, 33, 23, 28.0, T, M, M
2010-01-07, 36, 27, 31.5, 0.00, M, M
2010-01-08, 31, 19, 25.0, 0.02, M, M
2010-01-09, 28, 14, 21.0, 0.00, M, M
2010-01-10, 27, 9, 18.0, 0.00, M, M
2010-01-11, 31, 17, 24.0, 0.00, M, M
2010-01-12, 34, 21, 27.5, 0.00, M, M
2010-01-13, 33, 21, 27.0, 0.00, M, M
2010-01-14, 40, 17, 28.5, 0.00, M, M
2010-01-15, 47, 26, 36.5, 0.00, M, M
2010-01-16, 47, 29, 38.0, 0.00, M, M
2010-01-17, 39, 27, 33.0, 0.03, M, M
2010-01-18, 47, 36, 41.5, 0.01, M, M
2010-01-19, 43, 33, 38.0, T, M, M
2010-01-20, 41, 25, 33.0, 0.00, M, M
2010-01-21, 42, 23, 32.5, 0.00, M, M
2010-01-22, 44, 27, 35.5, 0.00, M, M
2010-01-23, 40, 20, 30.0, 0.00, M, M
2010-01-24, 48, 21, 34.5, T, M, M
2010-01-25, 56, 45, 50.5, 0.97, M, M
2010-01-26, 46, 31, 38.5, T, M, M
2010-01-27, 39, 27, 33.0, 0.00, M, M
2010-01-28, 39, 17, 28.0, T, M, M
2010-01-29, 21, 13, 17.0, 0.00, M, M
2010-01-30, 17, 8, 12.5, 0.00, M, M
2010-01-31, 29, 10, 19.5, 0.00, M, M
2010-02-01, 34, 21, 27.5, 0.00, M, M
2010-02-02, 31, 19, 25.0, T, M, M
2010-02-03, 36, 23, 29.5, T, M, M
2010-02-04, 35, 25, 30.0, 0.00, M, M
2010-02-05, 34, 20, 27.0, 0.00, M, M
2010-02-06, 31, 18, 24.5, 0.00, M, M
2010-02-07, 34, 14, 24.0, 0.00, M, M
2010-02-08, 35, 20, 27.5, 0.00, M, M
2010-02-09, 41, 26, 33.5, 0.00, M, M
2010-02-10, 34, 29, 31.5, T, M, M
