Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-08-01, 76, 58, 67.0, 0.08, 0.0, M
2009-08-02, 82, 64, 73.0, 0.23, 0.0, 0
2009-08-03, 82, 56, 69.0, 0.25, 0.0, 0
2009-08-04, 79, 61, 70.0, 0.00, 0.0, 0
2009-08-05, 84, 61, 72.5, T, 0.0, 0
2009-08-06, 73, 55, 64.0, 0.00, 0.0, 0
2009-08-07, 74, 57, 65.5, 0.00, 0.0, 0
2009-08-08, 72, 51, 61.5, 0.00, 0.0, 0
2009-08-09, 75, 57, 66.0, 0.14, 0.0, 0
2009-08-10, 79, 57, 68.0, 0.75, 0.0, 0
2009-08-11, 86, 65, 75.5, 0.63, 0.0, 0
2009-08-12, 82, 62, 72.0, 0.01, 0.0, 0
2009-08-13, 80, 64, 72.0, 0.00, 0.0, 0
2009-08-14, 82, 59, 70.5, 0.00, 0.0, 0
2009-08-15, 84, 62, 73.0, 0.00, 0.0, 0
2009-08-16, 85, 66, 75.5, 0.00, 0.0, 0
2009-08-17, 81, 65, 73.0, 0.00, 0.0, 0
2009-08-18, 91, 69, 80.0, 0.00, 0.0, 0
2009-08-19, 87, 66, 76.5, 0.05, 0.0, 0
2009-08-20, 81, 62, 71.5, 0.00, 0.0, 0
2009-08-21, 85, 68, 76.5, 0.23, 0.0, 0
2009-08-22, 77, 63, 70.0, 0.11, 0.0, 0
2009-08-23, 83, 64, 73.5, 0.01, 0.0, 0
2009-08-24, 76, 61, 68.5, 0.37, 0.0, 0
2009-08-25, 74, 57, 65.5, 0.00, 0.0, 0
2009-08-26, 80, 58, 69.0, 0.00, 0.0, 0
2009-08-27, 74, 51, 62.5, 0.10, 0.0, 0
2009-08-28, 70, 52, 61.0, 0.00, 0.0, 0
2009-08-29, 69, 54, 61.5, 0.07, 0.0, 0
2009-08-30, 75, 56, 65.5, 0.18, 0.0, 0
2009-08-31, 66, 50, 58.0, 0.07, 0.0, 0
2009-09-01, 67, 47, 57.0, 0.00, 0.0, 0
2009-09-02, 71, 48, 59.5, 0.00, 0.0, 0
2009-09-03, 74, 49, 61.5, 0.00, 0.0, 0
2009-09-04, 78, 52, 65.0, 0.00, 0.0, 0
2009-09-05, 76, 53, 64.5, 0.00, 0.0, 0
2009-09-06, 76, 51, 63.5, 0.00, 0.0, 0
2009-09-07, 73, 54, 63.5, 0.00, 0.0, 0
2009-09-08, 75, 58, 66.5, 0.00, 0.0, 0
2009-09-09, 78, 58, 68.0, 0.00, 0.0, 0
2009-09-10, 75, 53, 64.0, 0.00, 0.0, 0
2009-09-11, 70, 49, 59.5, 0.01, 0.0, 0
2009-09-12, 69, 52, 60.5, 0.09, 0.0, 0
2009-09-13, 67, 57, 62.0, 0.00, 0.0, 0
2009-09-14, 72, 56, 64.0, 0.00, 0.0, 0
2009-09-15, 74, 59, 66.5, 0.00, 0.0, 0
2009-09-16, 71, 46, 58.5, 0.00, 0.0, 0
2009-09-17, 67, 46, 56.5, 0.00, 0.0, 0
2009-09-18, 68, 53, 60.5, 0.00, 0.0, 0
2009-09-19, 68, 43, 55.5, 0.02, 0.0, 0
2009-09-20, 64, 40, 52.0, 0.03, 0.0, 0
2009-09-21, 73, 44, 58.5, 0.00, 0.0, 0
2009-09-22, 78, 55, 66.5, 0.10, 0.0, 0
2009-09-23, 75, 63, 69.0, T, 0.0, 0
2009-09-24, 82, 58, 70.0, 0.04, 0.0, 0
2009-09-25, 71, 52, 61.5, 0.00, 0.0, 0
2009-09-26, 62, 41, 51.5, 0.00, 0.0, 0
2009-09-27, 66, 48, 57.0, 0.92, 0.0, 0
2009-09-28, 65, 52, 58.5, 0.31, 0.0, 0
2009-09-29, 67, 53, 60.0, 0.12, 0.0, 0
2009-09-30, 61, 43, 52.0, 0.08, 0.0, 0
2009-10-01, 48, 41, 44.5, 0.05, 0.0, 0
2009-10-02, 50, 41, 45.5, 0.05, 0.0, 0
2009-10-03, 56, 43, 49.5, 0.55, 0.0, 0
2009-10-04, 68, 45, 56.5, 0.02, 0.0, 0
2009-10-05, 62, 48, 55.0, 0.00, 0.0, 0
