Data for LITTLE VALLEY, NY

Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
2009-06-30, 71, 54, 0.36, 0.0, 0
2009-07-01, 68, 55, 0.35, 0.0, 0
2009-07-02, 68, 58, 0.84, 0.0, 0
2009-07-03, 65, 58, 1.12, 0.0, 0
2009-07-04, 65, 55, 0.00, 0.0, 0
2009-07-05, 66, 44, 0.00, 0.0, 0
2009-07-06, 73, 49, 0.01, 0.0, 0
2009-07-07, 74, 50, 0.00, 0.0, 0
2009-07-08, 68, 52, 0.00, 0.0, 0
2009-07-09, M, M, 0.00, 0.0, 0
2009-07-10, 77, 48, 0.00, 0.0, 0
2009-07-11, 78, 52, 0.00, 0.0, 0
2009-07-12, 74, 46, 0.96, 0.0, 0
2009-07-13, 71, 46, 0.00, 0.0, 0
2009-07-14, 69, 44, 0.00, 0.0, 0
2009-07-15, 69, 42, 0.00, 0.0, 0
2009-07-16, 77, 43, 0.00, 0.0, 0
2009-07-17, 76, 54, 0.00, 0.0, 0
2009-07-18, M, M, 0.00, 0.0, 0
2009-07-19, 68, 52, 0.00, 0.0, 0
2009-07-20, 70, 45, 0.00, 0.0, 0
2009-07-21, 67, 47, 0.00, 0.0, 0
2009-07-22, 68, 52, 0.02, 0.0, 0
2009-07-23, 77, 54, 0.47, 0.0, 0
2009-07-24, 76, 61, 0.68, 0.0, 0
2009-07-25, 74, 52, 0.61, 0.0, 0
2009-07-26, 78, M, 0.00, 0.0, 0
2009-07-27, 78, 58, 0.70, 0.0, 0
2009-07-28, 76, 55, 0.00, 0.0, 0
2009-07-29, 77, M, 0.00, 0.0, 0
2009-07-30, M, M, 0.00, 0.0, 0
2009-07-31, M, M, 0.00, 0.0, 0
2009-08-01, 81, 52, 0.00, 0.0, 0
2009-08-02, 78, 60, 0.57, 0.0, 0
2009-08-03, 80, 59, 0.27, 0.0, 0
2009-08-04, 78, 60, 0.00, 0.0, 0
2009-08-05, 77, 60, 0.90, 0.0, 0
2009-08-06, 70, 46, 0.00, 0.0, 0
2009-08-07, 69, M, 0.00, 0.0, 0
2009-08-08, 73, 50, 0.00, 0.0, 0
2009-08-09, 71, 53, 0.77, 0.0, 0
2009-08-10, 83, 67, 1.20, 0.0, 0
2009-08-11, 82, 67, 0.20, 0.0, 0
2009-08-12, 78, 64, 0.74, 0.0, 0
2009-08-13, 79, 61, 0.16, 0.0, 0
2009-08-14, 81, 60, 0.00, 0.0, 0
2009-08-15, 82, 57, 0.00, 0.0, 0
2009-08-16, 83, 59, 0.00, 0.0, 0
2009-08-17, 87, 61, 0.00, 0.0, 0
2009-08-18, 87, M, 0.00, 0.0, 0
2009-08-19, 77, 65, 1.36, 0.0, 0
2009-08-20, 80, 67, 0.00, 0.0, 0
2009-08-21, 81, 66, 0.70, 0.0, 0
2009-08-22, 76, 58, 0.15, 0.0, 0
2009-08-23, 77, M, T, 0.0, 0
2009-08-24, 74, 61, 0.18, 0.0, 0
2009-08-25, 71, 50, 0.00, 0.0, 0
2009-08-26, 77, M, 0.00, 0.0, 0
2009-08-27, 73, 56, 0.67, 0.0, 0
2009-08-28, 75, 57, 0.00, 0.0, 0
2009-08-29, 71, M, 0.50, 0.0, 0
2009-08-30, 72, 56, 0.68, 0.0, 0
2009-08-31, 68, 51, 0.30, 0.0, 0
2009-09-01, 72, 44, 0.00, 0.0, 0
2009-09-02, 69, 46, 0.00, 0.0, 0
2009-09-03, 75, 49, 0.00, 0.0, 0
2009-09-04, 78, 50, 0.00, 0.0, 0
2009-09-05, 77, 52, 0.00, 0.0, 0
2009-09-06, 77, 51, 0.00, 0.0, 0
2009-09-07, 78, M, 0.00, 0.0, 0
2009-09-08, 76, 57, 0.00, 0.0, 0
2009-09-09, 75, 60, 0.00, 0.0, 0
2009-09-10, 69, 53, 0.00, 0.0, 0
2009-09-11, 74, 53, 0.00, 0.0, 0
2009-09-12, 65, M, T, 0.0, 0
2009-09-13, 64, 50, 0.00, 0.0, 0
2009-09-14, 72, M, 0.00, 0.0, 0
2009-09-15, 72, 60, 0.00, 0.0, 0
2009-09-16, 70, 50, 0.00, 0.0, 0
2009-09-17, 65, 48, 0.00, 0.0, 0
2009-09-18, 67, 51, 0.00, 0.0, 0
2009-09-19, 68, 48, 0.00, 0.0, 0
2009-09-20, 69, 38, 0.00, 0.0, 0
2009-09-21, 74, M, 0.00, 0.0, 0
2009-09-22, 75, M, 0.01, 0.0, 0
2009-09-23, 72, M, 0.21, 0.0, 0
2009-09-24, 75, 62, 0.01, 0.0, 0
2009-09-25, 68, 48, 0.00, 0.0, 0
2009-09-26, 68, 46, 0.00, 0.0, 0
2009-09-27, 67, 50, 0.93, 0.0, 0
2009-09-28, 66, 53, 0.38, 0.0, 0
2009-09-29, 65, 50, 0.40, 0.0, 0
2009-09-30, 60, 44, 0.82, 0.0, 0
2009-10-01, 48, 41, 0.02, 0.0, 0
2009-10-02, 49, 38, 0.01, 0.0, 0
2009-10-03, 50, M, 1.12, 0.0, 0
2009-10-04, 62, 46, T, 0.0, 0
2009-10-05, 57, 39, 0.00, 0.0, 0
2009-10-06, 55, 33, 0.00, 0.0, 0
2009-10-07, 62, M, 0.75, 0.0, 0
2009-10-08, 52, 37, 0.44, 0.0, 0
2009-10-09, 56, M, 0.20, 0.0, 0
2009-10-10, 54, 42, 0.45, 0.0, 0
2009-10-11, 54, 38, 0.01, 0.0, 0
2009-10-12, 48, 30, 0.00, 0.0, 0
2009-10-13, 50, M, T, 0.0, 0
2009-10-14, 46, 28, 0.02, 0.0, 0
