FIPS,Countyname,Postal,LineCode,IndustryName,2012,2013,2014,2015
36001,Albany,NY,1,All Industries,24791703,26168460,27860302,28447555
36001,Albany,NY,2,  Private goods-producing industries,2094613,2246394,2602324,2696366
36001,Albany,NY,3,  Private services-providing industries,16443424,16953822,18400636,18879339
36001,Albany,NY,4,  Government and government enterprises,6253666,6968244,6857342,6871850
36003,Allegany,NY,1,All Industries,1016724,1087214,1164762,1168226
36003,Allegany,NY,2,  Private goods-producing industries,298802,347270,354349,348300
36003,Allegany,NY,3,  Private services-providing industries,451566,457893,495009,504669
36003,Allegany,NY,4,  Government and government enterprises,266356,282050,315404,315257
36005,Bronx,NY,1,All Industries,29926313,29814618,30368740,31177115
36005,Bronx,NY,2,  Private goods-producing industries,1711436,1904863,2003091,2155684
36005,Bronx,NY,3,  Private services-providing industries,21588618,20895311,21684707,22317717
36005,Bronx,NY,4,  Government and government enterprises,6626258,7014444,6680942,6703714
36007,Broome,NY,1,All Industries,8695765,8694956,8685895,8516051
36007,Broome,NY,2,  Private goods-producing industries,1922728,1921188,1878486,1760397
36007,Broome,NY,3,  Private services-providing industries,5292108,5220119,5280800,5235821
36007,Broome,NY,4,  Government and government enterprises,1480929,1553650,1526610,1519833
36009,Cattaraugus,NY,1,All Industries,2377326,2503466,2516943,2573763
36009,Cattaraugus,NY,2,  Private goods-producing industries,534197,588536,567009,559535
36009,Cattaraugus,NY,3,  Private services-providing industries,1148664,1180089,1241976,1304271
36009,Cattaraugus,NY,4,  Government and government enterprises,694466,734840,707957,709957
36011,Cayuga,NY,1,All Industries,2128462,2290176,2366275,2376101
36011,Cayuga,NY,2,  Private goods-producing industries,539590,602948,631369,608964
36011,Cayuga,NY,3,  Private services-providing industries,1091490,1171765,1214536,1255633
36011,Cayuga,NY,4,  Government and government enterprises,497383,515463,520370,511504
36013,Chautauqua,NY,1,All Industries,4239339,4409754,4437409,4522136
36013,Chautauqua,NY,2,  Private goods-producing industries,1414647,1528889,1492928,1510094
36013,Chautauqua,NY,3,  Private services-providing industries,2116117,2125884,2163922,2259134
36013,Chautauqua,NY,4,  Government and government enterprises,708575,754981,780559,752908
36015,Chemung,NY,1,All Industries,3239426,3478880,3644359,3603274
36015,Chemung,NY,2,  Private goods-producing industries,803190,861668,927981,936239
36015,Chemung,NY,3,  Private services-providing industries,1853843,2002771,2083708,2058343
36015,Chemung,NY,4,  Government and government enterprises,582393,614441,632670,608692
36017,Chenango,NY,1,All Industries,1565538,1610030,1712721,1827451
36017,Chenango,NY,2,  Private goods-producing industries,579643,635715,649464,713394
36017,Chenango,NY,3,  Private services-providing industries,704915,674026,743065,793916
36017,Chenango,NY,4,  Government and government enterprises,280979,300290,320192,320141
36019,Clinton,NY,1,All Industries,3004272,3182812,3198565,3255409
36019,Clinton,NY,2,  Private goods-producing industries,518528,558050,564290,585431
36019,Clinton,NY,3,  Private services-providing industries,1734951,1853646,1854698,1880661
36019,Clinton,NY,4,  Government and government enterprises,750793,771116,779577,789316
36021,Columbia,NY,1,All Industries,1895996,2042726,2150652,2189642
36021,Columbia,NY,2,  Private goods-producing industries,361504,404681,429981,411308
36021,Columbia,NY,3,  Private services-providing industries,1178432,1270649,1334647,1375293
36021,Columbia,NY,4,  Government and government enterprises,356060,367396,386024,403042
36023,Cortland,NY,1,All Industries,1576938,1656758,1737397,1828685
36023,Cortland,NY,2,  Private goods-producing industries,450279,482000,499744,556763
36023,Cortland,NY,3,  Private services-providing industries,865261,879149,923969,949999
36023,Cortland,NY,4,  Government and government enterprises,261398,295610,313685,321923
36025,Delaware,NY,1,All Industries,1419923,1507508,1541176,1598902
36025,Delaware,NY,2,  Private goods-producing industries,474028,496329,510089,641966
36025,Delaware,NY,3,  Private services-providing industries,664561,692495,706592,648578
36025,Delaware,NY,4,  Government and government enterprises,281335,318684,324496,308358
36027,Dutchess,NY,1,All Industries,11412358,12048629,12177600,12547096
36027,Dutchess,NY,2,  Private goods-producing industries,2471494,2512585,2358790,2512957
36027,Dutchess,NY,3,  Private services-providing industries,6876208,7362735,7666309,7946267
36027,Dutchess,NY,4,  Government and government enterprises,2064655,2173309,2152501,2087873
36029,Erie,NY,1,All Industries,44976857,46079410,49323229,51589534
36029,Erie,NY,2,  Private goods-producing industries,7990065,7759389,8052981,8145597
36029,Erie,NY,3,  Private services-providing industries,30183437,31102533,34045077,36083276
36029,Erie,NY,4,  Government and government enterprises,6803355,7217487,7225171,7360661
36031,Essex,NY,1,All Industries,1174562,1284129,1303178,1282210
36031,Essex,NY,2,  Private goods-producing industries,213091,239090,237061,220688
36031,Essex,NY,3,  Private services-providing industries,626504,684095,696004,697468
36031,Essex,NY,4,  Government and government enterprises,334967,360944,370113,364054
36033,Franklin,NY,1,All Industries,1514130,1569284,1541379,1530027
36033,Franklin,NY,2,  Private goods-producing industries,141409,155675,149401,139732
36033,Franklin,NY,3,  Private services-providing industries,689928,701122,725635,742578
36033,Franklin,NY,4,  Government and government enterprises,682794,712487,666344,647717
36035,Fulton,NY,1,All Industries,1326795,1354452,1364081,1405612
36035,Fulton,NY,2,  Private goods-producing industries,189755,,208586,
36035,Fulton,NY,3,  Private services-providing industries,810833,,871507,
36035,Fulton,NY,4,  Government and government enterprises,326207,327886,283989,291008
36037,Genesee,NY,1,All Industries,1951180,2045232,2083208,2080250
36037,Genesee,NY,2,  Private goods-producing industries,545467,602138,615938,622598
36037,Genesee,NY,3,  Private services-providing industries,986169,991550,989375,967982
36037,Genesee,NY,4,  Government and government enterprises,419544,451545,477895,489670
36039,Greene,NY,1,All Industries,1999946,1880540,1826418,1935691
36039,Greene,NY,2,  Private goods-producing industries,185117,198772,200274,224751
36039,Greene,NY,3,  Private services-providing industries,1424359,1281868,1217641,1315074
