Week,flu: (New York),Week Ending Date
2012-01-01,9,01/07/2012
2012-01-08,8,01/14/2012
2012-01-15,8,01/21/2012
2012-01-22,8,01/28/2012
2012-01-29,8,02/04/2012
2012-02-05,7,02/11/2012
2012-02-12,9,02/18/2012
2012-02-19,9,02/25/2012
2012-02-26,9,03/03/2012
2012-03-04,7,03/10/2012
2012-03-11,7,03/17/2012
2012-03-18,6,03/24/2012
2012-03-25,5,03/31/2012
2012-04-01,7,04/07/2012
2012-04-08,6,04/14/2012
2012-04-15,5,04/21/2012
2012-04-22,5,04/28/2012
2012-04-29,5,05/05/2012
2012-05-06,4,05/12/2012
2012-05-13,4,05/19/2012
2012-05-20,4,05/26/2012
2012-05-27,3,06/02/2012
2012-06-03,3,06/09/2012
2012-06-10,4,06/16/2012
2012-06-17,3,06/23/2012
2012-06-24,3,06/30/2012
2012-07-01,3,07/07/2012
2012-07-08,3,07/14/2012
2012-07-15,3,07/21/2012
2012-07-22,3,07/28/2012
2012-07-29,3,08/04/2012
2012-08-05,4,08/11/2012
2012-08-12,4,08/18/2012
2012-08-19,5,08/25/2012
2012-08-26,5,09/01/2012
2012-09-02,5,09/08/2012
2012-09-09,8,09/15/2012
2012-09-16,9,09/22/2012
2012-09-23,11,09/29/2012
2012-09-30,12,10/06/2012
2012-10-07,13,10/13/2012
2012-10-14,13,10/20/2012
2012-10-21,12,10/27/2012
2012-10-28,6,11/03/2012
2012-11-04,9,11/10/2012
2012-11-11,10,11/17/2012
2012-11-18,8,11/24/2012
2012-11-25,11,12/01/2012
2012-12-02,18,12/08/2012
2012-12-09,18,12/15/2012
2012-12-16,19,12/22/2012
2012-12-23,24,12/29/2012
2012-12-30,30,01/05/2013
2013-01-06,100,01/12/2013
2013-01-13,88,01/19/2013
2013-01-20,37,01/26/2013
2013-01-27,25,02/02/2013
2013-02-03,18,02/09/2013
2013-02-10,13,02/16/2013
2013-02-17,14,02/23/2013
2013-02-24,11,03/02/2013
2013-03-03,10,03/09/2013
2013-03-10,10,03/16/2013
2013-03-17,10,03/23/2013
2013-03-24,9,03/30/2013
2013-03-31,9,04/06/2013
2013-04-07,9,04/13/2013
2013-04-14,8,04/20/2013
2013-04-21,7,04/27/2013
2013-04-28,6,05/04/2013
2013-05-05,5,05/11/2013
2013-05-12,5,05/18/2013
2013-05-19,4,05/25/2013
2013-05-26,4,06/01/2013
2013-06-02,3,06/08/2013
2013-06-09,3,06/15/2013
2013-06-16,3,06/22/2013
2013-06-23,3,06/29/2013
2013-06-30,2,07/06/2013
2013-07-07,2,07/13/2013
2013-07-14,3,07/20/2013
2013-07-21,3,07/27/2013
2013-07-28,3,08/03/2013
2013-08-04,3,08/10/2013
2013-08-11,4,08/17/2013
2013-08-18,4,08/24/2013
2013-08-25,5,08/31/2013
2013-09-01,6,09/07/2013
2013-09-08,9,09/14/2013
2013-09-15,12,09/21/2013
2013-09-22,16,09/28/2013
2013-09-29,17,10/05/2013
2013-10-06,16,10/12/2013
2013-10-13,16,10/19/2013
2013-10-20,17,10/26/2013
2013-10-27,14,11/02/2013
2013-11-03,14,11/09/2013
2013-11-10,13,11/16/2013
2013-11-17,12,11/23/2013
2013-11-24,10,11/30/2013
2013-12-01,9,12/07/2013
2013-12-08,11,12/14/2013
2013-12-15,12,12/21/2013
2013-12-22,16,12/28/2013
2013-12-29,19,01/04/2014
2014-01-05,23,01/11/2014
2014-01-12,22,01/18/2014
2014-01-19,20,01/25/2014
2014-01-26,18,02/01/2014
2014-02-02,14,02/08/2014
2014-02-09,12,02/15/2014
2014-02-16,11,02/22/2014
2014-02-23,10,03/01/2014
2014-03-02,9,03/08/2014
2014-03-09,10,03/15/2014
2014-03-16,10,03/22/2014
2014-03-23,13,03/29/2014
2014-03-30,12,04/05/2014
2014-04-06,12,04/12/2014
2014-04-13,9,04/19/2014
2014-04-20,9,04/26/2014
2014-04-27,6,05/03/2014
2014-05-04,6,05/10/2014
2014-05-11,5,05/17/2014
2014-05-18,5,05/24/2014
2014-05-25,4,05/31/2014
2014-06-01,4,06/07/2014
2014-06-08,3,06/14/2014
2014-06-15,3,06/21/2014
2014-06-22,3,06/28/2014
2014-06-29,4,07/05/2014
2014-07-06,3,07/12/2014
2014-07-13,3,07/19/2014
2014-07-20,3,07/26/2014
2014-07-27,3,08/02/2014
2014-08-03,3,08/09/2014
2014-08-10,3,08/16/2014
2014-08-17,4,08/23/2014
2014-08-24,4,08/30/2014
2014-08-31,6,09/06/2014
2014-09-07,8,09/13/2014
2014-09-14,12,09/20/2014
2014-09-21,13,09/27/2014
2014-09-28,17,10/04/2014
2014-10-05,20,10/11/2014
2014-10-12,23,10/18/2014
2014-10-19,22,10/25/2014
2014-10-26,16,11/01/2014
2014-11-02,16,11/08/2014
2014-11-09,13,11/15/2014
2014-11-16,12,11/22/2014
2014-11-23,11,11/29/2014
2014-11-30,15,12/06/2014
2014-12-07,16,12/13/2014
2014-12-14,23,12/20/2014
2014-12-21,27,12/27/2014
2014-12-28,34,01/03/2015
2015-01-04,30,01/10/2015
2015-01-11,27,01/17/2015
2015-01-18,25,01/24/2015
2015-01-25,22,01/31/2015
2015-02-01,18,02/07/2015
2015-02-08,17,02/14/2015
2015-02-15,14,02/21/2015
2015-02-22,13,02/28/2015
2015-03-01,12,03/07/2015
2015-03-08,11,03/14/2015
2015-03-15,9,03/21/2015
2015-03-22,9,03/28/2015
2015-03-29,8,04/04/2015
2015-04-05,9,04/11/2015
2015-04-12,8,04/18/2015
2015-04-19,8,04/25/2015
2015-04-26,6,05/02/2015
2015-05-03,6,05/09/2015
2015-05-10,5,05/16/2015
2015-05-17,5,05/23/2015
2015-05-24,5,05/30/2015
2015-05-31,5,06/06/2015
2015-06-07,4,06/13/2015
2015-06-14,4,06/20/2015
2015-06-21,4,06/27/2015
2015-06-28,3,07/04/2015
2015-07-05,3,07/11/2015
2015-07-12,3,07/18/2015
2015-07-19,3,07/25/2015
2015-07-26,3,08/01/2015
2015-08-02,4,08/08/2015
2015-08-09,3,08/15/2015
2015-08-16,4,08/22/2015
2015-08-23,4,08/29/2015
2015-08-30,5,09/05/2015
2015-09-06,6,09/12/2015
2015-09-13,8,09/19/2015
2015-09-20,12,09/26/2015
2015-09-27,14,10/03/2015
2015-10-04,18,10/10/2015
2015-10-11,18,10/17/2015
2015-10-18,18,10/24/2015
