County,FIPS,County Centroid,year,CDC Week,Week Ending Date,Count,Disease_INFLUENZA_A,Disease_INFLUENZA_B,Disease_INFLUENZA_UNSPECIFIED,UnempRate,GDP,GDP_change,Population,flu,fluSymptoms,fever,cough,soreThroat
ALBANY,36001,"(42.5882713, -73.9740136)",2009,40,10/10/2009,4,4,0,0,6.8,-,-,-,0.211869,0.17442000000000002,0.206388,0.1126385,0.0876
ALBANY,36001,"(42.5882713, -73.9740136)",2009,41,10/17/2009,11,11,0,0,6.8,-,-,-,0.33417600000000003,0.176985,0.13891499999999998,0.083486,0.067525
ALBANY,36001,"(42.5882713, -73.9740136)",2009,42,10/24/2009,27,27,0,0,6.8,-,-,-,0.7611,0.6579225000000001,0.4920750000000001,0.1562405,0.09110399999999999
ALBANY,36001,"(42.5882713, -73.9740136)",2009,43,10/31/2009,87,86,1,0,6.8,-,-,-,0.8496,0.855,0.5754239999999999,0.2143765,0.07884
ALBANY,36001,"(42.5882713, -73.9740136)",2009,44,11/07/2009,77,76,1,0,6.8,-,-,-,0.5304690000000001,0.7387199999999999,0.3968999999999999,0.2463175,0.125195
ALBANY,36001,"(42.5882713, -73.9740136)",2009,45,11/14/2009,61,61,0,0,6.8,-,-,-,0.3911700000000001,0.310023,0.5670000000000001,0.232375,0.10687200000000001
ALBANY,36001,"(42.5882713, -73.9740136)",2009,46,11/21/2009,29,29,0,0,6.8,-,-,-,0.1416,0.13338,0.4432320000000001,0.134355,0.08395
ALBANY,36001,"(42.5882713, -73.9740136)",2009,47,11/28/2009,17,17,0,0,6.8,-,-,-,0.04779,0.040698000000000005,0.219834,0.13503099999999998,0.112347
ALBANY,36001,"(42.5882713, -73.9740136)",2009,48,12/05/2009,8,8,0,0,6.8,-,-,-,0.022302000000000002,0.031464000000000006,0.28917,0.249951,0.22053299999999998
ALBANY,36001,"(42.5882713, -73.9740136)",2009,49,12/12/2009,5,5,0,0,6.8,-,-,-,0.019116,0.030523500000000002,0.248994,0.08551399999999999,0.070518
ALBANY,36001,"(42.5882713, -73.9740136)",2009,50,12/19/2009,1,1,0,0,6.8,-,-,-,0.017523,0.009576,0.181764,0.1521,0.196954
ALBANY,36001,"(42.5882713, -73.9740136)",2009,51,12/26/2009,0,0,0,0,6.8,-,-,-,0.011682,0.01368,0.05896800000000001,0.223925,0.195932
ALBANY,36001,"(42.5882713, -73.9740136)",2010,1,01/09/2010,0,0,0,0,7.0,-,-,304078.0,0.0103545,0.011115000000000002,0.20736000000000004,0.11660999999999999,0.080592
ALBANY,36001,"(42.5882713, -73.9740136)",2010,2,01/16/2010,0,0,0,0,7.0,-,-,304078.0,0.009734999999999999,0.01026,0.281637,0.16731,0.0
ALBANY,36001,"(42.5882713, -73.9740136)",2010,3,01/23/2010,0,0,0,0,7.0,-,-,304078.0,0.003186,0.0038475,0.165726,0.112554,0.09738200000000001
ALBANY,36001,"(42.5882713, -73.9740136)",2010,4,01/30/2010,2,2,0,0,7.0,-,-,304078.0,0.002124,0.0023940000000000003,0.31104000000000004,0.075712,0.327332
ALBANY,36001,"(42.5882713, -73.9740136)",2010,5,02/06/2010,1,1,0,0,7.0,-,-,304078.0,0.001593,0.0,0.156978,0.09464,0.19753800000000002
ALBANY,36001,"(42.5882713, -73.9740136)",2010,6,02/13/2010,3,3,0,0,7.0,-,-,304078.0,0.002124,0.0029925000000000004,0.30132,0.035321,0.19272
ALBANY,36001,"(42.5882713, -73.9740136)",2010,7,02/20/2010,0,0,0,0,7.0,-,-,304078.0,0.003186,0.009234000000000001,0.21384000000000006,0.1531985,0.16811900000000002
ALBANY,36001,"(42.5882713, -73.9740136)",2010,8,02/27/2010,0,0,0,0,7.0,-,-,304078.0,0.0030975000000000004,0.00171,0.26956800000000003,0.061347000000000006,0.13811600000000002
ALBANY,36001,"(42.5882713, -73.9740136)",2010,9,03/06/2010,0,0,0,0,7.0,-,-,304078.0,0.0008849999999999999,0.0012825,0.16313400000000006,0.100555,0.0
ALBANY,36001,"(42.5882713, -73.9740136)",2010,10,03/13/2010,0,0,0,0,7.0,-,-,304078.0,0.0014160000000000002,0.0021375,0.18954,0.09802000000000001,0.160965
ALBANY,36001,"(42.5882713, -73.9740136)",2010,11,03/20/2010,0,0,0,0,7.0,-,-,304078.0,0.0017700000000000003,0.0,0.169128,0.042588,0.073876
ALBANY,36001,"(42.5882713, -73.9740136)",2010,12,03/27/2010,0,0,0,0,7.0,-,-,304078.0,0.00035400000000000004,0.0012825,0.207522,0.08576749999999997,0.063802
ALBANY,36001,"(42.5882713, -73.9740136)",2010,13,04/03/2010,0,0,0,0,7.0,-,-,304078.0,0.0017700000000000003,0.0012825,0.172044,0.13688999999999998,0.238418
ALBANY,36001,"(42.5882713, -73.9740136)",2010,14,04/10/2010,0,0,0,0,7.0,-,-,304078.0,0.0013275,0.0021375,0.25758000000000003,0.125229,0.302804
ALBANY,36001,"(42.5882713, -73.9740136)",2010,15,04/17/2010,0,0,0,0,7.0,-,-,304078.0,0.000531,0.0004275,0.17058600000000002,0.10292099999999997,0.18067500000000006
ALBANY,36001,"(42.5882713, -73.9740136)",2010,16,04/24/2010,0,0,0,0,7.0,-,-,304078.0,0.0007965,0.0015389999999999998,0.219834,0.043602,0.3285
ALBANY,36001,"(42.5882713, -73.9740136)",2010,17,05/01/2010,0,0,0,0,7.0,-,-,304078.0,0.001062,0.0,0.3419010000000001,0.066079,0.228344
ALBANY,36001,"(42.5882713, -73.9740136)",2010,18,05/08/2010,0,0,0,0,7.0,-,-,304078.0,0.00035400000000000004,0.002565,0.2799360000000001,0.062360999999999986,0.104098
ALBANY,36001,"(42.5882713, -73.9740136)",2010,19,05/15/2010,0,0,0,0,7.0,-,-,304078.0,0.0007965,0.0012825,0.21384000000000006,0.032448000000000005,0.103368
ALBANY,36001,"(42.5882713, -73.9740136)",2010,20,05/22/2010,0,0,0,0,7.0,-,-,304078.0,0.00017700000000000002,0.0008550000000000001,0.231012,0.068107,0.0803
ALBANY,36001,"(42.5882713, -73.9740136)",2010,40,10/09/2010,0,0,0,0,7.0,-,-,304078.0,0.009558,0.00171,0.158841,0.08357049999999999,0.07708799999999999
ALBANY,36001,"(42.5882713, -73.9740136)",2010,41,10/16/2010,0,0,0,0,7.0,-,-,304078.0,0.003186,0.002565,0.202014,0.16283150000000002,0.161184
ALBANY,36001,"(42.5882713, -73.9740136)",2010,42,10/23/2010,0,0,0,0,7.0,-,-,304078.0,0.006814499999999999,0.0053865,0.13340700000000005,0.137904,0.223015
ALBANY,36001,"(42.5882713, -73.9740136)",2010,43,10/30/2010,0,0,0,0,7.0,-,-,304078.0,0.003186,0.001368,0.23895,0.14365,0.0803
ALBANY,36001,"(42.5882713, -73.9740136)",2010,44,11/06/2010,0,0,0,0,7.0,-,-,304078.0,0.004425000000000001,0.001368,0.4613760000000001,0.09464,0.23652
ALBANY,36001,"(42.5882713, -73.9740136)",2010,45,11/13/2010,1,0,1,0,7.0,-,-,304078.0,0.002124,0.0038475000000000002,0.14320800000000006,0.198237,0.15096400000000001
ALBANY,36001,"(42.5882713, -73.9740136)",2010,46,11/20/2010,1,1,0,0,7.0,-,-,304078.0,0.0028320000000000003,0.0,0.13632300000000006,0.151593,0.08176
ALBANY,36001,"(42.5882713, -73.9740136)",2010,47,11/27/2010,0,0,0,0,7.0,-,-,304078.0,0.002124,0.002736,0.27718200000000004,0.14872,0.0
ALBANY,36001,"(42.5882713, -73.9740136)",2010,48,12/04/2010,1,1,0,0,7.0,-,-,304078.0,0.002478,0.0,0.207765,0.219024,0.08738099999999999
ALBANY,36001,"(42.5882713, -73.9740136)",2010,49,12/11/2010,1,0,1,0,7.0,-,-,304078.0,0.002478,0.002052,0.19747800000000004,0.059487999999999985,0.101178
ALBANY,36001,"(42.5882713, -73.9740136)",2010,50,12/18/2010,3,3,0,0,7.0,-,-,304078.0,0.002478,0.0023940000000000003,0.26244,0.133848,0.09198
