FIPS A,FIPS B,County A,County B,Estimate flow B to A,MOE flow B to A,Estimate flow A to B,MOE flow A to B,Estimate net migration B to A,MOE net migration B to A,Estimate gross migration between A and B,MOE gross migration between A and B
36001,36003,Albany County,Allegany County,20,24,23,25,-3,34,43,35
36001,36005,Albany County,Bronx County,906,232,456,172,450,288,"1,362",289
36001,36007,Albany County,Broome County,168,79,72,49,96,91,240,95
36001,36009,Albany County,Cattaraugus County,31,48,4,6,27,48,35,49
36001,36011,Albany County,Cayuga County,0,27,4,10,-4,10,4,10
36001,36013,Albany County,Chautauqua County,20,30,28,22,-8,38,48,36
36001,36017,Albany County,Chenango County,51,53,18,18,33,55,69,57
36001,36019,Albany County,Clinton County,65,36,132,86,-67,100,197,87
36001,36021,Albany County,Columbia County,300,145,41,26,259,141,341,152
36001,36023,Albany County,Cortland County,112,114,13,19,99,116,125,115
36001,36025,Albany County,Delaware County,37,34,30,27,7,41,67,45
36001,36027,Albany County,Dutchess County,467,175,250,108,217,207,717,205
36001,36029,Albany County,Erie County,371,208,104,48,267,208,475,220
36001,36031,Albany County,Essex County,51,38,84,60,-33,78,135,62
36001,36033,Albany County,Franklin County,111,62,58,42,53,77,169,72
36001,36035,Albany County,Fulton County,60,39,71,55,-11,64,131,71
36001,36037,Albany County,Genesee County,0,27,3,5,-3,5,3,5
36001,36039,Albany County,Greene County,274,111,140,97,134,146,414,148
36001,36043,Albany County,Herkimer County,190,146,18,23,172,147,208,149
36001,36045,Albany County,Jefferson County,164,99,45,57,119,113,209,116
36001,36047,Albany County,Kings County,751,238,336,120,415,268,"1,087",265
36001,36049,Albany County,Lewis County,0,27,6,10,-6,10,6,10
36001,36051,Albany County,Livingston County,26,37,25,25,1,44,51,45
36001,36053,Albany County,Madison County,50,33,71,46,-21,55,121,58
36001,36055,Albany County,Monroe County,154,83,247,99,-93,116,401,141
36001,36057,Albany County,Montgomery County,41,29,228,137,-187,140,269,140
36001,36059,Albany County,Nassau County,437,161,122,60,315,173,559,172
36001,36061,Albany County,New York County,696,236,311,136,385,273,"1,007",273
36001,36063,Albany County,Niagara County,25,29,3,6,22,30,28,30
36001,36065,Albany County,Oneida County,154,104,137,73,17,127,291,127
36001,36067,Albany County,Onondaga County,293,115,178,82,115,158,471,122
36001,36069,Albany County,Ontario County,223,130,35,29,188,135,258,131
36001,36071,Albany County,Orange County,188,100,44,31,144,105,232,103
36001,36073,Albany County,Orleans County,0,27,7,10,-7,10,7,10
36001,36075,Albany County,Oswego County,86,66,71,51,15,74,157,92
36001,36077,Albany County,Otsego County,172,107,187,94,-15,147,359,138
36001,36079,Albany County,Putnam County,305,317,15,21,290,318,320,318
36001,36081,Albany County,Queens County,402,142,244,100,158,177,646,170
36001,36083,Albany County,Rensselaer County,"3,132",647,"3,433",730,-301,"1,016","6,565",933
36001,36085,Albany County,Richmond County,58,43,142,145,-84,152,200,150
36001,36087,Albany County,Rockland County,162,101,190,96,-28,143,352,135
36001,36089,Albany County,St. Lawrence County,131,89,131,89,0,134,262,116
36001,36091,Albany County,Saratoga County,"1,775",348,"2,157",443,-382,599,"3,932",525
36001,36093,Albany County,Schenectady County,"1,656",500,"1,424",448,232,682,"3,080",661
36001,36095,Albany County,Schoharie County,358,161,141,60,217,179,499,165
36001,36097,Albany County,Schuyler County,12,19,0,18,12,19,12,19
36001,36099,Albany County,Seneca County,0,27,5,9,-5,9,5,9
36001,36101,Albany County,Steuben County,0,27,24,25,-24,25,24,25
36001,36103,Albany County,Suffolk County,524,142,139,65,385,158,663,155
36001,36105,Albany County,Sullivan County,95,60,69,55,26,81,164,80
36001,36107,Albany County,Tioga County,19,20,0,24,19,20,19,20
36001,36109,Albany County,Tompkins County,90,94,38,41,52,103,128,103
36001,36111,Albany County,Ulster County,298,120,143,69,155,137,441,139
36001,36113,Albany County,Warren County,257,146,84,57,173,162,341,151
36001,36115,Albany County,Washington County,126,105,71,66,55,120,197,128
36001,36117,Albany County,Wayne County,13,19,0,27,13,19,13,19
36001,36119,Albany County,Westchester County,279,102,330,174,-51,185,609,218
36001,36123,Albany County,Yates County,11,16,4,8,7,17,15,18
36003,36001,Allegany County,Albany County,23,25,20,24,3,34,43,35
36003,36005,Allegany County,Bronx County,78,41,2,4,76,41,80,41
36003,36007,Allegany County,Broome County,9,12,0,27,9,12,9,12
36003,36009,Allegany County,Cattaraugus County,423,163,164,62,259,179,587,169
36003,36011,Allegany County,Cayuga County,12,18,0,27,12,18,12,18
36003,36013,Allegany County,Chautauqua County,86,48,34,29,52,57,120,56
36003,36015,Allegany County,Chemung County,13,15,11,19,2,25,24,24
36003,36017,Allegany County,Chenango County,5,7,0,24,5,7,5,7
36003,36019,Allegany County,Clinton County,7,14,6,10,1,17,13,18
36003,36021,Allegany County,Columbia County,20,18,6,10,14,21,26,20
36003,36023,Allegany County,Cortland County,4,8,0,24,4,8,4,8
36003,36027,Allegany County,Dutchess County,32,31,0,27,32,31,32,31
36003,36029,Allegany County,Erie County,216,71,80,66,136,93,296,99
36003,36033,Allegany County,Franklin County,5,10,21,35,-16,36,26,37
36003,36037,Allegany County,Genesee County,29,21,29,31,0,37,58,38
36003,36039,Allegany County,Greene County,16,19,0,24,16,19,16,19
36003,36047,Allegany County,Kings County,51,37,19,20,32,45,70,40
36003,36049,Allegany County,Lewis County,0,24,14,23,-14,23,14,23
36003,36051,Allegany County,Livingston County,101,42,59,50,42,69,160,62
36003,36053,Allegany County,Madison County,0,24,10,14,-10,14,10,14
36003,36055,Allegany County,Monroe County,248,76,140,74,108,107,388,106
36003,36059,Allegany County,Nassau County,7,12,0,27,7,12,7,12
36003,36061,Allegany County,New York County,22,20,63,91,-41,89,85,98
36003,36063,Allegany County,Niagara County,28,19,93,121,-65,127,121,118
36003,36065,Allegany County,Oneida County,27,23,9,17,18,28,36,30
36003,36067,Allegany County,Onondaga County,65,36,13,27,52,45,78,45
36003,36069,Allegany County,Ontario County,0,24,75,54,-75,54,75,54
36003,36071,Allegany County,Orange County,21,25,1,3,20,26,22,25
36003,36073,Allegany County,Orleans County,51,42,0,24,51,42,51,42
