FIPS,State,County,PopChangeRate1718,PopChangeRate1018,TotalPopEst2018,NetMigrationRate1018,NaturalChangeRate1018,Net_International_Migration_Rate_2010_2018,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,Ed5CollegePlusNum,Ed3SomeCollegeNum,Ed2HSDiplomaOnlyNum,Ed1LessThanHSNum,TotalPop25Plus,ForeignBornAfricaPct,TotalPopACS,TotalOccHU,ForeignBornAsiaPct,Ed4AssocDegreeNum,ForeignBornNum,HH65PlusAloneNum,OwnHomeNum,FemaleHHNum,TotalHH,NonEnglishHHNum,ForeignBornCentralSouthAmPct,ForeignBornCentralSouthAmNum,ForeignBornCaribPct,ForeignBornCaribNum,ForeignBornAfricaNum,ForeignBornAsiaNum,ForeignBornMexNum,ForeignBornEuropeNum,Age65AndOlderNum2010,TotalPop2010,LandAreaSQMiles2010,Under18Num2010,Net_International_Migration_2000_2010,NaturalChangeNum0010,NetMigrationNum0010,TotalPopEst2012,TotalPopEst2013,TotalPopEst2010,TotalPopEst2014,TotalPopEst2011,Net_International_Migration_2010_2018,NaturalChange1018,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,NetMigration1018,TotalPopEstBase2010
36000,NY,New York,-0.25,0.73,19542209.0,-2.68,3.42,3.38,2.12,-4.41,5.12,4.7477394219999995,411.19,22.32,13.51,58.34,14.37,7.26,0.28,17.63,3.02,-3.88,-1.02,35.74,2.68,19.16,-0.73,11304247,2783857,1406194,53908,3416922,585849,22.68198447,3.7069832710000004,1.176554791,8.145072172,13.87501282,26.28897747,15.87864965,8.667993235,35.28936683,2.63,14.32031397,11.64317082,53.98657485,4820813,2169152,3591287,1895439,13660809,0.974294265,19798228,7302710,6.524775854,1184118,4490631.0,850267,3942483,1045771,7302710,594811,5.553613182,1099517.0,5.565482931,1101867.0,192893.0,1291790.0,232937.0,733917.0,2617943,19378102,47126.4,4324929,902155.0,973332.5,-838667.5,19574549,19628043,19400080,19656330,19498514,655243.0,662722.0,19661411,19641589,19590719,-520593.0,19378124
36001,NY,Albany,-0.19,1.0,307117.0,-0.11,1.11,2.63,3.27,0.55,1.46,1.985896593,581.87,19.93,13.91,75.99,11.96,4.77,0.15,4.9,2.51,-4.05,15.49,80.75,-6.98,64.3,52.94,231152,36396,14500,453,14917,7647,9.837967464,1.9845745030000002,0.14453302199999998,2.38323124,7.447530427,24.69768055,15.96617732,11.33996963,40.54864206,2.32,10.65993492,11.87787136,56.84820061,83057,32704,50589,15255,204833,0.69511958,308580,125376,5.202216605,23228,30358.0,14892,71274,13365,125376,2988,0.854559596,2637.0,0.862337157,2661.0,2145.0,16053.0,446.0,6124.0,42314,304204,522.8,60631,5860.5,4311.0,1612.5,305717,306613,304078,307190,304564,7985.0,3383.0,307476,307628,307717,-344.0,304208
36003,NY,Allegany,-0.55,-5.17,46430.0,-5.56,0.39,0.76,-1.96,-2.65,1.39,0.483751179,47.55,21.61,15.21,95.41,1.01,0.92,0.2,1.37,1.14,-3.15,41.55,26.69,-12.61,47.58,26.59,46701,494,451,97,670,557,2.434599156,0.506329114,0.021097046,0.678658133,10.61290429,37.796314,18.74979394,13.04935544,19.79163232,2.34,10.52195983,13.70006621,74.28271905,6003,5687,11464,3219,30331,0.19620253199999999,47400,18124,1.221518987,3958,1154.0,2483,13463,1907,18124,123,0.113924051,54.0,0.128691983,61.0,93.0,579.0,10.0,240.0,7443,48946,1029.31,10576,241.0,694.0,-1318.0,48201,47892,48962,47646,48787,374.0,191.0,47324,47039,46688,-2723.0,48917
36005,NY,Bronx,-0.53,3.23,1432132.0,-3.46,6.69,7.59,3.94,-9.24,9.64,7.412845054,32903.32,26.58,10.53,10.92,30.08,3.42,0.25,53.53,5.29,-21.92,0.09,22.76,-0.8,15.0,-4.93,151209,416695,47335,3460,741413,73243,35.2715191,1.817087796,2.913357594,18.08295448,28.50079903,27.61194513,17.49779485,7.0284480689999995,19.36101292,2.85,30.43548478,11.08960021,19.71471023,179549,162270,256066,264309,927374,3.8357078980000003,1455846,495356,2.7355915389999996,65180,513499.0,54933,97658,150764,495356,89575,7.788804585,113393.0,19.00887869,276740.0,55842.0,39826.0,42414.0,26454.0,145882,1385108,42.1,368196,98911.0,128657.0,-123347.5,1411715,1422340,1387353,1431538,1397366,105311.0,92802.0,1440726,1445237,1439725,-48023.0,1384603
36007,NY,Broome,-0.67,-4.4,191659.0,-4.11,-0.29,1.68,0.03,-2.64,0.18,1.537801159,284.23,20.22,16.37,86.28,4.41,3.5,0.16,3.38,2.54,-4.56,41.46,26.49,-6.82,70.05,59.32,173074,8850,7019,328,6778,5087,6.734514899,1.6724113319999998,0.075972344,1.609977037,9.57535323,31.35544907,18.45734272,12.56298054,28.04887444,2.36,11.51342916,14.30963829,65.67919717,36408,23958,40700,12429,129802,0.22230833600000002,196124,78821,3.431502519,16307,13208.0,11279,51769,9075,78821,1269,0.46807122,918.0,0.7168933940000001,1406.0,436.0,6730.0,149.0,3280.0,32844,200600,705.77,40559,3081.0,356.0,-5283.5,198658,197911,200478,197251,199346,3365.0,-579.0,195794,194345,192959,-8240.0,200675
36009,NY,Cattaraugus,-0.52,-4.23,76840.0,-4.85,0.62,0.39,-4.33,-6.78,1.89,0.159662564,61.39,23.41,15.46,91.95,1.2,0.65,2.94,1.67,1.7,-6.44,15.14,37.53,10.85,70.04,60.92,73849,966,524,2361,1345,1363,1.950751519,0.5807483210000001,0.110009594,0.9204677990000001,11.63136031,39.5011372,17.40756753,12.53547866,18.92445631,2.38,10.76821234,13.24906219,71.29527472,10068,9261,21015,6188,53201,0.025583626,78175,31723,0.633194755,6669,1525.0,4203,22617,3416,31723,292,0.295490886,231.0,0.16501439099999998,129.0,20.0,495.0,86.0,454.0,12419,80317,1308.35,18801,134.0,1589.0,-5687.0,79354,79000,80230,78685,79819,315.0,499.0,77951,77708,77245,-3889.0,80343
36011,NY,Cayuga,-0.41,-3.45,77145.0,-3.68,0.24,0.5,-2.36,-3.76,1.3,0.305969147,115.71,21.62,15.29,91.34,3.76,0.48,0.31,2.37,1.79,-3.52,-4.96,11.85,3.7,17.69,68.75,73098,3009,387,252,1896,1431,2.156564818,0.688211034,0.076609763,0.8241058929999999,12.38733867,32.64474728,19.024442999999998,13.49592617,22.44754488,2.36,12.01794578,13.31933308,70.81265114,12453,10554,18110,6872,55476,0.116191473,78319,31428,0.515839068,7487,1689.0,4186,22255,3777,31428,259,0.53371468,418.0,0.14428172,113.0,91.0,404.0,60.0,539.0,12235,80026,691.58,17298,250.5,1065.0,-3075.0,79509,79090,79901,78768,79693,403.0,188.0,78300,77666,77463,-2944.0,80017
36013,NY,Chautauqua,-0.52,-5.04,127939.0,-4.73,-0.31,1.3,-3.47,-4.36,0.36,0.465639395,127.24,21.83,16.59,89.29,2.05,0.5,0.43,6.11,2.04,-6.24,-2.02,37.12,3.23,39.65,59.48,120463,2763,676,576,8241,2751,2.125399324,0.630512205,0.259847454,1.4117735880000002,11.48910707,35.6397243,18.41603688,13.23884666,21.216285100000004,2.35,11.37723421,12.960761,70.01868524,19146,16619,32162,10368,90242,0.077954236,130846,52983,0.523516195,11947,2781.0,6867,37098,6028,52983,748,0.575485685,753.0,0.157436987,206.0,102.0,685.0,340.0,825.0,22381,134905,1060.23,29446,650.0,506.5,-6087.5,133302,132848,134725,131750,134198,1750.0,-417.0,130634,129350,128609,-6369.0,134907
36015,NY,Chemung,-0.73,-5.22,84254.0,-5.56,0.33,0.4,-2.46,-3.53,1.39,0.418798165,218.07,22.38,15.7,87.41,6.22,1.17,0.23,2.52,2.67,-5.46,7.34,47.24,9.57,39.22,80.93,77643,5528,1041,206,2240,2372,2.7980157219999997,0.803379257,0.132361912,0.22790214600000003,9.553589249,35.31202182,17.85310359,12.14989023,25.13139512,2.37,11.95765059,12.95868913,68.10812370000001,15110,10734,21231,5744,60124,0.036831141,86883,34664,1.05659335,7305,2431.0,4492,23609,4145,34664,79,0.341839025,297.0,0.257817985,224.0,32.0,918.0,115.0,698.0,13943,88830,407.35,19880,381.5,1269.0,-3216.0,89136,88192,88898,87179,88893,359.0,295.0,86718,85676,84874,-4939.0,88849
36017,NY,Chenango,-0.53,-5.68,47536.0,-5.08,-0.61,0.09,-1.8,-1.6,0.31,0.075986361,56.49,22.74,16.65,95.62,0.64,0.4,0.3,1.84,1.29,-3.11,-19.85,38.89,9.42,69.53,71.69,48265,323,200,151,929,649,1.6713491790000001,0.6644382010000001,0.030761028,0.48593727,12.16399988,38.91959145,18.30386852,11.96435288,18.64818726,2.36,9.762921514,13.35591224,74.92760026,6445,6326,13451,4204,34561,0.028710292999999998,48763,20373,0.381436745,4135,815.0,2721,15265,1989,20373,99,0.252240428,123.0,0.20302278399999998,99.0,14.0,186.0,15.0,324.0,8403,50477,893.55,11479,39.0,158.0,-823.5,49887,49479,50401,49326,50183,44.0,-305.0,48772,48317,47790,-2560.0,50511
