FIPS,Countyname,Postal,LineCode,IndustryName,2012,2013,2014,2015
36001,Albany,NY,1,All Industries,24791703,25479702,26405639,26254937
36001,Albany,NY,2,  Private goods-producing industries,2094613,2185497,2426629,2396688
36001,Albany,NY,3,  Private services-providing industries,16443424,16582954,17580590,17653470
36001,Albany,NY,4,  Government and government enterprises,6253666,6708942,6404189,6215411
36003,Allegany,NY,1,All Industries,1016724,1054031,1100681,1072033
36003,Allegany,NY,2,  Private goods-producing industries,298802,336859,336312,320075
36003,Allegany,NY,3,  Private services-providing industries,451566,446182,470433,467762
36003,Allegany,NY,4,  Government and government enterprises,266356,270967,293770,284115
36005,Bronx,NY,1,All Industries,29926313,29067477,28878091,28787000
36005,Bronx,NY,2,  Private goods-producing industries,1711436,1847013,1842085,1887848
36005,Bronx,NY,3,  Private services-providing industries,21588618,20448648,20786053,20827005
36005,Bronx,NY,4,  Government and government enterprises,6626258,6768598,6255420,6078935
36007,Broome,NY,1,All Industries,8695765,8525008,8341316,7987631
36007,Broome,NY,2,  Private goods-producing industries,1922728,1902979,1813830,1647421
36007,Broome,NY,3,  Private services-providing industries,5292108,5128936,5106056,4971233
36007,Broome,NY,4,  Government and government enterprises,1480929,1492698,1422043,1369994
36009,Cattaraugus,NY,1,All Industries,2377326,2430050,2385269,2378817
36009,Cattaraugus,NY,2,  Private goods-producing industries,534197,570184,539201,521713
36009,Cattaraugus,NY,3,  Private services-providing industries,1148664,1153825,1187464,1218601
36009,Cattaraugus,NY,4,  Government and government enterprises,694466,705960,659424,639950
36011,Cayuga,NY,1,All Industries,2128462,2233814,2265000,2235809
36011,Cayuga,NY,2,  Private goods-producing industries,539590,592397,615888,598286
36011,Cayuga,NY,3,  Private services-providing industries,1091490,1146713,1165544,1178004
36011,Cayuga,NY,4,  Government and government enterprises,497383,495015,484452,460723
36013,Chautauqua,NY,1,All Industries,4239339,4300218,4220253,4178799
36013,Chautauqua,NY,2,  Private goods-producing industries,1414647,1493829,1421036,1382959
36013,Chautauqua,NY,3,  Private services-providing industries,2116117,2080754,2071668,2118439
36013,Chautauqua,NY,4,  Government and government enterprises,708575,725528,727285,678881
36015,Chemung,NY,1,All Industries,3239426,3395081,3474981,3399620
36015,Chemung,NY,2,  Private goods-producing industries,803190,842548,885401,920962
36015,Chemung,NY,3,  Private services-providing industries,1853843,1962351,2000696,1931585
36015,Chemung,NY,4,  Government and government enterprises,582393,590373,589374,548713
36017,Chenango,NY,1,All Industries,1565538,1566822,1623356,1682345
36017,Chenango,NY,2,  Private goods-producing industries,579643,618156,611949,645295
36017,Chenango,NY,3,  Private services-providing industries,704915,660026,713417,749256
36017,Chenango,NY,4,  Government and government enterprises,280979,288452,298174,288441
36019,Clinton,NY,1,All Industries,3004272,3102257,3044799,3030905
36019,Clinton,NY,2,  Private goods-producing industries,518528,546625,551448,564943
36019,Clinton,NY,3,  Private services-providing industries,1734951,1812662,1764770,1752015
36019,Clinton,NY,4,  Government and government enterprises,750793,743208,729026,715152
36021,Columbia,NY,1,All Industries,1895996,1992658,2050708,2034681
36021,Columbia,NY,2,  Private goods-producing industries,361504,394861,408326,380639
36021,Columbia,NY,3,  Private services-providing industries,1178432,1244936,1282992,1291005
36021,Columbia,NY,4,  Government and government enterprises,356060,353029,359640,363369
36023,Cortland,NY,1,All Industries,1576938,1630130,1679612,1734570
36023,Cortland,NY,2,  Private goods-producing industries,450279,485152,499848,556018
36023,Cortland,NY,3,  Private services-providing industries,865261,860978,887583,890905
36023,Cortland,NY,4,  Government and government enterprises,261398,284055,292244,290220
36025,Delaware,NY,1,All Industries,1419923,1476849,1479029,1499121
36025,Delaware,NY,2,  Private goods-producing industries,474028,492748,500561,619820
36025,Delaware,NY,3,  Private services-providing industries,664561,677782,676299,605656
36025,Delaware,NY,4,  Government and government enterprises,281335,306194,302279,277956
36027,Dutchess,NY,1,All Industries,11412358,11817608,11724250,11827685
36027,Dutchess,NY,2,  Private goods-producing industries,2471494,2511144,2345943,2489973
36027,Dutchess,NY,3,  Private services-providing industries,6876208,7216050,7368142,7460058
36027,Dutchess,NY,4,  Government and government enterprises,2064655,2090383,2007861,1885498
36029,Erie,NY,1,All Industries,44976857,45041935,47076629,47890306
36029,Erie,NY,2,  Private goods-producing industries,7990065,7645007,7701083,7488137
36029,Erie,NY,3,  Private services-providing industries,30183437,30429581,32614586,33734397
36029,Erie,NY,4,  Government and government enterprises,6803355,6964822,6766867,6682104
36031,Essex,NY,1,All Industries,1174562,1247372,1231095,1176981
36031,Essex,NY,2,  Private goods-producing industries,213091,231441,223554,202656
36031,Essex,NY,3,  Private services-providing industries,626504,668364,661811,645060
36031,Essex,NY,4,  Government and government enterprises,334967,347600,345763,329410
36033,Franklin,NY,1,All Industries,1514130,1522962,1460113,1416867
36033,Franklin,NY,2,  Private goods-producing industries,141409,152972,146563,141479
36033,Franklin,NY,3,  Private services-providing industries,689928,685990,694260,693592
36033,Franklin,NY,4,  Government and government enterprises,682794,684044,620163,583213
36035,Fulton,NY,1,All Industries,1326795,1325248,1305445,1308428
36035,Fulton,NY,2,  Private goods-producing industries,189755,,196844,
36035,Fulton,NY,3,  Private services-providing industries,810833,,845865,
36035,Fulton,NY,4,  Government and government enterprises,326207,314882,264399,262153
36037,Genesee,NY,1,All Industries,1951180,1993623,1992099,1946286
36037,Genesee,NY,2,  Private goods-producing industries,545467,588061,596850,596789
36037,Genesee,NY,3,  Private services-providing industries,986169,969961,947688,905200
36037,Genesee,NY,4,  Government and government enterprises,419544,435524,447303,444133
36039,Greene,NY,1,All Industries,1999946,1827067,1709946,1774864
36039,Greene,NY,2,  Private goods-producing industries,185117,196850,194418,214346
36039,Greene,NY,3,  Private services-providing industries,1424359,1246313,1135542,1205180
36039,Greene,NY,4,  Government and government enterprises,390470,383959,380210,356441
36041,Hamilton,NY,1,All Industries,122181,125637,140744,128485
36041,Hamilton,NY,2,  Private goods-producing industries,,11318,,
36041,Hamilton,NY,3,  Private services-providing industries,,63377,,
36041,Hamilton,NY,4,  Government and government enterprises,48580,50950,67576,58801
36043,Herkimer,NY,1,All Industries,1356131,1413099,1415415,1380700
36043,Herkimer,NY,2,  Private goods-producing industries,390741,400427,381236,374079
36043,Herkimer,NY,3,  Private services-providing industries,674979,708470,727521,718931
36043,Herkimer,NY,4,  Government and government enterprises,290412,304220,306743,288114
36045,Jefferson,NY,1,All Industries,6327637,6286892,6161093,5871229
36045,Jefferson,NY,2,  Private goods-producing industries,,485142,499033,498561
36045,Jefferson,NY,3,  Private services-providing industries,,2099446,2098077,2027195
36045,Jefferson,NY,4,  Government and government enterprises,3820827,3702010,3563264,3344867
36047,Kings,NY,1,All Industries,59716251,60062655,62518949,63302841
36047,Kings,NY,2,  Private goods-producing industries,3689945,3802677,3853084,4152788
36047,Kings,NY,3,  Private services-providing industries,46284496,46240038,48616172,49246629
36047,Kings,NY,4,  Government and government enterprises,9741810,10017934,10057264,9906249
36049,Lewis,NY,1,All Industries,712340,744590,765780,738916
36049,Lewis,NY,2,  Private goods-producing industries,218269,233138,234750,236112
36049,Lewis,NY,3,  Private services-providing industries,319427,340822,356210,334795
36049,Lewis,NY,4,  Government and government enterprises,174644,170686,174753,168600
36051,Livingston,NY,1,All Industries,1687301,1754248,1734974,1774697
36051,Livingston,NY,2,  Private goods-producing industries,385100,426476,484334,552807
36051,Livingston,NY,3,  Private services-providing industries,771274,793109,801060,795722
36051,Livingston,NY,4,  Government and government enterprises,530927,534869,452431,432071
36053,Madison,NY,1,All Industries,1740873,1811017,1836734,1805981
36053,Madison,NY,2,  Private goods-producing industries,407729,439023,429207,424000
36053,Madison,NY,3,  Private services-providing industries,1027243,1051310,1087509,1084931
36053,Madison,NY,4,  Government and government enterprises,305901,320808,319939,297535
36055,Monroe,NY,1,All Industries,39926339,39703205,40495972,41597800
36055,Monroe,NY,2,  Private goods-producing industries,7375845,7518129,7082850,7227491
36055,Monroe,NY,3,  Private services-providing industries,28462691,27954619,29326731,30401426
36055,Monroe,NY,4,  Government and government enterprises,4087803,4228358,4095073,3987434
36057,Montgomery,NY,1,All Industries,1415887,1471192,1493089,1503916
36057,Montgomery,NY,2,  Private goods-producing industries,337753,360847,364261,381237
36057,Montgomery,NY,3,  Private services-providing industries,875310,893735,897706,912114
36057,Montgomery,NY,4,  Government and government enterprises,202823,216583,230739,211324
36059,Nassau,NY,1,All Industries,82095547,82617822,84577008,84365845
36059,Nassau,NY,2,  Private goods-producing industries,5715399,5955945,5798665,5818989
36059,Nassau,NY,3,  Private services-providing industries,66582157,66874756,69075566,69125642
36059,Nassau,NY,4,  Government and government enterprises,9797992,9787078,9714921,9439678
36061,New York,NY,1,All Industries,610107941,600904801,614783005,629682050
36061,New York,NY,2,  Private goods-producing industries,7877198,8011163,8378985,9027416
36061,New York,NY,3,  Private services-providing industries,574476082,564558952,577806496,592629505
36061,New York,NY,4,  Government and government enterprises,27754660,28332023,28596523,28024810
36063,Niagara,NY,1,All Industries,7869966,8092136,8279185,8244140
