FIPS,Countyname,Postal,LineCode,IndustryName,2013,2014,2015
36001,Albany,NY,1,All Industries,2.8,3.6,-0.6
36001,Albany,NY,2,  Private goods-producing industries,4.3,11.0,-1.2
36001,Albany,NY,3,  Private services-providing industries,0.8,6.0,0.4
36001,Albany,NY,4,  Government and government enterprises,7.3,-4.5,-2.9
36003,Allegany,NY,1,All Industries,3.7,4.4,-2.6
36003,Allegany,NY,2,  Private goods-producing industries,12.7,-0.2,-4.8
36003,Allegany,NY,3,  Private services-providing industries,-1.2,5.4,-0.6
36003,Allegany,NY,4,  Government and government enterprises,1.7,8.4,-3.3
36005,Bronx,NY,1,All Industries,-2.9,-0.7,-0.3
36005,Bronx,NY,2,  Private goods-producing industries,7.9,-0.3,2.5
36005,Bronx,NY,3,  Private services-providing industries,-5.3,1.7,0.2
36005,Bronx,NY,4,  Government and government enterprises,2.1,-7.6,-2.8
36007,Broome,NY,1,All Industries,-2.0,-2.2,-4.2
36007,Broome,NY,2,  Private goods-producing industries,-1.0,-4.7,-9.2
36007,Broome,NY,3,  Private services-providing industries,-3.1,-0.4,-2.6
36007,Broome,NY,4,  Government and government enterprises,0.8,-4.7,-3.7
36009,Cattaraugus,NY,1,All Industries,2.2,-1.8,-0.3
36009,Cattaraugus,NY,2,  Private goods-producing industries,6.7,-5.4,-3.2
36009,Cattaraugus,NY,3,  Private services-providing industries,0.4,2.9,2.6
36009,Cattaraugus,NY,4,  Government and government enterprises,1.7,-6.6,-3.0
36011,Cayuga,NY,1,All Industries,4.9,1.4,-1.3
36011,Cayuga,NY,2,  Private goods-producing industries,9.8,4.0,-2.9
36011,Cayuga,NY,3,  Private services-providing industries,5.1,1.6,1.1
36011,Cayuga,NY,4,  Government and government enterprises,-0.5,-2.1,-4.9
36013,Chautauqua,NY,1,All Industries,1.4,-1.9,-1.0
36013,Chautauqua,NY,2,  Private goods-producing industries,5.6,-4.9,-2.7
36013,Chautauqua,NY,3,  Private services-providing industries,-1.7,-0.4,2.3
36013,Chautauqua,NY,4,  Government and government enterprises,2.4,0.2,-6.7
36015,Chemung,NY,1,All Industries,4.8,2.4,-2.2
36015,Chemung,NY,2,  Private goods-producing industries,4.9,5.1,4.0
36015,Chemung,NY,3,  Private services-providing industries,5.9,2.0,-3.5
36015,Chemung,NY,4,  Government and government enterprises,1.4,-0.2,-6.9
36017,Chenango,NY,1,All Industries,0.1,3.6,3.6
36017,Chenango,NY,2,  Private goods-producing industries,6.6,-1.0,5.4
36017,Chenango,NY,3,  Private services-providing industries,-6.4,8.1,5.0
36017,Chenango,NY,4,  Government and government enterprises,2.7,3.4,-3.3
36019,Clinton,NY,1,All Industries,3.3,-1.9,-0.5
36019,Clinton,NY,2,  Private goods-producing industries,5.4,0.9,2.4
36019,Clinton,NY,3,  Private services-providing industries,4.5,-2.6,-0.7
36019,Clinton,NY,4,  Government and government enterprises,-1.0,-1.9,-1.9
36021,Columbia,NY,1,All Industries,5.1,2.9,-0.8
36021,Columbia,NY,2,  Private goods-producing industries,9.2,3.4,-6.8
36021,Columbia,NY,3,  Private services-providing industries,5.6,3.1,0.6
36021,Columbia,NY,4,  Government and government enterprises,-0.9,1.9,1.0
36023,Cortland,NY,1,All Industries,3.4,3.0,3.3
36023,Cortland,NY,2,  Private goods-producing industries,7.7,3.0,11.2
36023,Cortland,NY,3,  Private services-providing industries,-0.5,3.1,0.4
36023,Cortland,NY,4,  Government and government enterprises,8.7,2.9,-0.7
36025,Delaware,NY,1,All Industries,4.0,0.1,1.4
36025,Delaware,NY,2,  Private goods-producing industries,3.9,1.6,23.8
36025,Delaware,NY,3,  Private services-providing industries,2.0,-0.2,-10.4
36025,Delaware,NY,4,  Government and government enterprises,8.8,-1.3,-8.0
36027,Dutchess,NY,1,All Industries,3.6,-0.8,0.9
36027,Dutchess,NY,2,  Private goods-producing industries,1.6,-6.6,6.1
36027,Dutchess,NY,3,  Private services-providing industries,4.9,2.1,1.2
36027,Dutchess,NY,4,  Government and government enterprises,1.2,-3.9,-6.1
36029,Erie,NY,1,All Industries,0.1,4.5,1.7
36029,Erie,NY,2,  Private goods-producing industries,-4.3,0.7,-2.8
36029,Erie,NY,3,  Private services-providing industries,0.8,7.2,3.4
36029,Erie,NY,4,  Government and government enterprises,2.4,-2.8,-1.3
36031,Essex,NY,1,All Industries,6.2,-1.3,-4.4
36031,Essex,NY,2,  Private goods-producing industries,8.6,-3.4,-9.3
36031,Essex,NY,3,  Private services-providing industries,6.7,-1.0,-2.5
36031,Essex,NY,4,  Government and government enterprises,3.8,-0.5,-4.7
36033,Franklin,NY,1,All Industries,0.6,-4.1,-3.0
36033,Franklin,NY,2,  Private goods-producing industries,8.2,-4.2,-3.5
36033,Franklin,NY,3,  Private services-providing industries,-0.6,1.2,-0.1
36033,Franklin,NY,4,  Government and government enterprises,0.2,-9.3,-6.0
36035,Fulton,NY,1,All Industries,-0.1,-1.5,0.2
36035,Fulton,NY,2,  Private goods-producing industries,,,
36035,Fulton,NY,3,  Private services-providing industries,,,
36035,Fulton,NY,4,  Government and government enterprises,-3.5,-16.0,-0.8
36037,Genesee,NY,1,All Industries,2.2,-0.1,-2.3
36037,Genesee,NY,2,  Private goods-producing industries,7.8,1.5,0.0
36037,Genesee,NY,3,  Private services-providing industries,-1.6,-2.3,-4.5
36037,Genesee,NY,4,  Government and government enterprises,3.8,2.7,-0.7
36039,Greene,NY,1,All Industries,-8.6,-6.4,3.8
36039,Greene,NY,2,  Private goods-producing industries,6.3,-1.2,10.3
36039,Greene,NY,3,  Private services-providing industries,-12.5,-8.9,6.1
36039,Greene,NY,4,  Government and government enterprises,-1.7,-1.0,-6.3
36041,Hamilton,NY,1,All Industries,2.8,12.0,-8.7
36041,Hamilton,NY,2,  Private goods-producing industries,,,
36041,Hamilton,NY,3,  Private services-providing industries,,,
36041,Hamilton,NY,4,  Government and government enterprises,4.9,32.6,-13.0
36043,Herkimer,NY,1,All Industries,4.2,0.2,-2.5
36043,Herkimer,NY,2,  Private goods-producing industries,2.5,-4.8,-1.9
36043,Herkimer,NY,3,  Private services-providing industries,5.0,2.7,-1.2
36043,Herkimer,NY,4,  Government and government enterprises,4.8,0.8,-6.1
36045,Jefferson,NY,1,All Industries,-0.6,-2.0,-4.7
36045,Jefferson,NY,2,  Private goods-producing industries,,2.9,-0.1
36045,Jefferson,NY,3,  Private services-providing industries,,-0.1,-3.4
36045,Jefferson,NY,4,  Government and government enterprises,-3.1,-3.7,-6.1
36047,Kings,NY,1,All Industries,0.6,4.1,1.3
36047,Kings,NY,2,  Private goods-producing industries,3.1,1.3,7.8
36047,Kings,NY,3,  Private services-providing industries,-0.1,5.1,1.3
36047,Kings,NY,4,  Government and government enterprises,2.8,0.4,-1.5
36049,Lewis,NY,1,All Industries,4.5,2.8,-3.5
36049,Lewis,NY,2,  Private goods-producing industries,6.8,0.7,0.6
36049,Lewis,NY,3,  Private services-providing industries,6.7,4.5,-6.0
36049,Lewis,NY,4,  Government and government enterprises,-2.3,2.4,-3.5
36051,Livingston,NY,1,All Industries,4.0,-1.1,2.3
36051,Livingston,NY,2,  Private goods-producing industries,10.7,13.6,14.1
36051,Livingston,NY,3,  Private services-providing industries,2.8,1.0,-0.7
36051,Livingston,NY,4,  Government and government enterprises,0.7,-15.4,-4.5
36053,Madison,NY,1,All Industries,4.0,1.4,-1.7
36053,Madison,NY,2,  Private goods-producing industries,7.7,-2.2,-1.2
36053,Madison,NY,3,  Private services-providing industries,2.3,3.4,-0.2
36053,Madison,NY,4,  Government and government enterprises,4.9,-0.3,-7.0
36055,Monroe,NY,1,All Industries,-0.6,2.0,2.7
36055,Monroe,NY,2,  Private goods-producing industries,1.9,-5.8,2.0
36055,Monroe,NY,3,  Private services-providing industries,-1.8,4.9,3.7
36055,Monroe,NY,4,  Government and government enterprises,3.4,-3.2,-2.6
36057,Montgomery,NY,1,All Industries,3.9,1.5,0.7
36057,Montgomery,NY,2,  Private goods-producing industries,6.8,0.9,4.7
36057,Montgomery,NY,3,  Private services-providing industries,2.1,0.4,1.6
36057,Montgomery,NY,4,  Government and government enterprises,6.8,6.5,-8.4
36059,Nassau,NY,1,All Industries,0.6,2.4,-0.2
36059,Nassau,NY,2,  Private goods-producing industries,4.2,-2.6,0.4
36059,Nassau,NY,3,  Private services-providing industries,0.4,3.3,0.1
