FIPS,State,County,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1018,PctEmpChange1718,PctEmpChange0718,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,NumUnemployed2010,NumUnemployed2011,NumCivLaborForce2011,UnempRate2011,NumEmployed2011,NumEmployed2010,NumCivLaborForce2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,UnempRate2008,NumCivLaborForce2012,NumEmployed2008,NumCivLaborForce2008,UnempRate2009,NumUnemployed2008,NumUnemployed2014,NumUnemployed2018,NumEmployed2018,NumCivLaborforce2018,NumUnemployed2017,NumEmployed2017,NumCivLaborforce2017,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2015,NumEmployed2007,NumUnemployed2015,UnempRate2012,NumEmployed2014,NumCivLaborforce2014,UnempRate2013,NumUnemployed2013,NumEmployed2013,NumCivLaborforce2013,NumUnemployed2007,NumCivLaborforce2007,NumUnemployed2012,NumEmployed2012,NumEmployed2015
36000,NY,New York,4.1,4.7,4.9,5.0,6.3,8.6,4.6,4.69,0.74,1.02,-3.5,0.521534901,0.071295554,5.587057627999999,6.231981369,12.99183502,5.236431373,2.9312295760000002,8.050503869,53.83353027,4.544600439,9467631.0,825639.0,789304.0,9517361.0,8.3,8728057.0,8769723.0,9595362.0,802999.0,8844486.0,9647485.0,5.4,9612232.0,9139080.0,9664773.0,8.3,525693.0,603720.0,393648.0,9181058.0,9574706.0,447799.0,9113601.0,9561400.0,463523.0,9093571.0,9557094.0,9561878.0,9088207.0,504408.0,8.5,8925698.0,9529418.0,7.7,745382.0,8913788.0,9659170.0,433849.0,9522056.0,818847.0,8793385.0,9057470.0
36001,NY,Albany,3.7,4.2,4.1,4.0,4.9,7.0,3.9,1.81,1.15,0.28,-1.51,0.24282685699999998,0.066683023,4.455809916000001,5.20190487,12.42568932,3.555589107,2.239543033,7.495549222999999,52.03666308,12.27974157,158961.0,11247.0,10959.0,158289.0,6.9,147330.0,150264.0,161511.0,10754.0,148183.0,158937.0,4.9,160657.0,152756.0,160552.0,6.8,7796.0,7694.0,5844.0,152991.0,158835.0,6650.0,151246.0,157896.0,6416.0,151867.0,158283.0,158427.0,152567.0,6884.0,7.1,149537.0,157231.0,6.1,9746.0,151059.0,160805.0,6145.0,158712.0,11397.0,149260.0,151543.0
36003,NY,Allegany,5.6,6.6,6.3,6.0,6.2,9.2,5.5,-16.61,-0.01,-17.01,-0.48,3.074706934,0.640770912,6.442479634,15.57222333,9.959268826,4.301609378,1.331213988,2.40909994,51.84780449,4.420822571,20132.0,2218.0,2112.0,23657.0,8.9,21545.0,22022.0,24240.0,2082.0,21816.0,23898.0,6.4,23691.0,22578.0,24123.0,8.7,1545.0,1451.0,1096.0,18365.0,19461.0,1300.0,18367.0,19667.0,1265.0,18768.0,20033.0,20335.0,22129.0,1321.0,8.4,21866.0,23317.0,7.5,1785.0,22014.0,23799.0,1276.0,23405.0,1994.0,21697.0,19014.0
36005,NY,Bronx,5.7,6.3,7.1,7.0,9.8,12.0,6.8,11.53,0.23,19.7,7.33,0.059946991,0.013471233999999999,5.063836809,3.5287897110000004,13.20315631,7.151709668,1.741493758,6.427294067,59.09493515,3.7153663,593858.0,69810.0,69718.0,584353.0,11.9,514635.0,512477.0,582287.0,64242.0,469624.0,533866.0,7.6,594943.0,484145.0,523746.0,12.0,39601.0,59124.0,34319.0,571545.0,605864.0,38255.0,570215.0,608470.0,43362.0,565436.0,608798.0,605820.0,477487.0,47125.0,12.4,544535.0,603659.0,11.8,71033.0,532428.0,603461.0,34992.0,512479.0,73956.0,520987.0,558695.0
36007,NY,Broome,4.9,5.6,5.4,6.0,6.6,8.7,4.4,-9.9,0.95,-13.04,-3.49,0.567733074,0.204887541,5.11875465,10.38402106,15.65501059,4.252274938,1.650546558,4.498368912,53.59926744,4.069135237,87365.0,8528.0,8148.0,94727.0,8.6,86579.0,89316.0,97844.0,7947.0,89553.0,97500.0,5.6,94012.0,92690.0,98160.0,8.2,5470.0,5846.0,4115.0,80477.0,84592.0,4690.0,79717.0,84407.0,4654.0,81119.0,85773.0,86750.0,92549.0,5173.0,8.7,82128.0,87974.0,7.8,7155.0,84779.0,91934.0,4309.0,96858.0,8177.0,85835.0,81577.0
36009,NY,Cattaraugus,5.3,6.2,6.0,6.0,7.0,9.5,5.1,-10.26,0.27,-17.78,-8.38,2.137436262,0.35870983,7.746353611,13.87110162,13.53907269,4.271907981,0.723348749,3.945808135,47.46827938,5.9379817379999995,33732.0,3773.0,3597.0,38540.0,9.3,34943.0,35881.0,39654.0,3589.0,38079.0,41668.0,6.1,38308.0,39222.0,41766.0,8.6,2544.0,2566.0,1820.0,32200.0,34020.0,2118.0,32113.0,34231.0,2078.0,32737.0,34815.0,35202.0,39164.0,2213.0,9.3,34052.0,36618.0,8.5,3249.0,34851.0,38100.0,2105.0,41269.0,3575.0,34733.0,32989.0
36011,NY,Cayuga,4.5,5.0,5.1,5.0,6.0,8.5,4.4,-5.86,0.94,-12.64,-7.2,3.4089687060000005,0.31186149,6.352833638,14.36175933,13.61974406,4.874180019,1.166792128,3.2826110330000002,46.07484676,6.546402839,37196.0,3405.0,3169.0,39068.0,8.1,35899.0,36480.0,39885.0,3433.0,38157.0,41590.0,5.5,39113.0,39482.0,41802.0,8.3,2320.0,2254.0,1610.0,34344.0,35954.0,1796.0,34024.0,35820.0,1853.0,34804.0,36657.0,37056.0,39312.0,1977.0,8.3,35352.0,37606.0,7.4,2865.0,35989.0,38854.0,1825.0,41137.0,3229.0,35884.0,35079.0
36013,NY,Chautauqua,5.0,6.0,5.8,6.0,6.8,8.9,4.5,-10.36,0.36,-18.13,-8.67,2.4709302330000003,0.36514464,5.4771695970000005,17.72546795,13.01403857,4.204480998,1.331182643,2.7828984689999996,48.13528077,4.493406126,56416.0,5660.0,5045.0,61661.0,8.2,56616.0,58262.0,63922.0,5467.0,60467.0,65934.0,5.5,61278.0,63591.0,67323.0,8.3,3732.0,3937.0,2766.0,52227.0,54993.0,3311.0,52039.0,55350.0,3253.0,52807.0,56060.0,57578.0,63790.0,3468.0,8.5,53827.0,57764.0,8.0,4831.0,55387.0,60218.0,2991.0,66781.0,5223.0,56055.0,54110.0
36015,NY,Chemung,4.7,5.5,5.7,5.0,6.3,8.4,4.6,-11.5,0.21,-13.71,-2.49,0.487727297,0.771351323,5.044266554,14.3747018,14.13348884,3.9495308280000003,1.5480040290000001,4.694375232,49.45660817,5.539945926000001,37726.0,3489.0,3197.0,40803.0,7.8,37606.0,38105.0,41594.0,3652.0,37364.0,41016.0,5.6,40553.0,39147.0,41459.0,8.9,2312.0,2390.0,1649.0,33724.0,35373.0,1960.0,33653.0,35613.0,2069.0,34099.0,36168.0,37455.0,39080.0,2196.0,8.4,35772.0,38162.0,7.9,3130.0,36479.0,39609.0,1876.0,40956.0,3411.0,37142.0,35259.0
36017,NY,Chenango,4.7,5.3,5.1,5.0,6.2,9.2,4.9,-0.65,1.23,-7.89,-7.29,4.264943457,0.15231940900000002,6.540503116,16.86129702,11.68243711,3.623355643,2.7925225019999997,6.522040157,42.34479575,5.21578583,21665.0,2182.0,2070.0,23830.0,8.7,21760.0,21509.0,23691.0,2176.0,22231.0,24407.0,6.4,24127.0,23104.0,24672.0,8.9,1568.0,1441.0,1047.0,21369.0,22416.0,1189.0,21109.0,22298.0,1155.0,21653.0,22808.0,23079.0,23200.0,1259.0,8.6,21737.0,23178.0,7.3,1762.0,22335.0,24097.0,1205.0,24405.0,2083.0,22044.0,21820.0
