Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-09-01, 63, 42, 52.5, 0.00, 0.0, 0
2009-09-02, 69, 41, 55.0, 0.00, 0.0, 0
2009-09-03, 72, 43, 57.5, 0.00, 0.0, 0
2009-09-04, 76, 43, 59.5, 0.00, 0.0, 0
2009-09-05, 75, 49, 62.0, 0.00, 0.0, 0
2009-09-06, 75, 49, 62.0, 0.00, 0.0, 0
2009-09-07, 73, 49, 61.0, 0.00, 0.0, 0
2009-09-08, 66, 52, 59.0, 0.04, 0.0, 0
2009-09-09, 74, 56, 65.0, 0.00, 0.0, 0
2009-09-10, 74, 50, 62.0, 0.00, 0.0, 0
2009-09-11, 74, 47, 60.5, 0.00, 0.0, 0
2009-09-12, 74, 48, 61.0, 0.27, 0.0, 0
2009-09-13, 74, 48, 61.0, 0.01, 0.0, 0
2009-09-14, 72, 48, 60.0, 0.00, 0.0, 0
2009-09-15, 71, 51, 61.0, 0.00, 0.0, 0
2009-09-16, 73, 45, 59.0, 0.00, 0.0, 0
2009-09-17, 62, 43, 52.5, 0.00, 0.0, 0
2009-09-18, 64, 49, 56.5, 0.00, 0.0, 0
2009-09-19, 71, 40, 55.5, 0.00, 0.0, 0
2009-09-20, 65, 36, 50.5, 0.00, 0.0, 0
2009-09-21, 75, 33, 54.0, 0.00, 0.0, 0
2009-09-22, 77, 50, 63.5, 0.06, 0.0, 0
2009-09-23, 69, 57, 63.0, 0.11, 0.0, 0
2009-09-24, 78, 57, 67.5, 0.09, 0.0, 0
2009-09-25, 78, 49, 63.5, 0.00, 0.0, 0
2009-09-26, 79, 37, 58.0, 0.00, 0.0, 0
2009-09-27, 58, 36, 47.0, 0.36, 0.0, 0
2009-09-28, 63, 46, 54.5, 0.68, 0.0, 0
2009-09-29, 64, 51, 57.5, 0.30, 0.0, 0
2009-09-30, 56, 42, 49.0, 0.11, 0.0, 0
2009-10-01, 48, 40, 44.0, 0.05, 0.0, 0
2009-10-02, 50, 32, 41.0, 0.01, 0.0, 0
2009-10-03, 54, 32, 43.0, 0.51, 0.0, 0
2009-10-04, 63, 41, 52.0, 0.00, 0.0, 0
2009-10-05, 58, 42, 50.0, 0.02, 0.0, 0
2009-10-06, 54, 37, 45.5, 0.03, 0.0, 0
2009-10-07, 61, 36, 48.5, 0.08, 0.0, 0
2009-10-08, 52, 40, 46.0, 0.01, 0.0, 0
2009-10-09, 50, 39, 44.5, 0.00, 0.0, 0
2009-10-10, M, M, M, 0.00, 0.0, 0
2009-10-11, 58, 34, 46.0, 0.00, 0.0, 0
2009-10-12, 58, 27, 42.5, 0.00, 0.0, 0
2009-10-13, 48, 28, 38.0, 0.31, 0.0, 0
2009-10-14, 46, 29, 37.5, 0.02, 0.0, 0
2009-10-15, 43, 29, 36.0, 0.00, 0.0, 0
2009-10-16, 35, 31, 33.0, 0.40, 5.5, 6
2009-10-17, 39, 31, 35.0, 0.30, 0.0, M
2009-10-18, 39, 31, 35.0, 0.30, 0.0, M
2009-10-19, 46, 22, 34.0, 0.00, 0.0, M
2009-10-20, 52, 21, 36.5, 0.00, 0.0, M
2009-10-21, 65, 42, 53.5, 0.00, 0.0, M
2009-10-22, 63, 42, 52.5, 0.00, 0.0, M
2009-10-23, 65, 40, 52.5, 0.01, 0.0, 0
2009-10-24, 56, 43, 49.5, 0.30, 0.0, 0
2009-10-25, 65, 42, 53.5, 0.30, 0.0, 0
2009-10-26, 55, 29, 42.0, 0.00, 0.0, 0
2009-10-27, 61, 29, 45.0, 0.00, 0.0, 0
2009-10-28, 61, 39, 50.0, 0.13, 0.0, 0
2009-10-29, 58, 46, 52.0, 0.50, 0.0, 0
2009-10-30, 53, 46, 49.5, 0.00, 0.0, 0
2009-10-31, 58, 50, 54.0, T, 0.0, 0
2009-11-01, 60, 43, 51.5, 0.20, 0.0, 0
2009-11-02, 48, 25, 36.5, 0.00, 0.0, 0
2009-11-03, 52, 25, 38.5, 0.00, 0.0, 0
2009-11-04, 48, 26, 37.0, 0.07, 0.0, 0
2009-11-05, 48, 25, 36.5, 0.01, 0.0, 0
2009-11-06, 48, 25, 36.5, 0.01, 0.0, 0
2009-11-07, 48, 22, 35.0, 0.00, 0.0, 0
2009-11-08, 57, 23, 40.0, 0.00, 0.0, 0
2009-11-09, 66, 31, 48.5, 0.00, 0.0, 0
2009-11-10, 67, 37, 52.0, 0.00, 0.0, 0
2009-11-11, 51, 30, 40.5, 0.00, 0.0, 0
2009-11-12, 48, 25, 36.5, 0.00, 0.0, 0
2009-11-13, 52, 20, 36.0, 0.00, 0.0, 0
2009-11-14, 59, 20, 39.5, 0.00, 0.0, 0
2009-11-15, 58, 35, 46.5, 0.00, 0.0, 0
2009-11-16, 64, 38, 51.0, 0.00, 0.0, 0
2009-11-17, 48, 31, 39.5, 0.00, 0.0, 0
2009-11-18, 51, 26, 38.5, 0.00, 0.0, 0
2009-11-19, 52, 26, 39.0, 0.00, 0.0, 0
2009-11-20, 52, 27, 39.5, 0.27, 0.0, 0
2009-11-21, 46, 40, 43.0, 0.03, 0.0, 0
2009-11-22, 47, 41, 44.0, 0.00, 0.0, 0
2009-11-23, 47, 27, 37.0, 0.00, 0.0, 0
2009-11-24, 49, 28, 38.5, 0.09, 0.0, 0
2009-11-25, 50, 41, 45.5, 0.04, 0.0, 0
2009-11-26, 49, 34, 41.5, 0.04, 0.0, 0
